Instance;PATH_MOST_CONSTRAINED_ARC_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;CHRISTOFIDES_and_GENERIC_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GENERIC_TABU_SEARCH;SAVINGS_and_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH
HFVRP_4;60.00051999092102;60.00234706401825;60.005404996871945;60.0008332490921;60.00085914134979;60.00304906368255;60.0058513879776;2192.2556376457214;60.00094170570374;60.000567531585695;60.00482304096222
C1_4_9;61.325874066352846;60.39593102931976;61.44360699653625;61.322168827056885;61.13105227947235;60.946036744117734;61.65071573257446;60.03203773498535;62.23422248363495;61.07749350070954;60.67370150089264
C1_6_4;62.38926640152931;60.05241322517395;60.41870492696762;60.04970034956932;61.71909216046333;60.01938983798027;60.424412935972214;60.06834149360657;64.60494196414948;64.7600394487381;60.06732586026192
C1_6_5;60.84774902462959;60.06341579556465;389.9741770029068;60.0231109559536;62.25590839982033;60.398951292037964;60.8122196495533;60.043913155794144;63.36631056666374;65.01068183779716;60.05850887298584
C1_2_7;60.02226469516754;60.111208367347714;60.10622534751892;60.15401303768158;60.04748096466064;60.163893818855286;60.08825950622558;60.09986834526062;60.045706152915955;60.03691036701203;60.00121283531189
C1_4_10;61.833251786232;60.280554842948916;61.977536940574645;62.51866421699524;61.93797028064728;61.92927272319794;62.78463897705078;60.0156506061554;62.82298738956452;61.94541685581207;60.38257393836975
HFVRP_p14;60.04602646827698;60.00206470489502;60.00556533336639;60.002878761291505;60.00208323001861;60.00258162021637;60.002466320991516;604.4549179077148;60.00676326751709;60.00145440101623;60.0025191783905
C1_2_6;60.13691674338447;60.075390338897705;60.00151181221008;60.028358429670334;60.105514420403374;60.16428357362747;60.010880172252655;60.06416714191437;60.16181503401862;60.17838096618652;60.09185433387756
CVRP_p5;60.000289463996886;60.00415358543396;60.00160219669342;60.000886297225954;60.00049748420715;60.00427718162537;60.00126564502716;601.547839641571;60.00191864967346;60.00452108383179;60.00059022903442
CVRP_4;60.0141382932663;60.0029691696167;60.00290539264679;60.001425766944884;60.00084395408631;60.00072340965271;60.005907726287845;600.9110879898071;60.00281829833985;60.01060035228729;60.01527061462402
C1_4_7;61.01033815741539;60.17943096160889;61.85328650474548;64.3523037135601;62.068555027246475;60.23089420795441;61.23237180709839;67.00338360667229;61.22460639476776;62.681798964738846;60.125325709581375
C1_4_1;62.085989928245546;60.72972431182861;60.97988083362579;62.748809576034546;60.714589738845824;62.42044370174408;62.085742712020874;60.009893608093265;61.87639155387878;61.65130136013031;60.25457110404968
C1_6_3;60.95702641010284;60.04351863861084;61.30770025253296;60.013457727432254;62.238389539718625;61.277802634239194;61.60753135681152;60.04622499942779;61.447703289985654;62.28776168823242;60.07336139678955
C1_2_1;60.03142794966698;60.06677794456482;60.05679100751877;60.039714485406876;60.08430537581444;60.15667283535004;60.16197094321251;60.005999743938446;60.05071181058884;60.09129881858826;60.212484419345856
CVRP_p3;60.00030279159546;60.00065588951111;60.00189023017883;60.00175368785858;60.00133018493652;60.000847005844115;60.00221948623657;60.00124459266662;60.00047447681427;60.001541543006894;60.00040760040283
C1_6_2;61.07116249203682;60.027960389852524;63.1704982817173;60.010253578424454;61.91177725791931;60.0157091319561;60.42576080560684;60.028752475976944;63.82659587264061;60.75662487745285;60.03224638104439
C1_4_4;61.193744361400604;60.15332072973251;61.56544890999794;61.10070189833641;62.013342171907425;61.384953051805496;61.23913040757179;60.00944498181343;62.41324946284294;60.93591517210007;61.48310446739197
CVRP_100;60.00005369186401;60.00071551799774;60.00057501792908;60.00043394565582;60.00090882778168;60.000402736663816;60.00043425559998;60.00055170059204;60.00048141479492;60.00016825199127;60.307647013664244
C1_2_5;60.06774656772613;60.14220921993255;60.05419445037842;60.031478714942935;60.020315980911256;60.100473856925966;60.17086474895477;60.10481357574463;60.05252540111542;60.11686406135559;60.00194973945618
C1_4_3;60.85916483402252;60.134257316589355;61.74976396560669;60.91281586885452;61.550841331481934;61.39725136756897;61.261887431144714;60.01813966035843;60.9488685131073;61.92465192079544;60.706638008356094
HFVRP_1;60.002696704864505;60.000512623786925;60.00079514980316;60.001334238052365;60.00211215019226;60.001844096183774;60.00265903472901;95472.83802509308;60.00057139396667;60.000804567337035;60.000520849227904
C1_4_2;103.67587962150574;410.80540027618406;66.52261276245117;61.89232430458069;65.39459645748138;60.887098979949954;63.22971165180206;60.00876512527466;64.25270969867707;62.84626693725586;63.49445197582245
C1_2_3;60.04322490692139;60.17540874481201;60.151719856262204;60.14067804813385;60.02253174781799;60.109159445762636;60.05998578071594;60.04469220638275;60.00515732765198;60.02063910961151;60.03261549472809
C1_4_6;61.791473001241684;60.111031740903854;61.34614333510399;61.209836542606354;62.052142798900604;61.7787299156189;60.90404090285301;60.04435268044472;61.13083407282829;61.94470265507698;60.952751249074936
C1_4_8;62.01293623447418;60.27500757575035;60.5321908891201;61.91736340522766;60.77812051773071;61.543642431497574;61.64316004514694;60.01132386922836;61.58079469203949;60.969767928123474;60.143627643585205
C1_2_10;60.1026095867157;60.39593882030911;60.109698666466606;61.928436517715454;60.27906076113383;60.25990284813775;60.24865574306912;60.04085061285231;60.13332479000091;60.04611606597901;61.44479958216349
C1_2_4;82.0044493675232;60.05223908424377;60.042547082901;60.06158874034882;86.55315582752227;60.06010267734528;60.08604500293732;60.174870419502255;60.18082873821258;60.09043567180633;60.07948248386383
C1_6_1;60.33865864276886;60.02548844814301;62.71479184627533;60.05040903091431;61.87116510868073;60.33090479373932;60.69725399017334;60.02771565914154;64.03917992115021;61.24021317958832;60.025178694725035
CVRP_p14;60.01492063999176;60.04330973625183;60.001589512825014;60.05745532512665;60.02666051387787;60.00182418823242;60.00157670974731;60.00407054424286;60.01869373321533;60.0125519990921;60.00125482082367
C1_2_8;60.03203568458557;86.82959203720092;60.020718002319335;60.106561279296876;60.16175172328949;64.61533625125885;60.107310962677005;60.04205491542816;60.19825315475464;60.07449769973755;60.18511791229248
C1_2_9;60.148841778437294;60.05160882737901;60.09551821814643;60.20521664619446;60.033097426096596;60.06838448842367;60.087373918957184;60.07837936613295;60.04442652066549;60.05954959657457;60.043175035052826
C1_2_2;60.04874262213707;60.04289239645004;60.111033618450165;60.05537098646164;60.08327969908714;60.02376836538315;60.118767470121384;60.22192522883415;60.03441920876503;60.04059651494026;60.0736269056797
CVRP_1;60.00142118930817;77.65638372898101;60.000743222236636;60.00187849998474;60.00157470703125;60.00155069828033;60.00108609199524;60.000631713867186;60.00069506168366;60.000992274284364;60.00164206027985
HFVRP_p3;60.00051121711731;60.000752329826355;60.000629568099974;60.0020911693573;60.00077059268951;60.0010588645935;60.00231990814209;600.2830266952515;60.0024037361145;60.00057194232941;60.00098483562469
C1_4_5;61.45402812957764;60.29257287979126;62.53039102554321;61.22753672599792;61.460092186927795;61.345390391349795;62.10293891429901;60.021546030044554;61.46249711513519;62.37946965694427;60.96037862300873
HFVRP_p5;60.00106284618378;60.001070094108584;60.00210611820221;60.00280873775482;60.00099895000458;60.003585600852965;60.00095624923706;600.4956841468811;60.000875043869016;60.000703358650206;60.00488600730896
