Instance;FIRST_UNBOUND_MIN_VALUE_and_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_and_GREEDY_DESCENT;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT;PARALLEL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;ALL_UNPERFORMED_and_GREEDY_DESCENT;SAVINGS_and_GREEDY_DESCENT;CHRISTOFIDES_and_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_and_GREEDY_DESCENT
HFVRP_4;976710.0;75504.0;94706.0;94500.0;87221.0;976710.0;83335.0;94217.0;94500.0;94706.0;97671.0;77390.0
C1_4_9;1156151.4;540702.7;675283.5;561126.0;556051.8;22731650.0;540224.0;566560.0;553815.0;664209.2;556051.8;555258.8
C1_6_4;4376329.25;1183601.375;1741525.75;1184924.625;1183062.875;56288100.0;1155853.0;1166230.875;1185348.75;1608803.375;1190449.0;1239259.375
C1_6_5;3866698.25;1177498.125;1666151.625;1186496.75;1178140.0;52210210.0;1155853.0;1165817.625;1185240.0;1518716.875;1180242.375;1220721.625
C1_2_7;254184.0;216792.0;231163.0;230809.0;237017.0;2541840.0;217882.0;231060.0;231354.0;231163.0;237017.0;227862.0
C1_4_10;1061141.9;540704.5;700414.8;561129.8;556051.8;13467560.0;540224.0;566560.0;553815.0;679633.1;556056.6;553636.0
HFVRP_p14;3245220.0;290968.0;323115.0;310169.0;313867.0;3245220.0;313571.0;324522.0;317188.8;323115.0;304801.5;318095.0
C1_2_6;254184.0;216792.0;231163.0;230809.0;237017.0;2541840.0;217882.0;231060.0;231354.0;231163.0;237017.0;227862.0
CVRP_p5;760500.0;68561.0;75815.0;71855.0;71235.0;760500.0;75640.0;71620.0;73284.0;75932.5;69795.0;69842.0
CVRP_4;1942240.0;183817.0;188716.0;182048.0;181554.0;1942240.0;194224.0;185643.0;183155.0;188716.0;181554.0;186259.0
C1_4_7;939744.5;540656.5;678721.0;561126.0;556053.0;13369420.0;540224.0;566560.0;553815.0;661815.75;556059.0;553636.0
C1_4_1;1013964.2;540674.9;699508.2;561126.0;556056.6;14147980.0;540224.0;566565.1;553815.0;668640.3;556061.4;553636.0
C1_6_3;3622678.4;1174820.3;1584528.1;1186228.4;1176352.1;49979300.0;1155907.1;1166406.6;1185378.4;1518377.6;1178383.1;1216076.7
C1_2_1;254184.0;216792.0;231163.0;230809.0;237017.0;2541840.0;217882.0;231060.0;231354.0;231163.0;237017.0;227862.0
CVRP_p3;81754.0;79839.0;86301.0;79195.0;77607.0;863010.0;84533.0;79788.0;78309.0;86301.0;77607.0;79772.0
C1_6_2;4281925.875;1177907.375;1716368.25;1186627.875;1178386.25;56206800.0;1156004.5;1166467.875;1186336.875;1534959.75;1183723.625;1227338.625
C1_4_4;976732.75;540618.0;679095.375;561126.0;556047.0;13355080.0;540224.0;566560.0;553815.0;659639.5;556047.0;553636.0
CVRP_100;26205.0;26424.0;26205.0;26205.0;28326.0;26205.0;28206.0;26720.0;26205.0;26205.0;28326.0;27353.0
C1_2_5;254184.0;216792.0;231163.0;230809.0;237017.0;2541840.0;217882.0;231060.0;231354.0;231163.0;237017.0;227862.0
C1_4_3;1014224.875;540692.75;678310.25;561126.0;556047.0;13636710.0;540224.0;566575.5;553815.0;666323.75;556053.0;553636.0
HFVRP_1;705250.0;61676.0;70214.0;70525.0;61222.0;705250.0;60086.0;60859.0;68557.0;70214.0;61222.0;60856.0
C1_4_2;1049810.4;540620.4;669210.1;561126.0;556051.8;13369420.0;540224.0;566560.0;553815.0;659081.6;556047.0;553636.0
C1_2_3;254184.0;216792.0;231163.0;230809.0;237017.0;2541840.0;217882.0;231060.0;231354.0;231163.0;237017.0;227862.0
C1_4_6;1039601.375;540612.875;674173.25;561126.0;556053.0;15980580.0;540224.0;566560.0;553815.0;670502.25;556053.0;553636.0
C1_4_8;1004359.0;540691.75;675760.625;561126.0;556047.0;13827460.0;540224.0;566560.0;553815.0;658922.25;556047.0;553636.0
C1_2_10;254184.0;216792.0;231163.0;230809.0;237017.0;2541840.0;217882.0;231060.0;231354.0;231163.0;237017.0;227862.0
C1_2_4;254184.0;216792.0;231163.0;230809.0;237017.0;2541840.0;217882.0;231060.0;231354.0;231163.0;237017.0;227862.0
C1_6_1;4233205.5;1179316.4;1716003.1;1187863.2;1179148.6;52286270.0;1156182.7;1168275.3;1186076.0;1562884.4;1189269.5;1232977.6
CVRP_p14;334161.8;317762.0;353713.0;310201.0;308075.0;3917600.0;344001.0;306403.0;305392.0;353713.0;310031.0;316193.0
C1_2_8;254184.0;216792.0;231163.0;230809.0;237017.0;2541840.0;217882.0;231060.0;231354.0;231163.0;237017.0;227862.0
C1_2_9;254184.0;216792.0;231163.0;230809.0;237017.0;2541840.0;217882.0;231060.0;231354.0;231163.0;237017.0;227862.0
C1_2_2;254184.0;216792.0;231163.0;230809.0;237017.0;2541840.0;217882.0;231060.0;231354.0;231163.0;237017.0;227862.0
CVRP_1;85094.0;82511.0;88556.0;83684.0;82643.0;885560.0;83246.0;83173.0;83684.0;88556.0;82643.0;82359.0
HFVRP_p3;852510.0;75087.0;85251.0;77397.0;77444.0;852510.0;83053.0;78541.0;77397.0;85251.0;77444.0;80143.0
C1_4_5;1125652.2;540703.9;701819.1;561126.0;556056.6;17788540.0;540224.0;566560.0;553815.0;668775.5;556066.2;553699.5
HFVRP_p5;858580.0;78876.0;81990.0;85858.0;77357.0;858580.0;80305.0;76338.0;85858.0;81990.0;77357.0;75764.0
CVRP_3;7770.0;7770.0;7770.0;777.0;7770.0;7770.0;777.0;777.0;777.0;7770.0;7770.0;7770.0
