Instance;LOCAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GUIDED_LOCAL_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GUIDED_LOCAL_SEARCH;PATH_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;CHRISTOFIDES_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_GUIDED_LOCAL_SEARCH
HFVRP_4;60.00095043182373;60.00102388858795;60.00120513439178;60.00115787982941;2192.2556376457214;60.003684258461;60.00286509990692;60.000762248039244;60.00120482444763;60.00244581699371;60.001778793334964
C1_4_9;60.95579736232757;61.087440156936644;62.401430988311766;60.35337424278259;60.02391037940979;61.05073759555817;61.04938356876373;60.839295172691344;62.192581915855406;60.596874356269836;61.31426475048065
C1_6_4;60.06128770112991;60.077425450086594;60.02921903133392;60.07020923495293;60.04903742671013;60.70155826210976;62.06137838959694;62.339962154626846;61.914477944374084;62.03658738732338;65.26402589678764
C1_6_5;60.01208487153053;60.0118727684021;60.43040996789932;60.031489461660385;60.119337260723114;61.43843454122543;61.22136190533638;61.10770970582962;63.37438416481018;64.99948790669441;63.74646294116974
C1_2_7;60.03574106693268;60.144831800460814;60.084512901306155;60.00422461032868;60.0167503118515;60.01470866203308;60.001437473297116;60.078899836540224;60.13781363964081;60.15800473690033;60.00185353755951
C1_4_10;61.82173075675964;60.494609880447385;61.09381909370423;60.59141054153442;60.02977569103241;62.884627151489255;62.43120627403259;61.78587152957916;62.71119658946991;61.36624760627747;62.17366089820862
HFVRP_p14;60.03258264064789;60.003431749343875;60.00258202552796;60.0027960062027;604.4549179077148;60.00257022380829;60.0022839307785;60.00225131511688;60.00198962688446;60.00334904193878;60.01644928455353
C1_2_6;60.200111001729965;60.032060116529465;60.14912849664688;60.03949388861656;60.037810415029526;60.001409424675835;60.03506827354431;60.105754666858246;60.09197086758084;60.12915598021613;60.092229763666786
CVRP_p5;60.01609134674072;60.00889160633087;60.003528118133545;60.00079672336578;601.547839641571;60.00536761283875;60.004423189163205;60.00629570484161;60.006520462036136;60.00555310249329;60.004449892044065
CVRP_4;60.006270909309386;60.002800989151;60.002540707588196;60.00889914035797;600.9110879898071;60.00441901683807;60.00366666316986;60.00532643795013;60.00073778629303;60.00305600166321;60.003547716140744
