Instance;FIRST_UNBOUND_MIN_VALUE_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_and_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;CHRISTOFIDES_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;SAVINGS_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_and_SIMULATED_ANNEALING;PARALLEL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING
HFVRP_4;976710.0;94706.0;97671.0;75504.0;76322.8;76359.7;94217.0;76190.0;75020.0;94706.0;78366.0
C1_4_9;1170313.7;665097.0;556047.0;540791.2;553815.0;561093.7;566339.0;553955.6;540224.0;678003.4;556051.8
C1_6_4;4462623.125;1628907.125;1186984.875;1182652.5;1184942.875;1184360.0;1168319.375;1238896.5;1155853.0;1771773.25;1178366.5
C1_6_5;4056663.75;1511131.375;1184789.25;1177913.125;1185237.125;1186123.125;1165991.75;1229879.75;1155853.0;1653963.75;1175145.125
C1_2_7;254184.0;231163.0;237017.0;216792.0;231354.0;230801.2;231060.0;227856.0;217882.0;231163.0;237017.0
C1_4_10;1100095.0;678733.2;556137.8;540747.0;553815.0;561129.8;566560.0;553636.0;540224.0;709844.5;556056.6
HFVRP_p14;3245220.0;323115.0;304630.0;290968.0;310849.0;307550.9;323608.0;318095.0;313571.0;323115.0;313867.0
C1_2_6;254184.0;231163.0;237017.0;216792.0;231354.0;230800.33333333334;231060.0;227856.0;217882.0;231163.0;237017.0
CVRP_p5;760500.0;70246.6;69795.0;68561.0;73284.0;68802.0;68496.0;69842.0;75640.0;70246.6;70955.0
CVRP_4;1942240.0;183992.2;181554.0;183817.0;180765.0;182048.0;185643.0;186259.0;194056.0;183205.7;181554.0
C1_4_7;964390.375;658159.125;556053.0;540619.125;553815.0;561109.5;566560.0;553636.0;540224.0;667359.0;556034.75
C1_4_1;1025503.2;661556.8;556063.2;540679.6;553815.0;561086.4;566118.0;553636.0;540224.0;685329.8;556051.8
C1_6_3;3730681.8;1486535.8;1180804.7;1176175.3;1185295.9;1186887.0;1166114.0;1218013.3;1155907.1;1618345.6;1175638.0
C1_2_1;254184.0;231163.0;237017.0;216792.0;231354.0;230797.625;231060.0;227856.0;217882.0;231163.0;237017.0
CVRP_p3;81754.0;86301.0;77607.0;79839.0;78309.0;79195.0;79788.0;79772.0;84532.0;86301.0;77607.0
C1_6_2;4517653.625;1547485.25;1184802.625;1180062.5;1186407.375;1185330.25;1165972.625;1237749.0;1156004.5;1702640.5;1176987.0
C1_4_4;984072.125;659217.25;556047.0;540551.125;553815.0;561093.0;566560.0;553636.0;540224.0;660967.375;556047.0
CVRP_100;26205.0;26205.0;28326.0;26205.0;26205.0;26205.0;26720.0;27353.0;28206.0;26205.0;28326.0
C1_2_5;254184.0;231163.0;237017.0;216792.0;231354.0;230799.9;231060.0;227856.0;217882.0;231163.0;237017.0
C1_4_3;1027333.625;668984.375;556053.0;540551.875;553815.0;561126.0;566553.375;553636.0;540224.0;673655.125;556047.0
HFVRP_1;705250.0;64909.0;61222.0;60636.0;61898.0;70525.0;60636.0;60856.0;60086.0;64909.0;61222.0
C1_4_2;1035421.2;661622.8;556051.8;540589.0;553815.0;561112.8;566560.0;553636.0;540224.0;672472.7;556047.0
C1_2_3;254184.0;231163.0;237017.0;216792.0;231354.0;230799.9;231060.0;227856.0;217882.0;231163.0;237017.0
C1_4_6;1012959.625;671551.625;556059.0;540780.125;553815.0;561126.0;566560.0;554016.25;540224.0;675922.25;556053.0
C1_4_8;974171.625;658665.75;556047.0;540910.0;553815.0;561093.0;566007.5;553636.0;540224.0;682705.5;556047.0
C1_2_10;254184.0;231163.0;237017.0;216792.0;231354.0;230797.3;231060.0;227856.0;217882.0;231163.0;237017.0
C1_2_4;254184.0;231163.0;237017.0;216792.0;231354.0;230799.9;231060.0;227856.0;217882.0;231163.0;237017.0
C1_6_1;4287812.6;1566170.6;1187969.4;1184911.5;1187741.2;1188585.7;1168026.8;1243265.6;1156101.9;1737486.1;1179608.6
CVRP_p14;339664.3;353713.0;309434.3;317762.0;305392.0;310201.0;304923.0;314533.4;344001.0;353713.0;308075.0
C1_2_8;254184.0;231163.0;237017.0;216792.0;231354.0;230799.9;231060.0;227856.0;217882.0;231163.0;237017.0
C1_2_9;254184.0;231163.0;237017.0;216792.0;231354.0;230800.33333333334;231060.0;227856.0;217882.0;231163.0;237017.0
C1_2_2;254184.0;231163.0;237017.0;216792.0;231354.0;230797.625;231060.0;227856.0;217882.0;231163.0;237017.0
CVRP_1;82368.0;88552.0;82643.0;82361.0;80460.0;80729.7;83173.0;82162.0;83246.0;88552.0;82643.0
HFVRP_p3;852510.0;85170.0;77444.0;75087.0;77397.0;77397.0;77593.0;79023.0;83053.0;85170.0;77444.0
C1_4_5;1113280.5;664530.4;556056.6;540621.0;553815.0;561116.6;566118.0;553947.6;540224.0;675166.0;556056.6
HFVRP_p5;858580.0;79405.0;77357.0;78876.0;79392.0;79392.0;75776.0;75764.0;79231.0;79405.0;77357.0
CVRP_3;7770.0;7770.0;7770.0;7770.0;777.0;777.0;777.0;7770.0;777.0;7770.0;7770.0
