Instance;FIRST_UNBOUND_MIN_VALUE_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_and_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;CHRISTOFIDES_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;SAVINGS_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_and_SIMULATED_ANNEALING;PARALLEL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING
HFVRP_4;2192.2556376457214;60.00380067825317;60.01256518363952;60.00416297912598;60.00056552886963;60.003402185440066;60.00298671722412;60.000991749763486;60.00086100101471;60.00106697082519;60.00258059501648
C1_4_9;60.01329252719879;61.05114016532898;61.654419493675235;60.43066041469574;61.350686359405515;61.33310196399689;61.162377619743346;60.95724267959595;61.17831823825836;60.228309059143065;61.74188301563263
C1_6_4;60.08217769861221;60.05541878938675;60.424165576696396;60.02762061357498;95.64728692173958;65.1338095664978;61.44024062156677;60.022225469350815;62.98658901453018;60.0941419005394;61.74555817246437
C1_6_5;60.05883112549782;60.045044630765915;61.78752490878105;60.419142454862595;61.24828588962555;62.16531482338905;62.13506442308426;60.03208854794502;63.30352854728699;60.05984807014465;61.71248388290405
C1_2_7;60.18185706138611;60.15498850345612;60.02137742042542;60.10715143680572;60.079487657547;60.09898638725281;60.029852509498596;60.029386687278745;60.03979892730713;60.02019991874695;60.14467318058014
C1_4_10;60.02422797679901;60.36906816959381;61.911280393600464;61.65425078868866;60.45927369594574;62.194201135635375;61.39917182922363;62.356589794158936;62.238594102859494;60.005917096138;62.128825950622556
HFVRP_p14;604.4549179077148;60.00296075344086;60.04064843654633;60.0272775888443;60.04524238109589;60.0190808057785;60.001804327964784;60.01805534362793;60.00318264961243;60.002644777297974;60.00730223655701
C1_2_6;60.093762546777725;60.05618116259575;60.11731034517288;60.00559028983116;60.02306363317702;60.23683092329237;60.03072799576653;60.21629014611244;60.061930126614044;60.10013094544411;60.09884815745883
CVRP_p5;601.547839641571;60.00114281177521;60.00256600379944;60.00077195167542;60.00412645339966;60.025627207756045;60.00077514648437;60.002988409996036;60.00183870792389;60.00098958015442;60.00331485271454
CVRP_4;600.9110879898071;60.00625841617584;60.003491806983945;60.00794904232025;60.007545137405394;60.003138256073;60.00071492195129;60.0139194726944;60.00436205863953;60.00062246322632;60.00184874534607
C1_4_7;60.56991511583328;61.14839640259743;62.04372423887253;61.07254046201706;61.480875223875046;62.29019811749458;61.545177191495895;61.129675298929214;61.53433075547218;60.36648863554001;62.51019385457039
C1_4_1;60.021863079071046;61.11473019123078;61.94782140254974;61.00976724624634;61.555134296417236;61.60562510490418;61.95860106945038;66.14538831710816;62.225816345214845;60.67733492851257;61.603735423088075
C1_6_3;60.03542263507843;60.021413350105284;61.6851717710495;61.297203946113584;61.29193818569183;63.207461977005;62.452398610115054;60.050243973731995;63.22275176048279;60.02223610877991;61.322014689445496
C1_2_1;60.22229725122452;60.051479041576385;60.021761149168015;60.06440871953964;60.07122182846069;60.06303545832634;60.066297113895416;60.05020982027054;60.03125411272049;60.02213141322136;60.04545509815216
CVRP_p3;60.00086696147919;60.002168202400206;60.000623154640195;60.00058355331421;60.00051229000091;60.00211577415466;60.00430960655213;60.000482535362245;60.000654864311215;60.001176142692564;60.00206649303436
C1_6_2;60.09675309062004;60.03284168243408;60.413316786289215;60.00896629691124;61.17039147019386;61.85198184847832;63.056572288274765;60.01446810364723;62.383484959602356;60.0204496383667;61.188229471445084
C1_4_4;60.019259214401245;61.27749666571617;61.75434574484825;60.70818990468979;61.699148178100586;61.273859322071075;60.66874501109123;61.306303679943085;62.035594165325165;60.61647242307663;61.74167948961258
CVRP_100;60.00051753520965;60.00035951137543;60.000613164901736;60.00050103664398;60.00098886489868;60.00027959346771;60.00114142894745;60.000405240058896;60.000419807434085;60.000803279876706;60.000751161575316
C1_2_5;60.01333451271057;60.06255543231964;60.2264066696167;60.22296421527862;60.158498764038086;60.02899036407471;60.07394948005676;60.165157437324524;60.07139539718628;60.17314965724945;60.10378530025482
C1_4_3;60.022531151771545;61.09581670165062;62.158595353364944;61.768855422735214;61.190895318984985;61.57219210267067;60.82506227493286;61.325856655836105;60.85468816757202;60.88143229484558;62.92593365907669
HFVRP_1;95472.83802509308;60.000612020492554;60.00214295387268;60.00163462162018;60.00293436050415;60.000495719909665;60.00039677619934;60.00200753211975;60.000571608543396;60.00168268680572;60.00240049362183
C1_4_2;60.012506175041196;65.65720858573914;62.2454338312149;60.68511710166931;64.52012979984283;61.50954637527466;62.33300414085388;61.68443124294281;65.8016371011734;60.177615356445315;61.13540751934052
C1_2_3;60.09031140804291;63.08964898586273;60.05054438114166;60.037852835655215;60.00123584270477;60.03325145244598;60.0800183057785;60.023951172828674;60.02408757209778;60.12530086040497;60.09899649620056
C1_4_6;60.01142755150795;60.333655297756195;61.28028956055641;60.905277609825134;60.91054826974869;62.375535786151886;62.51225137710571;61.23157772421837;61.68396094441414;61.41346377134323;61.51734322309494
