Instance;LOCAL_CHEAPEST_COST_INSERTION_and_TABU_SEARCH;CHRISTOFIDES_and_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_TABU_SEARCH;SAVINGS_and_TABU_SEARCH
HFVRP_4;74374.4;77439.4;74292.8;84601.1;84925.5;976710.0;74783.4;74111.4;84855.3;75596.3;80153.6
C1_4_9;683554.8;566458.1;657595.5;556051.8;561126.0;1168780.4;540790.2;556047.0;553641.0;555941.6;540224.0
C1_6_4;1781872.375;1168501.875;1624706.25;1181362.5;1184462.0;4227863.0;1183004.5;1191189.0;1185302.5;1240319.5;1155853.0
C1_6_5;1650304.75;1166077.25;1538054.5;1181510.125;1185703.75;4045114.875;1175059.375;1183740.375;1185538.875;1226309.0;1155853.0
C1_2_7;231030.0;231060.0;230986.8;237017.0;227745.9;250662.2;216307.0;237017.0;230946.0;227749.4;217820.8
C1_4_10;699365.9;566482.1;670223.9;556056.6;561129.8;1119497.2;540674.9;556056.6;553658.4;553636.0;540224.0
HFVRP_p14;323115.0;321753.2;323115.0;312823.3;305188.9;3245220.0;290826.3;304630.0;317522.0;317764.0;313281.9
C1_2_6;230832.625;231060.0;230502.25;237017.0;228160.11111111112;248892.0;216268.75;237017.0;230946.0;227650.875;217610.0
CVRP_p5;70529.1;70606.8;70776.6;67719.8;68612.8;760500.0;67974.0;68104.3;70450.8;68882.4;69591.2
CVRP_4;180222.0;179358.0;180346.5;178482.0;179430.5;1942240.0;179732.7;178482.0;178260.0;179629.4;178756.0
C1_4_7;666109.25;566259.75;666025.375;556053.0;561126.0;1055335.375;540619.125;556053.0;553662.75;553636.0;540224.0
C1_4_1;718859.7;566477.0;670009.0;556051.8;561126.0;1072446.6;540590.5;556056.6;553658.4;553636.0;540224.0
C1_6_3;1626481.5;1166047.3;1514650.0;1175891.1;1185736.2;3480403.7;1173244.3;1182771.8;1185542.2;1217964.4;1155907.1
C1_2_1;230858.375;231060.0;230832.75;237017.0;227407.0;248409.125;216307.0;237017.0;230946.0;227650.875;217576.0
CVRP_p3;76414.0;76794.0;76414.0;75570.0;77423.0;78117.4;77095.1;75570.0;77100.8;76915.7;76242.0
C1_6_2;1682514.75;1166942.875;1537928.75;1177650.25;1186908.875;4458858.125;1180905.0;1182173.5714285714;1187434.625;1229097.875;1156050.375
C1_4_4;662205.0;566121.375;659887.875;556047.0;561126.0;978305.375;540507.75;556047.0;553662.75;553636.0;540224.0
CVRP_100;26205.0;26205.0;26205.0;26569.0;26205.0;26205.0;26205.0;26569.0;26205.0;26205.0;26205.0
C1_2_5;230853.8;231060.0;230775.7;237017.0;228084.8;247230.4;216241.8;237017.0;230946.0;227749.4;217698.4
C1_4_3;675914.25;566363.5;667461.0;556053.0;561126.0;1043758.5;540655.75;556059.0;553641.0;553636.0;540224.0
HFVRP_1;59866.0;59153.6;59866.0;59618.0;59344.0;705250.0;59234.2;59618.0;59569.2;59696.4;59568.5
C1_4_2;675224.0;566560.0;662540.7;556047.0;561126.0;1036455.0;540589.9;556047.0;553641.0;553636.0;540224.0
C1_2_3;230630.4;231060.0;230691.8;237017.0;227407.0;246337.9;216178.6;237017.0;230946.0;227693.1;217698.4
C1_4_6;677818.25;566352.5;669991.0;556053.0;561130.75;999857.875;540581.75;556059.0;553662.75;553636.0;540224.0
C1_4_8;695775.5;566432.625;658855.75;556047.0;561126.0;1022454.375;540692.75;556047.0;553641.0;553636.0;540224.0
C1_2_10;230623.66666666666;231060.0;230427.88888888888;237017.0;227407.0;247052.0;216167.0;237017.0;230946.0;227611.77777777778;217453.6
C1_2_4;230691.8;231060.0;230691.8;237017.0;227407.0;248166.4;216176.6;237017.0;230946.0;227636.8;217698.4
C1_6_1;1717108.9;1167801.6;1586927.7;1180802.4;1188367.1;4477625.7;1183363.2;1184663.3;1187661.3;1242972.1;1155993.7
CVRP_p14;352537.6;306403.0;352407.0;308075.0;309621.6;343594.1;317401.1;310031.0;305392.0;316139.9;343655.3
C1_2_8;230603.7;231060.0;230603.7;237017.0;228084.8;249255.8;216241.8;237017.0;230946.0;227693.1;217637.2
C1_2_9;230639.44444444444;231060.0;230623.66666666666;237017.0;227407.0;247836.0;216236.77777777778;237017.0;230946.0;227611.77777777778;217623.55555555556
C1_2_2;230502.25;231060.0;230684.125;237017.0;227649.75;246656.5;216184.75;237017.0;230946.0;227580.5;217499.5
CVRP_1;78583.0;79529.7;78539.7;78847.6;79277.2;79589.0;79584.8;78781.2;79313.2;79879.0;79982.3
HFVRP_p3;77574.2;74401.0;77958.5;75351.2;75762.0;852510.0;75087.0;75380.6;75762.0;75387.6;74575.8
C1_4_5;674434.8;566394.0;671785.3;556061.4;561129.8;1133662.3;540604.3;556061.4;553658.4;553947.6;540224.0
HFVRP_p5;75306.1;74936.5;75553.4;75563.0;76440.1;858580.0;76268.9;75642.8;75772.0;73502.0;75912.7
CVRP_3;7770.0;777.0;7770.0;7770.0;777.0;7770.0;7770.0;7770.0;777.0;7770.0;777.0
