Instance;LOCAL_CHEAPEST_COST_INSERTION_and_TABU_SEARCH;CHRISTOFIDES_and_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_TABU_SEARCH;SAVINGS_and_TABU_SEARCH
HFVRP_4;60.00102076530457;60.001275181770325;60.00109851360321;60.00073602199554;60.0018031835556;2192.2556376457214;60.00171639919281;60.00078203678131;60.00079023838043;60.00112648010254;75.92349026203155
C1_4_9;60.36150681972504;61.004317212104795;61.249935674667356;61.347471594810486;61.67840087413788;60.028357529640196;60.65857412815094;61.92488384246826;61.62500960826874;61.729101228713986;61.041253614425656
C1_6_4;60.07979851961136;61.78076082468033;60.024177104234695;61.65824428200722;66.23522686958313;60.100062131881714;60.02401959896088;60.41263070702553;66.02353131771088;60.07740330696106;65.37178799510002
C1_6_5;60.069437593221664;62.66229239106178;60.01202592253685;64.88327452540398;63.9245425760746;60.088950514793396;60.401181131601334;61.20141491293907;60.778121799230576;60.07487192749977;64.40228566527367
C1_2_7;60.06182539463043;60.05286898612976;60.007540225982666;60.00313053131104;60.02180325984955;60.01495578289032;60.10635278224945;60.060875868797304;60.07948100566864;60.124764752388;60.06503555774689
C1_4_10;60.006963682174685;61.980478811264035;60.673812127113344;62.344997358322146;62.37131493091583;60.03895225524902;61.875764918327334;62.014170622825624;61.97578029632568;61.9166002035141;62.32677593231201
HFVRP_p14;60.002592992782596;60.00246834754944;60.003076148033145;60.002678632736206;60.001855087280276;604.4549179077148;60.00281746387482;60.00256307125092;60.01972987651825;60.003948950767516;60.00205268859863
C1_2_6;60.02583622932434;60.06707265641954;60.02456638216972;60.002381324768066;60.09481938680013;60.00197187066078;60.05489641427994;60.003081262111664;60.162997563680015;60.068772077560425;60.04873225424025
CVRP_p5;60.00045301914215;60.00238702297211;60.00411684513092;60.006977033615115;60.00086421966553;601.547839641571;60.00344581604004;60.00060901641846;60.00054221153259;60.001722645759585;60.00453758239746
CVRP_4;60.000421333312985;60.00088198184967;60.00698821544647;60.00264253616333;60.006689453125;600.9110879898071;60.00730865001678;60.000920581817624;60.00199015140534;60.006088089942935;60.01101338863373
