Instance;SAVINGS_and_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;SAVINGS_and_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_and_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH
HFVRP_4;80153.6;75504.0;73394.0;75504.0;75504.0
C1_4_9;540224.0;540791.2;540224.0;540702.7;540654.4
C1_6_4;1155853.0;1182652.5;1155853.0;1183601.375;1180758.375
C1_6_5;1155853.0;1177913.125;1155853.0;1177498.125;1176234.125
C1_2_7;217820.8;216792.0;217882.0;216792.0;216792.0
C1_4_10;540224.0;540747.0;540224.0;540704.5;540703.3
HFVRP_p14;313281.9;290968.0;313571.0;290968.0;290968.0
C1_2_6;217610.0;216792.0;217882.0;216792.0;216792.0
CVRP_p5;69591.2;68561.0;68584.6;68561.0;68561.0
CVRP_4;178756.0;183817.0;179479.0;183817.0;183817.0
C1_4_7;540224.0;540619.125;540224.0;540656.5;540626.625
C1_4_1;540224.0;540679.6;540224.0;540674.9;540633.3
C1_6_3;1155907.1;1176175.3;1155907.1;1174820.3;1173400.6
C1_2_1;217576.0;216792.0;217882.0;216792.0;216792.0
CVRP_p3;76242.0;79839.0;77007.9;79839.0;79839.0
C1_6_2;1156050.375;1180062.5;1155920.625;1177907.375;1181690.25
C1_4_4;540224.0;540551.125;540224.0;540618.0;540544.0
CVRP_100;26205.0;26205.0;26205.0;26424.0;26205.0
C1_2_5;217698.4;216792.0;217882.0;216792.0;216792.0
C1_4_3;540224.0;540551.875;540224.0;540692.75;540618.75
HFVRP_1;59568.5;60636.0;59252.4;61676.0;61676.0
C1_4_2;540224.0;540589.0;540224.0;540620.4;540632.1
C1_2_3;217698.4;216792.0;217882.0;216792.0;216792.0
C1_4_6;540224.0;540780.125;540224.0;540612.875;540581.75
C1_4_8;540224.0;540910.0;540224.0;540691.75;540693.5
C1_2_10;217453.6;216792.0;217882.0;216792.0;216792.0
C1_2_4;217698.4;216792.0;217882.0;216792.0;216792.0
C1_6_1;1155993.7;1184911.5;1156015.3;1179316.4;1181644.6
CVRP_p14;343655.3;317762.0;342921.0;317762.0;317762.0
C1_2_8;217637.2;216792.0;217882.0;216792.0;216792.0
C1_2_9;217623.55555555556;216792.0;217882.0;216792.0;216792.0
C1_2_2;217499.5;216792.0;217882.0;216792.0;216792.0
CVRP_1;79982.3;82361.0;78524.6;82511.0;82511.0
HFVRP_p3;74575.8;75087.0;74303.9;75087.0;75087.0
C1_4_5;540224.0;540621.0;540224.0;540703.9;540617.2
HFVRP_p5;75912.7;78876.0;75827.3;78876.0;77041.0
CVRP_3;777.0;10000.0;777.0;10000.0;10000.0
