Instance;LOCAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;ALL_UNPERFORMED_and_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GENERIC_TABU_SEARCH;CHRISTOFIDES_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;SAVINGS_and_GENERIC_TABU_SEARCH;SWEEP_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;BEST_INSERTION_and_GENERIC_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;EVALUATOR_STRATEGY_and_GENERIC_TABU_SEARCH
att48;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0
pr76;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0
pr107;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0
st70;56365.0;55630.0;56365.0;56365.0;56365.0;56365.0;56365.0;55630.0;55630.0;56365.0;55630.0;55630.0;55630.0;55630.0;55630.0
ulysses22;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0
rd100;167409.8;166410.0;166410.0;166410.0;166410.0;166410.0;166410.0;166410.0;166410.0;166410.0;166410.0;166410.0;166410.0;166410.0;166410.0
pr124;159793.0;159793.0;159793.0;159793.0;159793.0;159793.0;159793.0;159793.0;159793.0;159793.0;159793.0;159793.0;159793.0;159793.0;159793.0
d493;370392.8;371454.1;371848.8;373419.0;372409.1;373073.6;376073.9;373524.2;372943.3;370803.0;369631.3;369735.4;369469.7;370029.1;371367.9
ulysses16;6784.0;6840.0;6784.0;6858.0;6858.0;6840.0;6840.0;6784.0;6784.0;6784.0;6858.0;6858.0;6840.0;6840.0;6858.0
dsj1000;538590.8;538525.6;529059.3;538394.7;537728.6;536313.1;536795.1;537309.3;537895.3;539032.5;535002.4;538187.3;525756.4;534796.8;537383.5
u724;447106.8;433605.3;437302.7;435369.4;437581.0;439949.9;438454.4;444475.8;438361.1;443333.6;440610.8;428817.0;431146.8;439700.0;437986.6
ch150;202608.0;199427.0;202608.0;202608.0;197462.0;202608.0;197462.0;203554.0;199427.0;197462.0;199427.0;203554.0;203554.0;203554.0;199427.0
d657;426688.2;425965.6;425886.6;425544.2;425688.5;424723.8;426008.2;426533.6;429575.4;423921.3;426145.5;429435.0;429213.5;428104.6;428334.7
