Instance;CHRISTOFIDES_and_GREEDY_DESCENT;EVALUATOR_STRATEGY_and_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_and_GREEDY_DESCENT;ALL_UNPERFORMED_and_GREEDY_DESCENT;BEST_INSERTION_and_GREEDY_DESCENT;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;SWEEP_and_GREEDY_DESCENT;SAVINGS_and_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_and_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_and_GREEDY_DESCENT;PARALLEL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_and_GREEDY_DESCENT
att48;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0
pr76;136087.0;136087.0;136087.0;136087.0;136087.0;132188.0;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0
pr107;134219.0;134219.0;134219.0;134219.0;134219.0;144980.0;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0
st70;56365.0;55630.0;56365.0;55630.0;56365.0;56332.0;56365.0;55630.0;55630.0;56365.0;56365.0;55630.0;55630.0;55630.0;56365.0
ulysses22;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0
rd100;166410.0;166410.0;166410.0;166410.0;166410.0;167193.0;166410.0;166410.0;166410.0;166410.0;166410.0;166670.9;166410.0;166410.0;166410.0
pr124;159793.0;159793.0;159793.0;159793.0;159793.0;161492.0;159793.0;159793.0;159793.0;159793.0;159793.0;159793.0;159793.0;159793.0;159793.0
d493;375126.2;368622.9;371182.4;371002.6;370209.0;362999.0;370584.9;373154.8;372836.0;372881.1;373136.8;370409.9;373672.8;371732.7;373036.5
ulysses16;6840.0;6840.0;6858.0;6784.0;6858.0;6784.0;6858.0;6858.0;6858.0;6784.0;6784.0;6840.0;6784.0;6840.0;6840.0
dsj1000;537096.7;532852.8;523967.2;537182.2;536221.5;516341.7;539495.3;534891.9;536530.4;535756.7;540358.2;537653.0;535276.4;537442.0;537546.8
u724;439151.5;436176.1;434143.8;436249.5;438148.2;419713.0;438131.1;440724.4;439604.9;435310.6;443320.1;441332.8;440915.1;441094.4;442379.6
ch150;202608.0;199427.0;202608.0;199427.0;197462.0;199238.0;202608.0;199427.0;203554.0;197462.0;202608.0;199427.0;203554.0;203554.0;197462.0
d657;432864.9;426139.0;430154.4;428932.7;429416.9;415485.1;426805.7;426928.6;427943.8;426496.8;429029.9;428501.8;425247.0;425191.8;428630.5
