Instance;CHRISTOFIDES_and_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_and_GUIDED_LOCAL_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;BEST_INSERTION_and_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;SWEEP_and_GUIDED_LOCAL_SEARCH;PATH_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_GUIDED_LOCAL_SEARCH
att48;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;124408.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0
pr76;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0;131750.0;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0
pr107;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0;139327.0;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0
st70;55630.0;56365.0;55630.0;55630.0;56365.0;55630.0;56365.0;56365.0;55630.0;56365.0;56365.0;55630.0;56365.0;55630.0;55630.0
ulysses22;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0
rd100;166410.0;166410.0;166410.0;166410.0;166410.0;166410.0;166410.0;166410.0;169754.0;166410.0;166410.0;149769.0;166410.0;166410.0;166410.0
pr124;159793.0;159793.0;159793.0;159793.0;159793.0;159793.0;159793.0;159793.0;161842.0;159793.0;159793.0;159793.0;159793.0;159793.0;159793.0
d493;370841.1;373362.7;371380.0;371729.9;372238.8;369468.9;372592.0;372553.2;369771.5;370748.5;371595.7;372967.8;372841.6;369410.1;372225.5
ulysses16;6858.0;6858.0;6840.0;6858.0;6858.0;6784.0;6840.0;6784.0;6840.0;6858.0;6784.0;6784.0;6840.0;6784.0;6840.0
dsj1000;536533.9;536808.2;537927.7;538467.7;538424.0;537413.9;540311.1;537348.6;525438.5;539404.5;536739.0;528306.7;536845.4;539792.6;533969.1
u724;440603.6;437722.5;439456.3;444344.0;443450.6;436515.5;436606.7;443677.5;435216.3;445221.6;436418.4;432189.0;436667.0;442106.6;434384.5
ch150;199427.0;197462.0;199427.0;203554.0;202608.0;203554.0;202608.0;202608.0;197995.0;197462.0;197462.0;199427.0;197462.0;199427.0;203554.0
d657;427387.9;424209.5;430635.8;426421.5;425850.6;427015.3;429513.5;428032.0;419927.3;428000.8;425716.0;425213.3;427903.1;431181.6;426730.6
