Instance;SAVINGS_and_SIMULATED_ANNEALING;BEST_INSERTION_and_SIMULATED_ANNEALING;PARALLEL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;SWEEP_and_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_and_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;ALL_UNPERFORMED_and_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_and_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_and_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;CHRISTOFIDES_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING
att48;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0;129506.0
pr76;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0;136087.0
pr107;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0;134219.0
st70;56365.0;56365.0;55630.0;55630.0;55630.0;56365.0;55630.0;56365.0;55630.0;56365.0;56365.0;55630.0;55630.0;56365.0;55630.0
ulysses22;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0;6919.0
rd100;166410.0;166410.0;166410.0;166410.0;166410.0;166410.0;167440.0;166410.0;166410.0;166410.0;166410.0;166410.0;166410.0;166410.0;166410.0
pr124;159793.0;159793.0;159793.0;159793.0;159793.0;160924.1;166752.0;159793.0;159793.0;159793.0;159793.0;159793.0;159793.0;159793.0;159793.0
d493;373133.6;371965.1;372045.1;373627.2;370866.6;374206.4;368145.4;370342.9;373342.5;370888.8;371482.5;371036.5;371354.0;374198.4;371720.2
ulysses16;6858.0;6840.0;6784.0;6840.0;6784.0;6858.0;6858.0;6840.0;6858.0;6840.0;6784.0;6784.0;6858.0;6784.0;6840.0
dsj1000;535567.5;543025.9;537860.9;536375.8;536633.9;537646.3;523770.4;538341.4;538960.6;525972.1;539938.5;538186.0;540540.1;538395.1;535412.1
u724;434973.3;431262.3;439296.8;439466.7;434522.5;444702.7;430367.4;440620.4;434212.4;432274.3;443725.1;440882.0;441630.0;443392.2;439674.5
ch150;202608.0;202608.0;199427.0;199427.0;203554.0;197462.0;199427.0;197462.0;203554.0;197462.0;202608.0;203554.0;199427.0;197462.0;203554.0
d657;428197.9;427499.6;426820.4;429690.5;425766.4;429293.7;426511.0;428238.9;431342.6;430837.8;425876.2;427570.8;427410.6;426390.7;431393.9
