Instance;PATH_CHEAPEST_ARC_and_TABU_SEARCH;EVALUATOR_STRATEGY_and_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_and_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_and_GREEDY_DESCENT;PATH_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH
att48;129506.0;129506.0;129506.0;129506.0;129506.0
pr76;136087.0;136087.0;136087.0;136087.0;136087.0
pr107;134219.0;134219.0;134219.0;134219.0;134219.0
st70;56365.0;55630.0;55630.0;55630.0;55630.0
ulysses22;6919.0;6919.0;6919.0;6919.0;6919.0
rd100;166410.0;166410.0;149769.0;166410.0;166410.0
pr124;159793.0;159793.0;159793.0;159793.0;159793.0
d493;369869.4;370866.6;372967.8;368622.9;369469.7
ulysses16;6784.0;6784.0;6784.0;6840.0;6840.0
dsj1000;525467.8;536633.9;528306.7;532852.8;525756.4
u724;425147.4;434522.5;432189.0;436176.1;431146.8
ch150;197462.0;203554.0;199427.0;199427.0;203554.0
d657;428655.9;425766.4;425213.3;426139.0;429213.5
