Instance;BEST_INSERTION_and_GENERIC_TABU_SEARCH;ALL_UNPERFORMED_and_GENERIC_TABU_SEARCH;EVALUATOR_STRATEGY_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GENERIC_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GENERIC_TABU_SEARCH;SAVINGS_and_GENERIC_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;SWEEP_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;CHRISTOFIDES_and_GENERIC_TABU_SEARCH
CVRP_3;82231.0;82854.2;82854.2;82231.0;82854.2;82231.0;82854.2;82854.2;82231.0;82231.0;82854.2;82854.2;82854.2;82231.0;82231.0
p3;107215.1;106720.2;105076.6;106033.5;106190.5;102705.0;104826.6;105415.4;106100.7;108483.9;107425.8;107274.8;105477.9;106774.3;107970.8
p1;77300.4;76986.5;77042.2;77839.3;76795.2;77547.4;78479.0;77542.7;77312.8;78047.9;76934.0;76807.6;77334.1;77491.7;77439.2
CVRP_5;95286.4;94886.4;97853.7;97515.8;97610.7;95867.6;94597.0;95109.5;96626.4;95932.4;94823.3;96346.6;96417.9;97099.8;97695.1
p31;67579.1;69503.6;69503.6;67579.1;69503.6;67579.1;69012.1;69503.6;67579.1;67579.1;69012.1;69012.1;69012.1;67579.1;67579.1
CVRP_2;83622.7;83728.5;83459.4;83499.0;83629.9;83570.9;83878.9;83317.8;83472.3;83299.0;83436.5;83479.5;83766.8;83472.3;83050.0
CVRP_100;34091.0;34123.0;34123.0;34091.0;34123.0;34091.0;34123.0;34123.0;34091.0;34091.0;34123.0;34123.0;34123.0;34091.0;34091.0
p2;77410.5;77142.8;77320.8;77225.4;77320.8;77047.4;77142.8;77505.9;77410.5;77047.4;77142.8;77320.8;77505.9;77410.5;77225.4
CVRP_4;95123.6;96952.2;91444.0;94320.5;96111.3;98402.7;94692.2;98021.2;95604.7;96152.9;93105.9;93382.2;94002.2;93802.6;95989.7
CVRP_1;82391.1;82067.0;82576.8;82774.2;82576.8;82264.4;82931.5;82193.7;82158.8;82264.4;82067.0;82576.8;82193.7;82391.1;82774.2
