Instance;PARALLEL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;CHRISTOFIDES_and_GREEDY_DESCENT;SWEEP_and_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_and_GREEDY_DESCENT;LOCAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_and_GREEDY_DESCENT;EVALUATOR_STRATEGY_and_GREEDY_DESCENT;BEST_INSERTION_and_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_and_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_and_GREEDY_DESCENT;SAVINGS_and_GREEDY_DESCENT;ALL_UNPERFORMED_and_GREEDY_DESCENT;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT
CVRP_3;82854.2;82231.0;82854.2;82854.2;82854.2;82231.0;82854.2;82231.0;82854.2;82231.0;82231.0;82231.0;82231.0;82854.2;82854.2
p3;104845.0;106203.6;105630.3;107343.9;105623.3;103167.4;107420.5;105327.6;105214.4;106396.4;106942.3;105754.4;104679.1;106796.3;94890.9
p1;78421.0;78178.7;77864.8;77920.5;77812.3;78625.1;78212.4;78425.7;77673.5;78717.6;78191.1;78370.0;78317.5;77685.9;76973.1
CVRP_5;96921.8;95142.7;98331.6;95318.4;94287.2;94786.0;92898.5;97028.8;94494.8;97254.1;97575.3;97451.4;96141.6;95169.4;88033.7
p31;69012.1;67579.1;69012.1;69503.6;69503.6;67579.1;69503.6;67579.1;69012.1;67579.1;67579.1;67579.1;67579.1;69503.6;70310.0
CVRP_2;83436.5;83741.4;83479.5;83708.4;83187.5;83050.0;83885.5;83321.9;83760.2;83629.3;83342.0;83591.0;83180.3;83609.8;83739.8
CVRP_100;34123.0;34091.0;34123.0;34123.0;34123.0;34091.0;34123.0;34091.0;34123.0;34091.0;34091.0;34091.0;34091.0;34123.0;34846.1
p2;77142.8;77047.4;77320.8;77142.8;77320.8;77225.4;77142.8;77225.4;77505.9;77410.5;77225.4;77047.4;77410.5;77505.9;77505.9
CVRP_4;96440.7;97151.6;97136.9;97413.8;95810.7;93350.1;93066.4;92939.6;95679.5;95681.9;94268.9;97064.3;92071.2;95328.6;94816.6
CVRP_1;82067.0;82264.4;82576.8;82067.0;82576.8;82488.8;82506.1;82774.2;82193.7;82391.1;82774.2;82264.4;82391.1;82193.7;83058.2
