Instance;SWEEP_and_GUIDED_LOCAL_SEARCH;BEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_and_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;CHRISTOFIDES_and_GUIDED_LOCAL_SEARCH;PATH_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GUIDED_LOCAL_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_and_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_GUIDED_LOCAL_SEARCH
CVRP_3;82231.0;82854.2;82854.2;82231.0;82231.0;82231.0;82854.2;82231.0;82231.0;82854.2;82854.2;82854.2;82231.0;82231.0;82854.2
p3;102255.5;106208.7;104461.7;104987.3;106607.1;106772.1;104415.7;97319.7;107316.1;107834.6;105151.0;105578.6;105013.5;107252.6;105660.0
p1;78363.4;77750.0;77864.8;78128.8;78655.3;78307.7;78358.7;77315.1;78863.9;77858.2;77611.2;78150.1;78116.4;78255.2;77623.6
CVRP_5;95549.7;94904.3;95992.8;96881.6;96879.4;95061.6;94416.5;94956.9;96930.0;94701.9;94826.0;94750.0;97610.5;95146.9;97862.8
p31;67579.1;69012.1;69503.6;67579.1;67579.1;67579.1;69503.6;67579.1;67579.1;69012.1;69503.6;69503.6;67579.1;67579.1;69012.1
CVRP_2;83452.2;83317.8;83609.8;83472.3;83748.0;83342.0;83187.5;83306.0;83299.0;83459.4;83878.9;83766.8;83492.4;83050.0;83728.5
CVRP_100;34091.0;34123.0;34123.0;34091.0;34091.0;34091.0;34123.0;34306.7;34091.0;34123.0;34123.0;34123.0;34091.0;34091.0;34123.0
p2;77410.5;77505.9;77505.9;77410.5;77047.4;77225.4;77320.8;77047.4;77047.4;77320.8;77142.8;77505.9;77225.4;77225.4;77142.8
CVRP_4;93293.4;93885.3;97534.2;89020.0;94657.8;93714.7;94378.9;92582.3;94989.8;92217.5;95805.0;94650.4;94736.0;91322.3;93605.2
CVRP_1;82391.1;82193.7;82918.6;82391.1;82264.4;82774.2;82576.8;82032.1;82264.4;82576.8;82067.0;82193.7;82239.2;82774.2;82067.0
