Instance;LOCAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_and_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_and_SIMULATED_ANNEALING;ALL_UNPERFORMED_and_SIMULATED_ANNEALING;SWEEP_and_SIMULATED_ANNEALING;PARALLEL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;SAVINGS_and_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_and_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;CHRISTOFIDES_and_SIMULATED_ANNEALING;BEST_INSERTION_and_SIMULATED_ANNEALING
CVRP_3;82231.0;82231.0;82854.2;82854.2;82854.2;82854.2;82854.2;82231.0;82231.0;82854.2;82231.0;82854.2;82854.2;82231.0;82231.0
p3;105896.5;107155.6;102928.0;103894.2;106645.2;105383.3;104478.1;107090.5;105062.6;105714.2;107357.9;108712.8;105660.2;105587.7;106209.7
p1;77789.4;77928.2;77849.3;78031.7;77284.2;77423.0;77531.2;78328.3;78536.9;77296.6;78404.1;77823.1;77475.5;77980.7;77801.8
CVRP_5;95665.1;97213.1;94672.4;96717.7;94641.0;99521.5;97394.8;96217.8;96885.9;95861.8;94898.1;94588.9;94667.3;97845.7;95140.7
p31;67579.1;67579.1;69503.6;69012.1;69012.1;69503.6;69503.6;67579.1;67579.1;69012.1;67579.1;69012.1;69503.6;67579.1;67579.1
CVRP_2;83741.4;83180.3;83479.5;83317.8;83629.9;83436.5;83589.7;83499.0;83050.0;83609.8;83570.9;83885.5;83479.5;83472.3;83591.0
CVRP_100;34091.0;34091.0;34668.4;34123.0;34123.0;34123.0;34123.0;34091.0;34091.0;34123.0;34091.0;34123.0;34123.0;34091.0;34091.0
p2;77047.4;77410.5;77320.8;77505.9;77320.8;77142.8;77505.9;77225.4;77225.4;77505.9;77047.4;77142.8;77320.8;77410.5;77047.4
CVRP_4;91866.8;96968.6;93409.3;92233.6;95741.1;94072.5;95749.7;95701.8;98522.9;96899.4;97917.9;95699.5;95407.0;95621.1;93452.0
CVRP_1;82264.4;82391.1;83015.9;82255.5;82576.8;82067.0;82193.7;82774.2;82774.2;82193.7;81572.9;82067.0;82576.8;82391.1;82264.4
