Instance;ALL_UNPERFORMED_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_TABU_SEARCH;BEST_INSERTION_and_TABU_SEARCH;SAVINGS_and_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH;SWEEP_and_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_TABU_SEARCH;CHRISTOFIDES_and_TABU_SEARCH;EVALUATOR_STRATEGY_and_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_TABU_SEARCH
CVRP_3;82231.0;82231.0;82854.2;82854.2;82854.2;82854.2;82231.0;82854.2;82231.0;82231.0;82231.0;82854.2;82854.2;82231.0;82231.0
p3;109692.5;105047.3;104092.5;105689.7;106342.8;103398.0;106953.1;104046.8;107957.1;105246.2;107372.7;105940.7;109837.1;104615.9;106751.8
p1;78926.2;78635.9;78421.0;78212.4;77673.5;77864.8;78425.7;77812.3;78191.1;78317.5;78717.6;77685.9;77920.5;78370.0;78178.7
CVRP_5;97626.0;97223.6;97312.2;97761.5;95535.9;94370.0;96604.1;98015.1;100962.9;94313.0;94913.8;94783.2;95944.9;97394.8;96468.8
p31;67579.1;67579.1;69012.1;69503.6;69503.6;69012.1;67579.1;69012.1;67579.1;67579.1;67579.1;69503.6;69012.1;67579.1;67579.1
CVRP_2;83180.3;83629.3;83187.5;83636.5;83760.2;83609.8;83452.2;83187.5;83342.0;83299.0;83748.0;83728.5;83708.4;83591.0;83492.4
CVRP_100;34091.0;34091.0;34123.0;34123.0;34123.0;34123.0;34091.0;34123.0;34091.0;34091.0;34091.0;34123.0;34123.0;34091.0;34091.0
p2;77410.5;77410.5;77320.8;77320.8;77505.9;77505.9;77410.5;77320.8;77225.4;77047.4;77047.4;77142.8;77142.8;77047.4;77225.4
CVRP_4;91396.1;96409.7;98033.1;95680.8;93409.7;92926.0;95442.3;92545.3;97160.9;95636.3;94415.7;97828.7;92257.8;96888.0;95251.8
CVRP_1;82391.1;81623.6;82576.8;82576.8;82193.7;82193.7;82391.1;83441.3;82313.1;82264.4;82264.4;82067.0;82067.0;82264.4;82774.2
