Instance;PARALLEL_CHEAPEST_INSERTION_and_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH
CVRP_3;82231.0;82231.0;82231.0;82231.0;82854.2
p3;105246.2;105896.5;97319.7;103167.4;107425.8
p1;78317.5;77789.4;77315.1;78625.1;76934.0
CVRP_5;94313.0;95665.1;94956.9;94786.0;94823.3
p31;67579.1;67579.1;67579.1;67579.1;69012.1
CVRP_2;83299.0;83741.4;83306.0;83050.0;83436.5
CVRP_100;34091.0;34091.0;34306.7;34091.0;34123.0
p2;77047.4;77047.4;77047.4;77225.4;77142.8
CVRP_4;95636.3;91866.8;92582.3;93350.1;93105.9
CVRP_1;82264.4;82264.4;82032.1;82488.8;82067.0
