Instance;BEST_INSERTION_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GENERIC_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;SWEEP_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GENERIC_TABU_SEARCH;CHRISTOFIDES_and_GENERIC_TABU_SEARCH;ALL_UNPERFORMED_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;EVALUATOR_STRATEGY_and_GENERIC_TABU_SEARCH;SAVINGS_and_GENERIC_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH
C1_4_1;39500000.0;1063150.4;792563.4;39500000.0;762410.4;395000000.0;713532.8;986543.0;1048558.9;715002.7;659158.8;659995.7;395000000.0;728980.7;1135372.6
C1_2_7;259209.6;261356.9;261046.4;2182675.2;269140.8;258528.0;262267.6;260151.6;259209.6;260439.3;257663.0;260270.6;258528.0;259389.4;258868.8
C1_4_10;4527051.2;662232.2;650776.4;4532098.6;615521.9;654830.0;629589.9;657045.1;646955.2;639887.6;644798.0;630038.9;650811.0;627912.3;655745.0
C1_4_2;4533389.6;738467.2;683557.9;4563831.0;692628.7;642223.0;695164.8;733763.2;701880.1;673597.3;674739.4;671613.1;694690.0;644505.2;774228.0
C1_4_9;4494106.7;697364.3;646182.9;4526710.5;651955.6;645067.0;660416.3;658020.6;690782.3;653665.6;635019.2;637887.5;645749.0;612784.5;758784.1
C1_2_5;253199.0;281221.0;295751.4;19500000.0;275843.0;195000000.0;305640.0;289459.0;253199.0;260357.4;264814.0;279140.0;195000000.0;250318.0;253199.0
C1_2_4;240829.6;239880.8;265932.2;19500000.0;270335.6;195000000.0;268255.0;250629.5;239596.7;259987.2;256439.4;258401.0;195000000.0;236920.0;242056.5
C1_2_8;265709.0;253490.0;253696.0;19500000.0;274406.0;195000000.0;268624.1;287315.0;265709.0;265322.0;272695.0;259620.1;195000000.0;255124.2;265705.4
C1_4_5;4534309.7;722574.5;694679.3;4552976.6;670736.2;687438.0;637529.3;711900.9;700074.0;658794.3;659963.0;675556.7;661977.0;682442.0;694627.5
C1_6_1;1812018.8;4152727.7;1919823.9;59500000.0;2007986.2;595000000.0;1628320.3;2398367.3;1803424.7;1595468.2;1560583.6;1640253.3;595000000.0;1625262.9;1821185.9
C1_2_3;267813.0;267813.0;265547.9;2208180.3;274245.3;272830.0;286559.9;283929.7;276382.8;272410.7;272607.4;285284.5;286867.0;273612.9;276382.8
C1_6_3;1542324.5;4660820.7;1711503.4;59500000.0;1685854.0;595000000.0;1577612.6;1639870.5;1543769.8;1588872.9;1448581.7;1489524.4;595000000.0;1371885.5;1537425.5
C1_2_10;266896.8;272221.3;271505.3;2190943.5;267486.0;269282.0;265482.2;262220.0;273804.3;262690.3;269176.9;262805.5;259376.0;254046.2;268927.9
C1_2_9;280215.3;283421.0;282063.5;2205504.6;280090.1;283894.0;283402.7;279962.1;280215.3;281285.7;282338.7;281922.8;283894.0;280407.1;280215.3
C1_2_6;274048.0;277405.0;271868.0;19500000.0;288447.2;195000000.0;293495.0;265823.0;274048.0;277872.9;259037.0;280088.0;195000000.0;290229.0;274048.0
C1_4_6;4536364.4;675980.1;718212.3;4545775.7;668684.6;661973.0;656511.4;680384.2;694300.4;666075.2;653770.7;661755.6;661973.0;653268.8;710410.4
C1_4_4;39500000.0;1481749.0;686718.1;39500000.0;663030.9;395000000.0;652753.6;667170.8;1073763.7;822094.5;659117.6;659701.0;395000000.0;616273.8;1522553.7
C1_2_2;280192.9;260358.7;245927.1;2194156.5;253994.8;254890.0;266078.4;270359.6;261144.4;254071.0;242638.9;272397.9;260142.0;268034.3;256117.0
C1_2_1;241510.0;263330.0;261828.0;19500000.0;264053.0;195000000.0;302172.0;309938.3;241510.0;254361.2;251759.0;245772.0;195000000.0;238008.0;241510.0
C1_4_3;4542307.3;696636.2;688228.4;4553261.3;678283.2;665916.0;673063.4;670610.1;697444.8;669405.0;661151.9;674174.2;666406.2222222222;665921.5;770145.8
C1_6_2;1664419.4;4154230.4;1867398.6;59500000.0;1875047.6;595000000.0;1540614.3;2164564.4;1668687.2;1492473.5;1666536.4;1618865.5;595000000.0;1492925.3;1664056.5
C1_4_7;4567351.4;686473.1;651039.2;4536826.1;643673.4;651100.0;669142.7;644216.6;673304.1;652437.6;662721.4;632245.2;646480.0;670344.6;649803.4
C1_4_8;4564564.1;755417.7;701381.6;4559938.0;670730.7;649879.0;668505.1;698276.1;688261.6;667618.6;666514.5;670975.1;661308.0;657625.1;869464.9
