Instance;BEST_INSERTION_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GENERIC_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;SWEEP_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GENERIC_TABU_SEARCH;CHRISTOFIDES_and_GENERIC_TABU_SEARCH;ALL_UNPERFORMED_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;EVALUATOR_STRATEGY_and_GENERIC_TABU_SEARCH;SAVINGS_and_GENERIC_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH
C1_4_1;60.021257638931274;60.01224818229675;60.011915826797484;60.00644583702088;60.01919808387756;613.656656742096;60.068074679374696;60.00627565383911;60.01207778453827;60.03227140903473;60.033391451835634;60.07348911762237;613.656656742096;60.007416701316835;60.016351747512815
C1_2_7;17.692749881744383;12.49561948776245;17.56967086791992;12.49776918888092;18.448855757713318;7.54741644859314;12.363132619857788;17.737982535362242;17.635425639152526;12.530757117271424;12.300025510787965;17.676920437812804;6.813965585496691;17.669310092926025;12.438329792022705
C1_4_10;47.24052305221558;43.11290271282196;39.024024271965025;37.46542327404022;43.97916502952576;28.734637869728935;37.083348107337955;33.50052843093872;38.26002497673035;40.433695220947264;35.92221014499664;42.137944841384886;42.78466420703464;39.935278463363645;43.49838030338287
C1_4_2;47.95913016796112;43.20160300731659;41.24774899482727;43.84002220630646;39.2061990737915;44.019544495476616;42.53519420623779;41.28537182807922;51.76500818729401;43.82667384147644;36.44172580242157;42.562369632720944;45.58247860272726;36.11183795928955;44.76403276920318
C1_4_9;42.004304146766664;39.677149295806885;37.66279847621918;40.467037773132326;42.131162071228026;43.363186068005035;39.53779952526092;38.34810700416565;37.62526280879975;42.50924453735352;44.255134153366086;48.15652499198914;36.119356605741714;51.886877822875974;38.546049284934995
C1_2_5;60.01954600811005;60.0435352563858;60.00229794979096;60.005984687805174;60.00209813117981;603.9935636520386;60.003433680534364;60.00285215377808;60.042837619781494;60.004694604873656;60.02396774291992;60.02310125827789;603.9935636520386;60.00266427993775;60.01983551979065
C1_2_4;60.00419924259186;60.00388660430908;60.00237250328064;60.004731678962706;60.00210375785828;603.0674052238464;60.00532686710358;60.003595495224;60.023713850975035;60.02855226993561;60.010180187225345;60.011696434021;603.0674052238464;60.00323438644409;60.00545630455017
C1_2_8;61.11985173225403;60.00419223308563;60.00811319351196;60.004359412193295;60.021614623069766;2224.877505302429;60.028565001487735;60.007175827026366;60.00345091819763;60.029487776756284;60.01656267642975;60.00720863342285;2224.877505302429;60.00289552211761;60.004684352874754
C1_4_5;33.96220896244049;33.31937289237976;36.0857715845108;40.07695577144623;39.45917122364044;34.981133460998535;34.444455003738405;41.338345885276794;45.309962439537045;33.04281544685364;42.42568175792694;35.00005469322205;27.156795236799454;28.447657680511476;38.52469947338104
C1_6_1;60.415899229049685;60.01954426765442;60.02271671295166;60.10764334201813;60.01114764213562;1049.8165845870972;60.01415901184082;60.011248564720155;60.52685050964355;60.02299044132233;60.013802599906924;60.01105651855469;1049.8165845870972;60.01269502639771;60.57014834880829
C1_2_3;13.321096444129944;13.11579761505127;13.0846843957901;14.00610864162445;15.679911708831787;7.563194857703315;14.715915727615357;14.600038838386535;15.58662302494049;12.554736328125;14.701686763763428;14.25938947200775;9.217461877399021;14.104738402366639;15.654991507530212
C1_6_3;60.377796220779416;62.41791343688965;60.01288831233978;62.90873816013336;80.9111475944519;17300.07817029953;60.01299605369568;60.01319873332977;60.22792091369629;60.017209839820865;60.01609969139099;60.025707840919495;17300.07817029953;60.009580683708194;60.35314235687256
C1_2_10;15.01664297580719;16.29205701351166;13.411758542060852;12.128194355964661;14.765541672706604;7.892606655756633;14.973990488052369;13.152268934249879;13.196287751197815;16.0477486371994;13.55487039089203;15.976801252365112;9.348673105239868;12.3136775970459;13.230073285102844
C1_2_9;12.577403092384339;12.600442624092102;12.518841791152955;12.614903354644776;12.726948428153992;7.607158660888672;12.578001713752746;12.606429696083069;12.669635653495789;12.886350727081298;12.738999915122985;12.815439248085022;7.447861909866333;12.755760765075683;12.540574502944946
C1_2_6;60.01070597171783;60.004074168205264;60.00522139072418;60.004527068138124;60.003586530685425;602.4720215797424;60.00910263061523;60.00287971496582;60.00332405567169;60.02438929080963;60.011976313591006;60.015352201461795;602.4720215797424;60.00254580974579;60.00778369903564
