Instance;SAVINGS_and_GREEDY_DESCENT;BEST_INSERTION_and_GREEDY_DESCENT;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_and_GREEDY_DESCENT;PARALLEL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_and_GREEDY_DESCENT;ALL_UNPERFORMED_and_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_and_GREEDY_DESCENT;SWEEP_and_GREEDY_DESCENT;CHRISTOFIDES_and_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_and_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;EVALUATOR_STRATEGY_and_GREEDY_DESCENT
C1_4_1;724654.6;39500000.0;770712.8;1044448.3;660452.0;1155287.6;716925.8;713625.7;992654.6;784361.7;395000000.0;902214.6;39500000.0;659458.5;395000000.0
C1_2_7;257354.2;4104787.2;258528.0;259067.3;258235.4;2180385.6;258170.1;259978.0;4104787.2;275764.0;255984.0;258116.4;2180385.6;254762.8;255984.0
C1_4_10;620441.4;4522626.8;625375.0;651838.8;642597.5;651804.0;639225.9;636642.0;649722.9;634322.4;614159.0;656979.0;4513104.1;629588.8;651463.0
C1_4_2;679119.5;4579752.5;688487.0;729926.3;673398.9;749737.2;682520.6;686860.6;760832.5;683475.8;676287.0;740013.0;4558179.4;679550.9;667827.0
C1_4_9;642120.1;4511565.8;649748.8;684740.9;645847.7;734445.7;652642.0;647441.7;698798.3;683097.2;673436.0;648938.8;4519920.8;638013.8;647656.0
C1_2_5;251738.0;19500000.0;275843.0;281221.0;279140.0;19500000.0;269613.6;305640.0;19500000.0;297794.0;195000000.0;289459.0;19500000.0;264814.0;195000000.0
C1_2_4;236920.0;19500000.0;273331.0;19500000.0;258401.0;19500000.0;263375.4;268255.0;19500000.0;265921.0;195000000.0;251607.0;19500000.0;255470.0;195000000.0
C1_2_8;253759.0;19500000.0;274406.0;253490.0;260806.7;19500000.0;265322.0;267439.0;19500000.0;253696.0;195000000.0;286563.9;19500000.0;272695.0;195000000.0
C1_4_5;639745.9;4524645.5;663659.3;681960.3;664317.0;671464.9;648366.1;647616.2;697772.8;677301.5;657479.0;671474.3;4579599.5;667024.5;662763.0
C1_6_1;1642039.6;59500000.0;2017673.9;4239339.2;1650252.4;59500000.0;1636966.5;1687287.7;59500000.0;1956602.5;595000000.0;2443544.7;59500000.0;1558228.4;595000000.0
C1_2_3;266832.3;2195106.0;258696.0;2195106.0;259580.5;2182826.4;271830.2;266175.8;2182826.4;270618.6;272185.0;263545.6;2182476.3;265826.8;258307.0
C1_6_3;1372738.0;59500000.0;1703023.6;4672292.5;1496711.6;59500000.0;1583950.8;1582196.6;59500000.0;1714512.7;595000000.0;1636120.4;59500000.0;1454396.3;595000000.0
C1_2_10;271955.1;2185334.7;245814.0;250939.9;265855.6;2175549.9;273237.3;267583.7;2192813.7;270497.3;266896.0;261403.7;2192874.9;268456.0;262898.0
C1_2_9;280407.1;2205504.6;245855.0;283421.0;281922.8;2205504.6;281295.3;283440.2;2205504.6;281140.5;283894.0;279962.1;2205504.6;282338.7;283894.0
C1_2_6;290229.0;19500000.0;291078.0;277405.0;280088.0;19500000.0;274717.7;293495.0;19500000.0;271868.0;195000000.0;265823.0;19500000.0;263725.0;195000000.0
C1_4_6;652015.2;4536364.4;666365.6;687318.7;662449.5;716377.2;663076.0;655187.5;688601.6;704626.5;661973.0;663381.6;4545775.7;653920.9;662544.0
C1_4_4;617786.5;39500000.0;663372.1;1127289.1;663737.7;1337570.0;812614.0;652235.4;1010354.3;684643.3;395000000.0;670605.2;39500000.0;651886.6;395000000.0
C1_2_2;260148.5;2193268.2;270355.0;2194156.5;263287.2;2181154.2;262778.5;266563.5;2185822.5;263184.7;259266.0;257918.0;2179542.3;265088.5;259288.0
C1_2_1;238008.0;19500000.0;264053.0;263330.0;245772.0;19500000.0;254355.1;302172.0;19500000.0;261828.0;195000000.0;309622.0;19500000.0;251759.0;195000000.0
C1_4_3;658466.1;4545947.1;659892.6;709678.8;685572.9;762554.1;678788.1;678119.8;715680.4;686994.0;672802.6666666666;665644.6;4553908.3;674488.3;678745.3333333334
C1_6_2;1494900.9;59500000.0;1897401.8;4420876.4;1653264.4;59500000.0;1520221.7;1542957.6;59500000.0;1892847.4;595000000.0;2182874.8;59500000.0;1653428.1;595000000.0
C1_4_7;677784.0;4546041.2;697147.2;680574.2;659001.6;651494.4;652603.4;669762.9;654097.8;674312.9;653294.0;676874.2;4536826.1;662721.4;682337.0
C1_4_8;678996.6;4562582.3;679133.5;707202.3;694786.1;697380.1;672937.7;665286.7;697567.2;667108.7;663280.0;671533.9;4556244.6;669779.7;682307.0
