Instance;SWEEP_and_GUIDED_LOCAL_SEARCH;PATH_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_GUIDED_LOCAL_SEARCH;BEST_INSERTION_and_GUIDED_LOCAL_SEARCH;CHRISTOFIDES_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_and_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH
C1_4_1;395000000.0;763344.0;1065840.3;1000354.6;725866.4;39500000.0;963879.3;716408.1;39500000.0;713931.6;661943.3;658817.4;779414.4;395000000.0;1207065.1
C1_2_7;286067.0;256747.2;285688.1;284134.3;280489.7;285211.9;280342.7;282500.6;2207460.3;287435.3;284589.2;282621.4;269628.0;286067.0;284008.5
C1_4_10;652313.0;619037.9;659796.7;664203.9;629504.7;4521872.6;631712.4;644782.5;4531291.2;612562.8;631253.9;616323.7;636126.3;636364.0;651235.1
C1_4_2;684914.0;646026.9;732945.7;709401.1;701394.5;4570649.9;721987.3;695099.4;4564792.6;689214.8;696631.0;716064.2;696496.3;678787.0;738592.7
C1_4_9;651546.0;670489.2;693432.8;670790.0;669462.7;4544275.4;670417.6;676145.6;4533608.8;629350.5;666425.3;645076.5;649686.8;618311.0;702538.1
C1_2_5;195000000.0;275843.0;281221.0;308476.0;249472.0;308476.0;289459.0;273022.9;19500000.0;305191.0;276594.7;251483.0;297794.0;195000000.0;308476.0
C1_2_4;195000000.0;266106.6;270242.3;270685.0;245352.1;269761.8;252402.7;247558.4;19500000.0;267957.0;262226.2;255355.7;273849.5;195000000.0;272354.7
C1_2_8;195000000.0;274367.7;252079.4;275834.2;239170.0;275400.2;284008.1;266773.8;19500000.0;268209.3;249877.6;272831.5;267379.4;195000000.0;275725.1
C1_4_5;679289.0;662609.9;684998.4;704404.4;671164.6;4529491.1;678904.7;687755.0;4540322.6;644890.4;631705.2;703851.4;636269.3;669821.0;724760.6
C1_6_1;595000000.0;1997413.4;4376052.1;4229813.6;1630819.6;4280137.3;2393695.9;1605567.3;59500000.0;1644945.1;1646006.6;1525684.3;1934356.5;595000000.0;3812042.2
C1_2_3;254058.0;258262.5;264361.0;255869.5;259495.3;266613.3;264848.9;255465.2;2196564.0;264645.3;273701.2;256389.6;265600.0;273960.0;255869.5
C1_6_3;595000000.0;1695016.8;4605545.6;4876025.2;1372948.1;4664105.9;1633640.3;1582867.0;59500000.0;1579607.3;1494175.7;1463438.1;1713569.9;595000000.0;4276747.0
C1_2_10;265380.0;249636.4;270130.6;272281.2;260213.5;267270.9;267704.6;268696.7;2183438.4;270324.5;252533.5;249132.1;263907.8;269793.0;269232.0
C1_2_9;283894.0;266301.5;281631.1;279952.5;280629.5;279952.5;279938.9;280813.7;2205504.6;283440.2;284062.1;280596.0;281140.5;283894.0;279952.5
C1_2_6;195000000.0;283793.9;276544.0;308655.2;290229.0;307096.8;263849.0;272315.3;19500000.0;281936.0;277854.9;260572.7;280507.9;195000000.0;304319.3
C1_4_6;651516.0;681729.5;696392.5;681719.4;661402.5;4545775.7;691546.2;653159.3;4536364.4;665046.3;653666.4;662708.4;701708.5;697690.0;704717.3
C1_4_4;395000000.0;668014.5;1280305.7;1096274.0;617236.8;39500000.0;665724.7;824400.8;39500000.0;651153.4;666920.6;657663.1;687869.7;395000000.0;1436260.9
C1_2_2;251671.0;261908.5;263068.3;284987.8;256044.5;249234.4;272283.8;264606.2;2194156.5;273609.0;247612.8;253930.3;265696.7;255060.0;259242.1
C1_2_1;195000000.0;263505.0;275910.0;282517.0;247191.2;282517.0;309622.0;249876.5;19500000.0;302172.0;265246.5;251759.0;261828.0;195000000.0;282606.7
C1_4_3;659087.6666666666;693639.4;697167.4;730561.5;665144.9;4553576.3;683460.7;676968.9;4550316.9;668194.5;667109.4;675332.0;685030.0;671182.8888888889;753551.6
C1_6_2;595000000.0;1874929.3;4131212.0;4957365.0;1491163.4;5100060.2;2173228.2;1498036.6;59500000.0;1541356.1;1646812.4;1650583.2;1869428.8;595000000.0;4534346.5
C1_4_7;632425.0;664718.5;670136.2;651752.7;648395.7;4510394.0;667753.4;672989.2;4557215.6;633273.3;662100.3;648487.5;660467.7;629361.0;687421.6
C1_4_8;667479.0;676275.9;729322.2;711553.8;672894.5;4557914.9;664179.2;681401.9;4554941.0;682089.7;665623.7;674969.1;658032.7;677840.0;693325.6
