Instance;SWEEP_and_GUIDED_LOCAL_SEARCH;PATH_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_GUIDED_LOCAL_SEARCH;BEST_INSERTION_and_GUIDED_LOCAL_SEARCH;CHRISTOFIDES_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_and_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH
C1_4_1;613.656656742096;60.00535359382629;60.00811719894409;60.01019613742828;60.029764604568484;60.03525924682617;60.00673997402191;60.00951173305511;60.00511767864227;60.0958193063736;60.00557465553284;60.040392065048216;60.014704847335814;613.656656742096;60.010824751853946
C1_2_7;6.850161605411106;23.033887243270875;12.100971579551697;17.77086708545685;17.4538583278656;17.493059992790222;17.707122206687927;12.217427206039428;12.127375602722168;12.469295001029968;17.50102632045746;12.180917572975158;18.83732388019562;6.606033749050564;12.136434555053711
C1_4_10;42.03008307351006;38.827060675621034;44.022352886199954;47.58491179943085;43.17757532596588;50.93629257678985;42.48887302875519;48.575128483772275;40.42419707775116;42.50588998794556;39.19595122337341;37.845072174072264;35.72236452102661;40.39912202623155;56.235447430610655
C1_4_2;38.89673158857558;42.747184133529665;46.84894287586212;37.252484154701236;45.40837981700897;42.97082643508911;45.991774225234984;42.5488796710968;46.516804003715514;44.02237396240234;41.42035927772522;44.387670850753786;39.99435851573944;44.77365154690213;41.63101637363434
C1_4_9;33.919635401831734;43.33374383449554;49.63721530437469;45.093288326263426;38.84730637073517;37.384333682060245;37.13283772468567;35.45762021541596;40.3152202129364;40.26433229446411;40.85611536502838;45.97384693622589;38.35020940303802;40.02039668295119;41.0569442987442
C1_2_5;603.9935636520386;60.00263109207153;60.004834818840024;60.01114163398743;60.02454011440277;60.053244304656985;60.00209650993347;60.005216002464294;60.00387482643127;60.003955006599426;60.03458433151245;60.004351019859314;60.0157772064209;603.9935636520386;60.014782309532166
C1_2_4;603.0674052238464;60.04841451644897;60.01023757457733;60.003935837745665;60.015311455726625;60.0056512594223;60.00890855789184;60.004103255271914;60.0046480178833;60.00410759449005;60.004806423187254;60.008248114585875;60.00684621334076;603.0674052238464;60.00396599769592
C1_2_8;2224.877505302429;60.00324869155884;60.0048623085022;60.00396430492401;60.00300691127777;60.00322823524475;60.00288941860199;60.016807961463925;60.0041344165802;60.03594899177551;60.003555274009706;60.01180040836334;60.002575039863586;2224.877505302429;60.01182553768158
C1_4_5;29.154172235065037;37.81099550724029;41.60746383666992;40.48368937969208;42.14128909111023;49.47833561897278;39.95207538604736;37.19343614578247;35.31103773117066;45.10211653709412;43.861181545257566;36.65143496990204;40.63008363246918;33.70851233270433;43.808330583572385
C1_6_1;1049.8165845870972;60.01727828979492;60.02948973178864;60.020351433753966;60.009100031852725;60.0221004486084;60.01126344203949;60.01698887348175;60.59822108745575;60.028760242462155;60.01319699287414;60.020362091064456;60.01119973659515;1049.8165845870972;60.02309727668762
C1_2_3;7.61648088031345;13.950386953353881;16.39428493976593;13.97495412826538;13.911268925666809;15.999483013153077;14.08740439414978;13.005719304084778;13.96670503616333;13.811280822753906;13.949288463592529;13.869947624206542;16.034180569648743;8.589640272988213;13.93995225429535
C1_6_3;17300.07817029953;64.8527542591095;60.019912981987;60.02306115627289;60.015071511268616;60.02704713344574;60.01505048274994;60.01886031627655;138.20978426933289;60.02300560474396;60.01412379741669;60.019725584983824;60.209957933425905;17300.07817029953;60.03589146137237
C1_2_10;10.137605004840427;13.353572535514832;13.274330353736877;16.670849800109863;15.814651107788086;12.400243258476257;12.865935754776;13.410485792160035;13.986799669265746;11.557025980949401;16.04527485370636;12.769274115562439;15.994797849655152;8.420865880118477;14.487542223930358
