Instance;BEST_INSERTION_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;CHRISTOFIDES_and_SIMULATED_ANNEALING;PARALLEL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_and_SIMULATED_ANNEALING;SWEEP_and_SIMULATED_ANNEALING;SAVINGS_and_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_and_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_and_SIMULATED_ANNEALING;ALL_UNPERFORMED_and_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING
C1_4_1;39500000.0;714713.0;765165.1;954870.1;660139.3;658581.2;791382.7;395000000.0;735090.6;395000000.0;1110754.7;713962.5;39500000.0;1109297.5;1226549.8
C1_2_7;4125675.2;281453.3;274514.0;278310.4;278260.8;280600.1;250441.0;282094.0;278417.2;282094.0;282524.8;283477.0;2203884.6;279270.8;280682.4
C1_4_10;4510025.0;625262.2;649496.1;636832.8;635416.0;650458.9;632973.7;646203.0;670911.9;629939.0;682456.8;629665.6;4527762.6;641558.1;656768.3
C1_4_2;4552814.9;682890.1;666452.0;697185.2;682579.4;698055.4;673485.8;662675.0;714275.7;681928.0;725720.7;660941.0;4553403.6;719850.3;802397.2
C1_4_9;4525849.7;659654.7;652990.6;658411.7;664231.4;659408.6;627183.3;636957.0;666614.4;671902.0;706130.1;670869.1;4551384.2;668585.5;743651.9
C1_2_5;19500000.0;246302.2;300258.0;289459.0;269726.4;270599.3;297612.2;195000000.0;248971.0;195000000.0;289041.4;306713.0;19500000.0;293059.0;293059.0
C1_2_4;19500000.0;248637.8;268973.5;251839.6;258401.0;259347.6;260987.8;195000000.0;236920.0;195000000.0;256087.5;268255.0;19500000.0;269206.4;268707.8
C1_2_8;19500000.0;266673.8;274099.0;287751.4;255934.2;272695.0;268820.1;195000000.0;253759.0;195000000.0;253136.8;267489.6;19500000.0;281808.0;281808.0
C1_4_5;4547216.6;686725.0;669877.4;705444.5;645104.6;658407.9;664796.8;662833.0;639855.7;646494.0;675767.2;671027.3;4524748.1;727356.7;683278.5
C1_6_1;59500000.0;1612209.6;1994863.2;2399352.8;1659749.7;1550140.6;1950954.5;595000000.0;1629799.9;595000000.0;4344592.4;1651027.0;59500000.0;4106866.9;4111380.3
C1_2_3;2197450.5;257818.1;274635.0;260194.9;274858.9;271504.0;272963.1;256616.0;272735.0;275283.0;273285.5;261554.2;2197754.7;274872.7;274872.7
C1_6_3;59500000.0;1590866.0;1702604.2;1635380.9;1492356.9;1445620.1;1719049.7;595000000.0;1368125.1;595000000.0;4687555.9;1562398.2;59500000.0;3851277.1;4505221.1
C1_2_10;2193676.8;260794.0;263423.4;250284.2;269709.1;269093.1;270065.5;250611.0;265839.3;273282.0;262875.7;255791.0;2197113.9;270314.4;269793.3
C1_2_9;2205504.6;281295.3;280090.1;279953.1;280263.7;282338.7;282063.5;283894.0;280407.1;283894.0;283421.0;283440.2;2205504.6;282054.6;282054.6
C1_2_6;19500000.0;274717.7;309358.8;280836.2;279001.0;258743.0;271868.0;195000000.0;290229.0;195000000.0;277405.0;293495.0;19500000.0;297535.6;297568.1
C1_4_6;4536364.4;667791.3;676238.9;666726.6;663077.7;654433.9;712504.1;661973.0;652015.2;661973.0;694742.7;654632.5;4545775.7;705823.5;719138.9
C1_4_4;39500000.0;821372.5;665303.2;668793.9;656743.8;657553.3;688401.6;395000000.0;615042.9;395000000.0;1261027.6;651966.6;39500000.0;1084588.6;1408961.8
C1_2_2;2185644.3;279482.5;279096.2;257969.3;264456.6;271420.0;271725.2;251994.0;259154.8;262867.0;257013.1;262303.6;2183784.0;258165.8;271834.1
C1_2_1;19500000.0;249191.8;263665.0;309545.0;272808.1;251759.0;261828.0;195000000.0;273880.7;195000000.0;263330.0;302172.0;19500000.0;274477.2;275406.0
C1_4_3;4551275.9;670787.0;665304.1;687368.4;667523.9;670996.2;683141.4;664705.1111111111;669123.0;668304.7777777778;703739.9;663284.2;4546968.4;719812.4;728558.7
C1_6_2;59500000.0;1489504.9;1869330.6;2144318.3;1647438.0;1656699.1;1864259.6;595000000.0;1489501.4;595000000.0;4348199.3;1546963.3;59500000.0;3830357.5;4226696.3
C1_4_7;4531757.3;637221.6;687186.7;636233.6;647643.6;668877.0;684494.2;684303.0;642712.0;645864.0;695684.5;663783.2;4521427.1;722409.8;671210.9
C1_4_8;4546398.5;695615.5;649482.1;669860.9;667255.4;675526.2;638544.4;682630.0;662347.4;674378.0;783763.2;677479.9;4556879.4;690016.1;671870.1
