Instance;BEST_INSERTION_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;CHRISTOFIDES_and_SIMULATED_ANNEALING;PARALLEL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_and_SIMULATED_ANNEALING;SWEEP_and_SIMULATED_ANNEALING;SAVINGS_and_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_and_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_and_SIMULATED_ANNEALING;ALL_UNPERFORMED_and_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING
C1_4_1;60.024661326408385;60.02954485416412;60.01722631454468;60.010065293312074;60.21492464542389;60.00923833847046;60.01155953407287;613.656656742096;60.033779692649844;613.656656742096;60.01146535873413;60.007722687721255;60.00599019527435;60.01088268756867;60.00944323539734
C1_2_7;17.015340328216553;11.767087197303772;23.090442657470703;17.10816969871521;17.014242124557494;11.538141083717345;15.830239701271058;6.18047030766805;16.965043663978577;6.120489756266276;11.53403193950653;11.568981194496155;11.628411984443664;17.109313488006592;11.686451244354249
C1_4_10;45.40373582839966;39.66401436328888;51.39548244476318;33.53203401565552;48.64192247390747;54.039184188842775;38.45315318107605;39.943404542075264;41.5092054605484;40.843047327465484;40.80998344421387;32.409360671043395;41.20362319946289;39.60852179527283;43.011795210838315
C1_4_2;56.68320648670196;46.60334424972534;46.962126636505126;32.66120843887329;36.27397780418396;42.972680068016054;38.808194279670715;32.12666336695353;39.23215341567993;37.986399836010406;38.86880805492401;40.14082293510437;46.58723001480102;38.1435772895813;43.467961978912356
C1_4_9;34.17009496688843;36.378553652763365;40.32636458873749;37.49855773448944;51.2559246301651;36.92076478004456;41.96015815734863;36.77469150225321;34.382737803459165;38.05189339319865;40.55083954334259;36.90464823246002;40.1114723443985;41.904912447929384;32.04638063907623
C1_2_5;60.00340776443481;60.004042053222655;60.00334298610687;60.01106550693512;60.00350635051727;60.004017519950864;60.00215499401092;603.9935636520386;60.004200267791745;603.9935636520386;60.00451147556305;60.00838899612427;60.00362906455994;60.00251595973968;60.003666853904726
C1_2_4;60.00467865467071;60.00386950969696;60.0328051328659;60.004224109649655;60.00527296066284;60.00425643920899;60.00227949619293;603.0674052238464;60.01830792427063;603.0674052238464;60.007423639297485;60.00346989631653;60.00449912548065;60.034604048728944;60.00430166721344
C1_2_8;60.003350496292114;60.01654243469238;60.002437710762024;60.01584861278534;60.00370843410492;60.019627046585086;60.00348227024078;2224.877505302429;60.00315370559692;2224.877505302429;60.00962786674499;60.0111419916153;60.004065895080565;60.005949306488034;60.02294490337372
C1_4_5;43.675575089454654;40.95454792976379;40.96584322452545;39.53139419555664;39.3513548374176;36.587053179740906;37.278279185295105;41.15408907996284;39.960547304153444;35.66432555516561;31.400043535232545;40.13633556365967;42.62812352180481;44.16658854484558;39.496863174438474
C1_6_1;60.010596084594724;60.02288508415222;60.015922379493716;60.02091245651245;60.01394259929657;60.01567642688751;60.01458780765533;1049.8165845870972;60.01290352344513;1049.8165845870972;60.017016887664795;60.03610837459564;62.50855193138123;60.022707200050355;60.01667058467865
