Instance;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH;SAVINGS_and_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_TABU_SEARCH;BEST_INSERTION_and_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_TABU_SEARCH;ALL_UNPERFORMED_and_TABU_SEARCH;SWEEP_and_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_TABU_SEARCH;CHRISTOFIDES_and_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_TABU_SEARCH;EVALUATOR_STRATEGY_and_TABU_SEARCH
C1_4_1;787045.6;729499.5;716082.3;765073.7;39500000.0;1178248.1;1014999.4;395000000.0;39500000.0;980829.4;1119950.9;660478.7;713942.5;659161.5;395000000.0
C1_2_7;274603.2;254217.8;253285.8;269183.5;254013.3;252437.4;254013.3;250988.0;2175889.2;255485.2;253579.0;253179.8;255481.6;251686.4;250988.0
C1_4_10;623432.3;632109.0;644351.7;614104.1;4533864.2;656380.7;663598.0;652813.0;4531313.1;641191.6;672536.8;637550.3;632803.9;643214.8;649449.0
C1_4_2;691429.3;726522.5;685654.6;703436.0;4567549.2;807254.6;722293.1;680660.0;4569433.9;666627.3;725950.2;681371.4;684543.8;682763.3;667742.0
C1_4_9;642040.9;639193.9;647683.1;653603.5;4540259.6;748694.0;709850.9;653836.0;4535780.8;673397.5;696395.7;668146.1;636268.0;657549.7;638813.0
C1_2_5;297794.0;250675.6;261264.1;275843.0;290371.9;292011.9;285341.5;195000000.0;19500000.0;289459.0;281221.0;271365.4;304684.2;261702.4;195000000.0
C1_2_4;265797.0;242168.6;251631.3;271833.3;271102.7;273380.2;270538.5;195000000.0;19500000.0;251139.5;271526.1;258401.0;268255.0;257510.3;195000000.0
C1_2_8;252244.2;251154.5;264412.1;274406.0;278464.3;278598.9;280285.2;195000000.0;19500000.0;275996.7;250470.2;267116.6;258944.5;272414.4;195000000.0
C1_4_5;708956.6;643559.3;665766.2;668819.2;4538317.4;712417.3;695949.5;662462.0;4545846.8;714285.8;693687.5;644814.6;647333.9;652316.5;663934.0
C1_6_1;1928891.5;1639132.9;1617172.0;1994394.2;4016964.6;3929926.2;4346209.2;595000000.0;59500000.0;2418051.2;4351507.2;1653451.3;1642320.1;1565242.6;595000000.0
C1_2_3;261667.1;278989.8;266059.6;255129.8;261259.6;255185.1;254020.0;267043.0;2186073.6;280575.7;261259.6;263170.7;283029.5;277925.0;262304.0
C1_6_3;1718727.3;1370149.1;1583950.0;1691570.2;4615926.3;4655337.7;4563964.3;595000000.0;59500000.0;1630871.4;4602016.1;1492767.4;1575042.8;1451284.1;595000000.0
C1_2_10;250447.1;268572.2;274397.4;253082.4;255478.2;262119.3;260507.7;269894.0;2185334.7;268960.9;269038.6;269367.4;266846.6;262152.7;269861.0
C1_2_9;283800.0;282803.0;281154.8;279918.1;279752.5;279752.5;279752.5;283894.0;2205504.6;279939.4;285897.9;281844.6;283402.7;282334.6;283894.0
C1_2_6;271868.0;290229.0;269002.2;291579.2;287223.0;287223.0;287223.0;195000000.0;19500000.0;274304.0;276952.0;276571.0;296695.0;258718.0;195000000.0
C1_4_6;703552.8;661405.5;661663.4;683286.3;4545775.7;683066.7;685048.3;651516.0;4536364.4;691575.8;688216.1;652592.5;664513.8;663390.5;651516.0
C1_4_4;693891.3;615014.5;828990.4;668437.8;39500000.0;1311642.4;1079060.8;395000000.0;39500000.0;672176.6;1460352.8;673714.4;658062.6;655965.4;395000000.0
C1_2_2;258459.1;264013.9;258465.7;274252.0;267201.1;263548.3;260405.0;270373.0;2179542.3;270013.1;273892.0;270884.1;247759.7;246372.3;260584.0
C1_2_1;261828.0;244998.7;259386.2;264053.0;282517.0;282345.1;282517.0;195000000.0;19500000.0;305303.6;260808.0;254013.8;302172.0;247070.0;195000000.0
C1_4_3;674885.5;666438.8;665102.8;677950.8;4545499.7;753247.4;718196.6;659574.7777777778;4553037.3;670774.5;720539.7;667695.3;674183.8;673202.6;668403.8888888889
C1_6_2;1880907.3;1493381.8;1507321.6;1873848.2;4553435.1;4606934.6;4137104.9;595000000.0;59500000.0;2139712.0;4208045.1;1619444.7;1540352.6;1654901.3;595000000.0
C1_4_7;637145.1;638830.6;667087.8;687629.2;4512692.6;694144.1;675969.9;660380.0;4551282.8;659667.7;659896.0;666631.9;649496.5;633088.5;688331.0
C1_4_8;680572.3;695902.1;695997.9;697682.8;4559331.5;687047.1;706246.7;676945.0;4564378.3;693478.9;727689.7;676365.6;673921.3;677800.5;649659.0
