Instance;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH;SAVINGS_and_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_TABU_SEARCH;BEST_INSERTION_and_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_TABU_SEARCH;ALL_UNPERFORMED_and_TABU_SEARCH;SWEEP_and_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_TABU_SEARCH;CHRISTOFIDES_and_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_TABU_SEARCH;EVALUATOR_STRATEGY_and_TABU_SEARCH
C1_4_1;60.00596225261688;60.043726563453674;60.00845446586609;60.00894138813019;60.02094206809998;60.00980527400971;60.011026096344;613.656656742096;60.00576102733612;60.013095307350156;60.013989543914796;60.00814926624298;60.03464210033417;60.005891060829164;613.656656742096
C1_2_7;18.242663049697875;17.288216757774354;12.134762740135193;23.46213150024414;17.385362362861635;12.073508095741271;17.393666768074034;6.747155957751804;11.950693368911743;17.405482959747314;12.01376302242279;17.521211886405943;12.163554072380066;12.055112934112548;6.517611556582981
C1_4_10;40.15483934879303;39.18362610340118;46.35311963558197;40.719311356544495;37.97802436351776;40.99759650230408;36.628579998016356;48.35748298962911;47.45023572444916;49.622941398620604;42.730031561851504;41.80728197097778;34.18079097270966;42.30088303089142;43.734921269946625
C1_4_2;40.93327805995941;47.09394690990448;41.902258372306825;42.155726528167726;41.7575430393219;38.721469449996945;35.20851476192475;35.31086439556546;42.825043606758115;46.36153604984283;43.83138446807861;42.83087391853333;43.56679821014404;45.560632181167605;35.943714221318565
C1_4_9;46.692911195755;41.550411748886106;35.2073071718216;43.18514044284821;47.64402735233307;39.10781459808349;36.15572710037232;41.951307747099136;40.70530128479004;36.49954242706299;44.677851271629336;41.31758077144623;49.15906047821045;38.229303646087644;44.344951470692955
C1_2_5;60.003589677810666;60.005293822288515;60.005332469940186;60.003781819343565;60.01026363372803;60.02089343070984;60.02541947364807;603.9935636520386;60.00482864379883;60.007953953742984;60.005825662612914;60.027130770683286;60.003823852539064;60.004396891593935;603.9935636520386
C1_2_4;60.00872318744659;60.0034196138382;60.01489236354828;60.00291481018066;60.00450327396393;60.00533773899078;60.00302708148956;603.0674052238464;60.00426704883576;60.00339949131012;60.0043228149414;60.016962909698485;60.00568437576294;60.0233083486557;603.0674052238464
C1_2_8;60.002707433700564;60.0018235206604;60.004055452346805;60.002210474014284;76.26189339160919;60.004927563667295;60.00293707847595;2224.877505302429;60.003495526313785;60.00720729827881;60.015336561203;60.0198540687561;60.01147544384003;60.02139344215393;2224.877505302429
C1_4_5;37.82712826728821;41.37975416183472;41.0455575466156;38.86015591621399;33.57613067626953;34.947084641456605;39.735593223571776;34.49743726518419;41.05375864505768;30.39085409641266;45.673840808868405;42.44161529541016;45.60415284633636;36.041260957717896;34.01400852203369
C1_6_1;60.01018581390381;60.01374697685242;60.024075222015384;60.01139504909516;60.01694266796112;60.01404180526733;60.022271847724916;1049.8165845870972;64.50697908401489;60.016748785972595;60.030761289596555;60.01177632808685;60.04080722332001;60.01981954574585;1049.8165845870972
