Instance;SEQUENTIAL_CHEAPEST_INSERTION_and_TABU_SEARCH;SAVINGS_and_SIMULATED_ANNEALING;SAVINGS_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_GREEDY_DESCENT;SAVINGS_and_GENERIC_TABU_SEARCH
C1_4_1;659161.5;735090.6;725866.4;724654.6;728980.7
C1_2_7;251686.4;278417.2;280489.7;257354.2;259389.4
C1_4_10;643214.8;670911.9;629504.7;620441.4;627912.3
C1_4_2;682763.3;714275.7;701394.5;679119.5;644505.2
C1_4_9;657549.7;666614.4;669462.7;642120.1;612784.5
C1_2_5;261702.4;248971.0;249472.0;251738.0;250318.0
C1_2_4;257510.3;236920.0;245352.1;236920.0;236920.0
C1_2_8;272414.4;253759.0;239170.0;253759.0;255124.2
C1_4_5;652316.5;639855.7;671164.6;639745.9;682442.0
C1_6_1;1565242.6;1629799.9;1630819.6;1642039.6;1625262.9
C1_2_3;277925.0;272735.0;259495.3;266832.3;273612.9
C1_6_3;1451284.1;1368125.1;1372948.1;1372738.0;1371885.5
C1_2_10;262152.7;265839.3;260213.5;271955.1;254046.2
C1_2_9;282334.6;280407.1;280629.5;280407.1;280407.1
C1_2_6;258718.0;290229.0;290229.0;290229.0;290229.0
C1_4_6;663390.5;652015.2;661402.5;652015.2;653268.8
C1_4_4;655965.4;615042.9;617236.8;617786.5;616273.8
C1_2_2;246372.3;259154.8;256044.5;260148.5;268034.3
C1_2_1;247070.0;273880.7;247191.2;238008.0;238008.0
C1_4_3;673202.6;669123.0;665144.9;658466.1;665921.5
C1_6_2;1654901.3;1489501.4;1491163.4;1494900.9;1492925.3
C1_4_7;633088.5;642712.0;648395.7;677784.0;670344.6
C1_4_8;677800.5;662347.4;672894.5;678996.6;657625.1
