Instance;PATH_CHEAPEST_ARC_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;BEST_INSERTION_and_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GENERIC_TABU_SEARCH
HFVRP_4;5252.0;5152.0;5254.0;5252.0;5252.0;5252.0;5252.0;5252.0
C1_4_9;9122.0;9112.0;9140.0;9122.0;9122.0;9122.0;9122.0;9122.0
C1_6_4;18798.0;18760.0;18776.0;18860.0;18860.0;18860.0;18860.0;18860.0
C1_6_5;18798.0;18760.0;18776.0;18860.0;18860.0;18860.0;18860.0;18860.0
C1_2_7;3738.0;3866.0;3684.0;3738.0;3738.0;3738.0;3738.0;3738.0
C1_4_10;9122.0;9112.0;9140.0;9122.0;9122.0;9122.0;9122.0;9122.0
HFVRP_p14;12860.0;12800.0;12660.0;12860.0;12860.0;12860.0;12860.0;12860.0
C1_2_6;3738.0;3866.0;3684.0;3738.0;3738.0;3738.0;3738.0;3738.0
CVRP_p5;6352.0;6368.0;6376.0;6322.0;6322.0;6376.0;6376.0;6376.0
CVRP_4;5526.0;5526.0;5526.0;5526.0;5526.0;5526.0;5526.0;5526.0
C1_4_7;9122.0;9112.0;9140.0;9122.0;9122.0;9122.0;9122.0;9122.0
C1_4_1;9122.0;9112.0;9140.0;9122.0;9122.0;9122.0;9122.0;9122.0
C1_6_3;18798.0;18760.0;18776.0;18860.0;18860.0;18860.0;18860.0;18860.0
C1_2_1;3738.0;3866.0;3684.0;3738.0;3738.0;3738.0;3738.0;3738.0
CVRP_p3;5778.0;5768.0;5726.0;5778.0;5778.0;5778.0;5778.0;5778.0
C1_6_2;18798.0;18760.0;18776.0;18860.0;18860.0;18860.0;18860.0;18860.0
C1_4_4;9122.0;9112.0;9140.0;9122.0;9122.0;9122.0;9122.0;9122.0
C1_2_5;3738.0;3866.0;3684.0;3738.0;3738.0;3738.0;3738.0;3738.0
C1_4_3;9122.0;9112.0;9140.0;9122.0;9122.0;9122.0;9122.0;9122.0
HFVRP_1;3698.0;3676.0;3698.0;3698.0;3698.0;3698.0;3698.0;3698.0
C1_4_2;9122.0;9112.0;9140.0;9122.0;9122.0;9122.0;9122.0;9122.0
C1_2_3;3738.0;3866.0;3684.0;3738.0;3738.0;3738.0;3738.0;3738.0
C1_4_6;9122.0;9112.0;9140.0;9122.0;9122.0;9122.0;9122.0;9122.0
C1_4_8;9122.0;9112.0;9140.0;9122.0;9122.0;9122.0;9122.0;9122.0
C1_2_10;3738.0;3866.0;3684.0;3738.0;3738.0;3738.0;3738.0;3738.0
C1_2_4;3738.0;3866.0;3684.0;3738.0;3738.0;3738.0;3738.0;3738.0
C1_6_1;18798.0;18760.0;18776.0;18860.0;18860.0;18860.0;18860.0;18860.0
CVRP_p14;12660.0;12760.0;12960.0;12580.0;12580.0;12580.0;12580.0;12580.0
C1_2_8;3738.0;3866.0;3684.0;3738.0;3738.0;3738.0;3738.0;3738.0
C1_2_9;3738.0;3866.0;3684.0;3738.0;3738.0;3738.0;3738.0;3738.0
C1_2_2;3738.0;3866.0;3684.0;3738.0;3738.0;3738.0;3738.0;3738.0
CVRP_1;2988.0;2972.0;2986.0;3010.0;3010.0;3010.0;3010.0;3010.0
HFVRP_p3;5634.0;5612.0;5632.0;5656.0;5656.0;5650.0;5650.0;5650.0
C1_4_5;9122.0;9112.0;9140.0;9122.0;9122.0;9122.0;9122.0;9122.0
HFVRP_p5;1938.0;1992.0;2014.0;1938.0;1938.0;1938.0;1938.0;1938.0
