Instance;LOCAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;ALL_UNPERFORMED_and_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GENERIC_TABU_SEARCH;CHRISTOFIDES_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;SAVINGS_and_GENERIC_TABU_SEARCH;SWEEP_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;BEST_INSERTION_and_GENERIC_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;EVALUATOR_STRATEGY_and_GENERIC_TABU_SEARCH
att48;43218.0;42594.0;43218.0;43218.0;43218.0;43218.0;43218.0;42594.0;42594.0;43218.0;42594.0;42594.0;42594.0;42594.0;42594.0
pr76;138238.0;136538.0;138238.0;138238.0;139996.0;138238.0;139996.0;137166.0;136538.0;139996.0;136538.0;137166.0;137166.0;137166.0;136538.0
pr107;51300.0;50700.0;51300.0;51300.0;53300.0;51300.0;53300.0;55400.0;50700.0;53300.0;50700.0;55400.0;55400.0;55400.0;50700.0
st70;872.0;872.0;872.0;872.0;872.0;872.0;872.0;872.0;872.0;872.0;872.0;872.0;872.0;872.0;872.0
ulysses22;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0
rd100;10280.0;10475.0;10280.0;10280.0;10280.0;10280.0;10280.0;10475.0;10475.0;10280.0;10475.0;10475.0;10475.0;10475.0;10475.0
pr124;73710.0;69560.0;73710.0;76148.0;76148.0;69560.0;69560.0;73710.0;73710.0;73710.0;76148.0;76148.0;70260.0;69560.0;76148.0
d493;44948.0;44948.0;44948.0;44948.0;44948.0;44948.0;44948.0;44948.0;44948.0;44948.0;44948.0;44948.0;44948.0;44948.0;44948.0
ulysses16;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0
dsj1000;26000113.0;26067960.4;26192456.6;26323448.2;26356179.0;26308684.2;26342939.8;26132409.8;26151784.4;26246030.0;26321135.8;26457292.0;26318623.0;26336704.8;26246868.4
u724;54184.0;54058.6;54230.8;54138.0;54261.2;54080.1;54247.4;54276.1;54090.5;54172.3;54100.7;54014.9;54219.8;54175.8;54038.5
ch150;8785.0;8785.0;8785.0;8785.0;8785.0;8785.0;8785.0;8785.0;8785.0;8785.0;8785.0;8785.0;8234.0;8785.0;8785.0
d657;64080.2;63978.7;64190.9;64377.6;64329.6;64585.7;64505.6;64271.3;64291.0;64137.3;64205.2;64205.2;63923.0;63904.0;64167.2
