Instance;LOCAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;ALL_UNPERFORMED_and_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GENERIC_TABU_SEARCH;CHRISTOFIDES_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;SAVINGS_and_GENERIC_TABU_SEARCH;SWEEP_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;BEST_INSERTION_and_GENERIC_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;EVALUATOR_STRATEGY_and_GENERIC_TABU_SEARCH
att48;0.04570784568786621;0.07544209957122802;0.04455716609954834;0.045179009437561035;0.04128067493438721;0.044717264175415036;0.04125373363494873;0.07111935615539551;0.07398457527160644;0.04138014316558838;0.07388195991516114;0.07219083309173584;0.0706474781036377;0.07196149826049805;0.07505464553833008
pr76;0.23683545589447022;0.13583319187164306;0.23719236850738526;0.23862240314483643;0.23388979434967042;0.238067102432251;0.23402018547058107;0.10225794315338135;0.1348133087158203;0.23332085609436035;0.13422620296478271;0.10202603340148926;0.10331518650054931;0.10262770652770996;0.13398427963256837
pr107;0.41783699989318845;0.2724327802658081;0.3662241458892822;0.36515376567840574;0.39425153732299806;0.3700488805770874;0.3933654546737671;0.24932985305786132;0.3031539678573608;0.3702688217163086;0.27637646198272703;0.2514368772506714;0.24702188968658448;0.25408976078033446;0.269080376625061
st70;0.1893407106399536;0.18739984035491944;0.18636019229888917;0.22537293434143066;0.18724560737609863;0.18461210727691652;0.20526490211486817;0.19626801013946532;0.18247106075286865;0.2034543752670288;0.1870166540145874;0.22442021369934081;0.18230323791503905;0.20164875984191893;0.1882575511932373
ulysses22;0.006342744827270508;0.006187844276428223;0.0057425260543823246;0.005763626098632813;0.005952906608581543;0.0058999300003051754;0.005715370178222656;0.005701231956481934;0.005710148811340332;0.006178998947143554;0.00623328685760498;0.006117606163024902;0.005773210525512695;0.005991816520690918;0.0058106184005737305
rd100;0.5789500951766968;0.496062707901001;0.5793545722961426;0.5229558706283569;0.6885805368423462;0.6635420560836792;0.6265420913696289;0.5885027885437012;0.666434645652771;0.5982549905776977;0.49285752773284913;0.6395760536193847;0.5861708641052246;0.5043871879577637;0.615911889076233
pr124;0.7764039754867553;0.5732192277908326;0.6935012340545654;0.27641003131866454;0.25795934200286863;0.5774385213851929;0.5800804138183594;0.7152783632278442;0.7197895526885987;0.6926310062408447;0.2614842176437378;0.26039443016052244;0.42808940410614016;0.6185421228408814;0.2580972194671631
d493;15.034311389923095;15.232263016700745;14.828436589241027;14.932917475700378;15.18511242866516;15.159417581558227;15.346328949928283;15.128857207298278;14.970303058624268;15.033375430107117;15.261337828636169;15.245474195480346;15.05643072128296;15.052248072624206;15.005761766433716
ulysses16;0.004465532302856445;0.0038732290267944336;0.00417172908782959;0.004376959800720215;0.0047940492630004885;0.004698443412780762;0.003888726234436035;0.003847169876098633;0.004431533813476563;0.003995203971862793;0.00394134521484375;0.004108929634094238;0.008550524711608887;0.004721355438232422;0.0038522958755493166
dsj1000;60.00148046016693;60.00176305770874;60.00143358707428;60.00151591300964;60.00164403915405;318.67096462249754;60.00152490139008;60.001970744133;60.00165278911591;60.00192034244537;60.00171167850495;60.0015750169754;60.00143511295319;60.00177125930786;60.0016047000885
u724;51.75533540248871;55.318531560897824;53.163098549842836;55.16121418476105;51.04344718456268;51.2306209564209;48.14390201568604;49.270275068283084;53.2744886636734;53.73221247196197;50.443172979354856;55.649781465530396;54.29196944236755;51.53377361297608;51.72942478656769
ch150;0.8497905015945435;0.8655309915542603;0.8708224773406983;0.8545356273651123;0.8692045927047729;0.8708348274230957;0.8560072183609009;0.8583608150482178;0.8811383485794068;0.8468502521514892;0.8730024814605712;0.8865890741348267;1.5075440406799316;0.859079647064209;0.8495908737182617
d657;48.37140395641327;50.46282587051392;46.4199520111084;36.809496665000914;38.3976071357727;45.4959459066391;44.69046800136566;40.651092886924744;35.82549915313721;47.834167981147765;52.37573654651642;51.85528559684754;51.134342885017396;50.707097268104555;51.388810658454894
