Instance;CHRISTOFIDES_and_GREEDY_DESCENT;EVALUATOR_STRATEGY_and_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_and_GREEDY_DESCENT;ALL_UNPERFORMED_and_GREEDY_DESCENT;BEST_INSERTION_and_GREEDY_DESCENT;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;SWEEP_and_GREEDY_DESCENT;SAVINGS_and_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_and_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_and_GREEDY_DESCENT;PARALLEL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_and_GREEDY_DESCENT
att48;43218.0;42594.0;43218.0;42594.0;43218.0;43828.0;43218.0;42594.0;42594.0;43218.0;43218.0;42594.0;42594.0;42594.0;43218.0
pr76;138238.0;136538.0;138238.0;136538.0;139996.0;139356.0;138238.0;136538.0;137166.0;139996.0;138238.0;136538.0;137166.0;137166.0;139996.0
pr107;51300.0;50700.0;51300.0;50700.0;53300.0;54900.0;51300.0;50700.0;55400.0;53300.0;51300.0;50700.0;55400.0;55400.0;53300.0
st70;872.0;872.0;872.0;872.0;872.0;872.0;872.0;872.0;872.0;872.0;872.0;872.0;872.0;872.0;872.0
ulysses22;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0
rd100;10280.0;10475.0;10280.0;10475.0;10280.0;10324.0;10280.0;10475.0;10475.0;10280.0;10280.0;10475.0;10475.0;10475.0;10280.0
pr124;69560.0;69560.0;70640.0;73710.0;76148.0;72310.0;76148.0;76148.0;76148.0;73710.0;73710.0;69560.0;73710.0;69560.0;69560.0
d493;44964.0;44964.0;44964.0;44964.0;44964.0;45251.0;44964.0;44964.0;44964.0;44964.0;44964.0;44964.0;44964.0;44964.0;44964.0
ulysses16;80.0;80.0;80.0;80.0;80.0;83.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0
dsj1000;26205864.8;26298408.4;26148165.4;26164997.4;26006790.8;24529494.2;26077541.6;26280650.6;26205421.8;26025890.6;26206796.2;25754324.2;26255136.0;26282501.6;26284275.6
u724;54240.6;54345.8;54094.2;54180.9;54146.0;54091.0;54221.9;54146.5;53981.4;54217.1;54112.0;54010.5;54134.7;53993.9;53994.4
ch150;8785.0;8785.0;8825.0;8785.0;8785.0;8229.0;8785.0;8785.0;8785.0;8785.0;8785.0;8785.0;8785.0;8785.0;8785.0
d657;64510.6;63954.8;64369.2;64307.9;64279.0;64239.0;64322.0;64205.2;64144.3;64121.2;64080.2;63900.3;64254.0;63908.9;64553.7
