Instance;CHRISTOFIDES_and_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_and_GUIDED_LOCAL_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;BEST_INSERTION_and_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;SWEEP_and_GUIDED_LOCAL_SEARCH;PATH_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_GUIDED_LOCAL_SEARCH
att48;0.07621359825134277;0.04164588451385498;0.07539288997650147;0.07189383506774902;0.04467947483062744;0.07179572582244872;0.0441551923751831;0.044234204292297366;0.09203734397888183;0.041861867904663085;0.041705751419067384;0.07580833435058594;0.0412294864654541;0.07540216445922851;0.07084071636199951
pr76;0.13521037101745606;0.2325498104095459;0.134584641456604;0.10243616104125977;0.2353158712387085;0.1026538610458374;0.2362739324569702;0.23904728889465332;0.23948471546173095;0.236657452583313;0.2357511043548584;0.1338186502456665;0.23734662532806397;0.13480112552642823;0.1022216796875
pr107;0.2876181364059448;0.39245498180389404;0.27164630889892577;0.27289204597473143;0.3657165288925171;0.25043137073516847;0.37802021503448485;0.4035353422164917;0.3549694538116455;0.37769107818603515;0.37888412475585936;0.2699462652206421;0.3692280054092407;0.29092214107513426;0.2499793291091919
st70;0.19310789108276366;0.18795647621154785;0.19533169269561768;0.18492529392242432;0.20968222618103027;0.18576338291168212;0.20779054164886473;0.23565130233764647;0.18831448554992675;0.18667178153991698;0.19031636714935302;0.18289635181427003;0.1888573408126831;0.20659611225128174;0.1996896743774414
ulysses22;0.005669355392456055;0.00577235221862793;0.006044268608093262;0.005695462226867676;0.00616912841796875;0.006281852722167969;0.00580751895904541;0.005644869804382324;0.005765795707702637;0.006245207786560058;0.005790805816650391;0.005830454826354981;0.0058340787887573246;0.006298160552978516;0.005794882774353027
rd100;0.5107777833938598;0.5380976438522339;0.5955824375152587;0.5872251510620117;0.5824411392211915;0.5029848337173461;0.6045721054077149;0.5671927690505981;0.593199348449707;0.5782014608383179;0.6489756822586059;0.638344693183899;0.5313362598419189;0.5157282829284668;0.6601632118225098
pr124;0.26593124866485596;0.2635227680206299;0.5854721307754517;0.2642004728317261;0.25898621082305906;0.6930251598358155;0.6214410305023194;0.7021045207977294;1.0698703527450562;0.2912421226501465;0.8013619422912598;0.6938189268112183;0.5834243297576904;0.7446719169616699;0.5713601589202881
d493;21.298361134529113;21.050839233398438;21.174540519714355;21.18804225921631;21.32234468460083;21.56581437587738;21.13274028301239;21.2011677980423;25.915166521072386;21.15332238674164;21.062915110588072;20.957103896141053;21.012290120124817;21.40216007232666;21.091612648963928
ulysses16;0.0038648128509521486;0.0038524866104125977;0.004220414161682129;0.004736781120300293;0.00424187183380127;0.0038552045822143554;0.0047839641571044925;0.003872060775756836;0.003727579116821289;0.0040106534957885746;0.004759573936462402;0.0038055419921875;0.003858637809753418;0.004638886451721192;0.003857851028442383
dsj1000;60.00162942409516;60.00161211490631;60.00177667140961;60.001724410057065;60.0015613079071;60.00172371864319;60.00162761211395;60.00163736343384;60.00112988948822;374.0941760778427;60.001838850975034;60.00121307373047;60.00175499916077;60.001754021644594;60.00161559581757
u724;51.70007843971253;47.31385359764099;55.332254910469054;53.4883588552475;49.84600293636322;48.71570966243744;54.447214245796204;52.839419317245486;58.85558276176452;52.82458984851837;53.619637393951415;37.621621966362;49.835481429100035;52.48266105651855;54.3642160654068
ch150;0.8436323642730713;0.8550827741622925;0.8800667762756348;0.867287540435791;0.884296989440918;0.8447633504867553;0.8774713039398193;0.8544750452041626;1.0834630727767944;0.8638856649398804;0.8730389833450317;1.5790226221084596;0.8553324937820435;0.8580838203430176;0.8704689741134644
d657;49.830501437187195;38.08476676940918;50.11872146129608;51.5694459438324;36.03374416828156;37.693484258651736;46.01853973865509;45.201100087165834;52.82297811508179;36.24484775066376;47.80263113975525;36.06530709266663;45.594528913497925;35.70290510654449;46.25613412857056
