Instance;SAVINGS_and_SIMULATED_ANNEALING;BEST_INSERTION_and_SIMULATED_ANNEALING;PARALLEL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;SWEEP_and_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_and_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;ALL_UNPERFORMED_and_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_and_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_and_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;CHRISTOFIDES_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING
att48;43218.0;43218.0;42594.0;42594.0;42594.0;43218.0;42594.0;43218.0;42594.0;43218.0;43218.0;42594.0;42594.0;43218.0;42594.0
pr76;138238.0;138238.0;136538.0;136538.0;137166.0;139996.0;136538.0;139996.0;137166.0;139996.0;138238.0;137166.0;136538.0;139996.0;137166.0
pr107;51300.0;51300.0;50700.0;50700.0;55400.0;53300.0;50500.0;53300.0;55400.0;53300.0;51300.0;55400.0;50700.0;53300.0;55400.0
st70;872.0;872.0;872.0;872.0;872.0;872.0;872.0;872.0;872.0;872.0;872.0;872.0;872.0;872.0;872.0
ulysses22;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0
rd100;10280.0;10280.0;10475.0;10475.0;10475.0;10280.0;10475.0;10280.0;10475.0;10280.0;10280.0;10475.0;10475.0;10280.0;10475.0
pr124;76148.0;69560.0;73710.0;69560.0;73710.0;76148.0;69260.0;69560.0;76148.0;69560.0;73710.0;73710.0;76148.0;73710.0;69560.0
d493;45437.0;45437.0;45437.0;45437.0;45437.0;45437.0;45466.0;45437.0;45437.0;45437.0;45437.0;45437.0;45437.0;45437.0;45437.0
ulysses16;80.0;80.0;80.0;80.0;80.0;80.0;81.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0
dsj1000;26140031.0;26336230.2;26191592.2;26168902.4;26120340.2;26296619.0;26492583.8;26113824.6;26362240.6;26335790.2;26127186.0;26195980.2;26296587.2;26308771.8;26362954.8
u724;54004.3;54176.0;54151.7;53971.1;54081.3;54119.9;54448.0;54198.4;54245.3;54068.6;54168.1;54301.0;54146.9;54037.1;54315.1
ch150;8785.0;8785.0;8785.0;8785.0;8785.0;8785.0;8683.0;8785.0;8785.0;8637.0;8785.0;8785.0;8785.0;8785.0;8785.0
d657;64385.2;64518.2;64283.3;64010.6;64268.0;64305.3;64142.3;64585.7;64231.5;64617.7;64098.6;64283.3;64200.0;64170.4;63922.4
