Instance;SWEEP_and_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_TABU_SEARCH;CHRISTOFIDES_and_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_TABU_SEARCH;SAVINGS_and_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_TABU_SEARCH;BEST_INSERTION_and_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_TABU_SEARCH;ALL_UNPERFORMED_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_TABU_SEARCH;EVALUATOR_STRATEGY_and_TABU_SEARCH
att48;43218.0;42594.0;43218.0;42594.0;42594.0;42594.0;43218.0;42594.0;42594.0;43218.0;42594.0;43218.0;43218.0;43218.0;43218.0
pr76;139996.0;136538.0;139996.0;137166.0;137166.0;136538.0;138238.0;137166.0;137166.0;138238.0;136538.0;139996.0;138238.0;139996.0;138238.0
pr107;53300.0;50700.0;53300.0;55400.0;55400.0;50700.0;51300.0;55400.0;55400.0;51300.0;50700.0;53300.0;51300.0;53300.0;51300.0
st70;872.0;872.0;872.0;872.0;872.0;872.0;872.0;872.0;872.0;872.0;872.0;872.0;872.0;872.0;872.0
ulysses22;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0
rd100;10280.0;10475.0;10280.0;10475.0;10475.0;10475.0;10280.0;10475.0;10475.0;10280.0;10475.0;10280.0;10280.0;10280.0;10280.0
pr124;76148.0;69560.0;69560.0;69560.0;73710.0;73710.0;76148.0;76148.0;76148.0;69560.0;76148.0;73710.0;73710.0;68860.0;69560.0
d493;44628.0;44628.0;44628.0;44628.0;44628.0;44628.0;44628.0;44628.0;44628.0;44628.0;44628.0;44628.0;44628.0;44628.0;44628.0
ulysses16;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;82.0;80.0
dsj1000;26235205.8;26271947.4;26252241.6;26551388.2;26309453.8;26118014.4;26032803.2;26277193.8;25884971.8;26370858.0;26385863.8;26236247.0;26083518.2;26367487.8;26204568.0
u724;54162.0;54111.0;54109.4;54116.1;54197.2;54315.6;54158.6;53930.6;54155.6;54172.9;54019.9;54090.1;54074.3;53929.4;54266.0
ch150;8785.0;8785.0;8785.0;8785.0;8785.0;8785.0;8785.0;8548.0;8785.0;8785.0;8785.0;8785.0;8785.0;8640.0;8785.0
d657;64365.1;63996.7;64585.7;63960.0;64283.3;64238.4;64251.2;64154.6;64205.2;64585.7;64244.2;64149.0;64112.1;64680.8;64521.8
