Instance;LOCAL_CHEAPEST_COST_INSERTION_and_TABU_SEARCH;SWEEP_and_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_and_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GREEDY_DESCENT;ALL_UNPERFORMED_and_GENERIC_TABU_SEARCH
att48;42594.0;42594.0;42594.0;42594.0;42594.0
pr76;136538.0;136538.0;136538.0;136538.0;136538.0
pr107;50700.0;50700.0;50700.0;50700.0;50700.0
st70;872.0;872.0;872.0;872.0;872.0
ulysses22;81.0;81.0;81.0;81.0;81.0
rd100;10475.0;10475.0;10475.0;10475.0;10475.0
pr124;69560.0;69560.0;70460.0;69560.0;69560.0
d493;44628.0;45437.0;45111.0;44964.0;44948.0
ulysses16;80.0;80.0;80.0;80.0;80.0
dsj1000;26271947.4;26168902.4;26431635.0;25754324.2;26067960.4
u724;54111.0;53971.1;53938.0;54010.5;54058.6
ch150;8785.0;8785.0;8560.0;8785.0;8785.0
d657;63996.7;64010.6;64275.6;63900.3;63978.7
