Instance;LOCAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;ALL_UNPERFORMED_and_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GENERIC_TABU_SEARCH;CHRISTOFIDES_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;SAVINGS_and_GENERIC_TABU_SEARCH;SWEEP_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;BEST_INSERTION_and_GENERIC_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;EVALUATOR_STRATEGY_and_GENERIC_TABU_SEARCH
CVRP_3;1004.0;1009.8;1000.8;1023.8;1024.8;1023.8;1024.8;1000.8;990.0;1005.0;1013.4;1024.2;1017.4;1020.6;1013.4
p3;1264.0;1248.857142857143;1286.5714285714287;1248.2857142857142;1248.0;1254.2857142857142;1262.2857142857142;1285.142857142857;1258.5714285714287;1263.7142857142858;1242.857142857143;1257.4285714285713;1265.4285714285713;1263.4285714285713;1259.142857142857
p1;1022.5714285714286;984.8571428571429;1022.5714285714286;1026.0;1030.857142857143;1015.7142857142857;1020.5714285714286;982.5714285714286;991.7142857142857;1027.4285714285713;995.1428571428571;986.0;975.7142857142857;975.7142857142857;995.1428571428571
CVRP_5;1367.0;1354.2;1356.2;1355.4;1360.8;1350.6;1371.2;1360.8;1357.0;1363.4;1343.8;1350.2;1386.6;1359.6;1342.2
p31;883.5714285714286;886.4285714285714;883.5714285714286;883.5714285714286;883.5714285714286;883.5714285714286;883.5714285714286;886.4285714285714;886.4285714285714;883.5714285714286;886.4285714285714;886.4285714285714;886.4285714285714;886.4285714285714;886.4285714285714
CVRP_2;992.4;991.0;992.4;993.0;988.6;980.8;976.4;1008.0;1002.6;988.0;1003.2;1008.6;1001.2;996.4;1003.2
CVRP_100;418.6;417.0;418.6;419.4;419.4;420.8;420.8;414.8;414.8;418.6;415.6;415.6;417.0;417.0;415.6
p2;986.3333333333334;972.6666666666666;986.3333333333334;993.3333333333334;993.3333333333334;989.0;989.0;970.0;970.0;986.3333333333334;977.0;977.0;972.6666666666666;972.6666666666666;977.0
CVRP_4;1356.8;1404.6;1353.0;1419.8;1382.4;1385.0;1349.0;1381.0;1371.8;1330.4;1385.0;1395.0;1400.6;1381.2;1424.4
CVRP_1;1054.0;1063.8;1054.0;1047.8;1047.8;1056.6;1056.6;1061.2;1061.2;1054.0;1055.0;1055.0;1063.8;1063.8;1055.0
