Instance;CHRISTOFIDES_and_GREEDY_DESCENT;EVALUATOR_STRATEGY_and_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_and_GREEDY_DESCENT;ALL_UNPERFORMED_and_GREEDY_DESCENT;BEST_INSERTION_and_GREEDY_DESCENT;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;SWEEP_and_GREEDY_DESCENT;SAVINGS_and_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_and_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_and_GREEDY_DESCENT;PARALLEL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_and_GREEDY_DESCENT
CVRP_3;1023.8;1016.8;1030.8;990.0;1024.8;985.6;1023.8;1013.4;1024.2;1005.0;1004.0;1009.8;1000.8;1020.6;1024.8
p3;1260.2857142857142;1277.7142857142858;1259.7142857142858;1258.5714285714287;1248.0;1253.142857142857;1248.2857142857142;1242.857142857143;1254.2857142857142;1285.142857142857;1264.0;1248.857142857143;1273.142857142857;1263.4285714285713;1254.0
p1;1015.7142857142857;984.8571428571429;1026.0;991.7142857142857;1030.857142857143;997.7142857142857;1026.0;995.1428571428571;986.0;1027.4285714285713;1022.5714285714286;984.8571428571429;982.5714285714286;975.7142857142857;1020.5714285714286
CVRP_5;1365.0;1349.0;1371.2;1357.0;1360.8;1354.8;1354.6;1343.8;1350.2;1366.6;1367.0;1355.8;1361.8;1359.6;1362.2
p31;883.5714285714286;886.4285714285714;883.5714285714286;886.4285714285714;883.5714285714286;886.4285714285714;883.5714285714286;886.4285714285714;886.4285714285714;883.5714285714286;883.5714285714286;886.4285714285714;886.4285714285714;886.4285714285714;883.5714285714286
CVRP_2;980.8;991.0;1008.6;1002.6;988.6;1031.8;993.0;1003.2;1008.6;988.0;992.4;991.0;1008.0;996.4;976.4
CVRP_100;420.8;417.0;419.4;414.8;419.4;419.4;419.4;415.6;415.6;418.6;418.6;417.0;414.8;417.0;420.8
p2;989.0;972.6666666666666;993.3333333333334;970.0;993.3333333333334;967.6666666666666;993.3333333333334;977.0;977.0;986.3333333333334;986.3333333333334;972.6666666666666;970.0;972.6666666666666;989.0
CVRP_4;1402.4;1382.4;1394.6;1374.2;1440.4;1375.8;1374.0;1415.0;1407.2;1360.6;1363.0;1412.8;1382.4;1376.0;1374.2
CVRP_1;1056.6;1063.8;1047.8;1061.2;1047.8;1067.2;1047.8;1055.0;1055.0;1054.0;1054.0;1063.8;1061.2;1063.8;1056.6
