Instance;CHRISTOFIDES_and_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_and_GUIDED_LOCAL_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;BEST_INSERTION_and_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;SWEEP_and_GUIDED_LOCAL_SEARCH;PATH_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_GUIDED_LOCAL_SEARCH
CVRP_3;1013.4;1021.6;1009.8;1024.2;1023.8;1000.8;1023.8;1004.0;1021.2;1024.8;1005.0;986.8;1024.8;990.0;1020.6
p3;1242.857142857143;1275.142857142857;1248.857142857143;1257.4285714285713;1248.2857142857142;1273.142857142857;1254.2857142857142;1286.5714285714287;1249.142857142857;1248.0;1263.7142857142858;1265.7142857142858;1254.0;1258.5714285714287;1286.0
p1;995.1428571428571;1030.857142857143;984.8571428571429;986.0;1026.0;982.5714285714286;1015.7142857142857;1022.5714285714286;1011.1428571428571;1030.857142857143;1027.4285714285713;991.7142857142857;1020.5714285714286;991.7142857142857;975.7142857142857
CVRP_5;1343.8;1357.6;1355.8;1349.2;1354.6;1368.2;1365.8;1367.0;1367.2;1351.8;1372.4;1360.0;1362.2;1355.4;1346.8
p31;886.4285714285714;883.5714285714286;886.4285714285714;886.4285714285714;883.5714285714286;886.4285714285714;883.5714285714286;883.5714285714286;871.5714285714286;883.5714285714286;883.5714285714286;886.4285714285714;883.5714285714286;886.4285714285714;886.4285714285714
CVRP_2;1003.2;988.6;991.0;1008.6;993.0;1008.0;980.8;992.4;1013.6;988.6;988.0;999.2;976.4;1002.6;996.4
CVRP_100;415.6;419.4;417.0;415.6;419.4;414.8;420.8;418.6;420.8;419.4;418.6;414.8;420.8;414.8;417.0
p2;977.0;993.3333333333334;972.6666666666666;977.0;993.3333333333334;970.0;989.0;986.3333333333334;998.6666666666666;993.3333333333334;986.3333333333334;970.0;989.0;970.0;972.6666666666666
CVRP_4;1423.8;1413.2;1382.2;1398.4;1426.8;1405.0;1410.6;1384.8;1368.4;1394.6;1350.4;1366.8;1391.2;1369.4;1397.2
CVRP_1;1055.0;1047.8;1063.8;1055.0;1047.8;1061.2;1056.6;1054.0;1056.6;1047.8;1054.0;1061.2;1056.6;1061.2;1063.8
