Instance;SAVINGS_and_SIMULATED_ANNEALING;BEST_INSERTION_and_SIMULATED_ANNEALING;PARALLEL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;SWEEP_and_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_and_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;ALL_UNPERFORMED_and_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_and_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_and_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;CHRISTOFIDES_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING
CVRP_3;1023.8;1023.8;990.0;1009.8;994.8;1024.8;1010.2;1024.8;1024.2;1021.0;1004.0;1000.8;1013.4;1005.0;1020.6
p3;1261.142857142857;1254.2857142857142;1258.5714285714287;1271.4285714285713;1276.5714285714287;1248.0;1265.4285714285713;1254.0;1257.4285714285713;1303.7142857142858;1264.0;1273.142857142857;1242.857142857143;1263.7142857142858;1263.4285714285713
p1;1026.0;1015.7142857142857;991.7142857142857;984.8571428571429;982.5714285714286;1030.857142857143;995.1428571428571;1020.5714285714286;986.0;1020.5714285714286;1022.5714285714286;982.5714285714286;995.1428571428571;1027.4285714285713;975.7142857142857
CVRP_5;1354.6;1370.2;1355.4;1355.8;1351.8;1351.2;1355.6;1371.2;1349.2;1365.8;1366.2;1360.8;1345.4;1372.4;1360.6
p31;883.5714285714286;883.5714285714286;886.4285714285714;886.4285714285714;886.4285714285714;883.5714285714286;886.4285714285714;883.5714285714286;886.4285714285714;883.5714285714286;883.5714285714286;886.4285714285714;886.4285714285714;883.5714285714286;886.4285714285714
CVRP_2;993.0;980.8;1002.6;991.0;1008.0;988.6;1001.6;976.4;1008.6;976.4;992.4;1008.0;1003.2;988.0;996.4
CVRP_100;419.4;420.8;414.8;417.0;414.8;419.4;415.6;420.8;415.6;420.8;418.6;414.8;415.6;418.6;417.0
p2;993.3333333333334;989.0;970.0;972.6666666666666;970.0;993.3333333333334;987.0;989.0;977.0;989.0;986.3333333333334;970.0;977.0;986.3333333333334;972.6666666666666
CVRP_4;1427.2;1329.6;1387.4;1391.8;1381.0;1403.8;1428.4;1391.4;1406.2;1394.4;1360.4;1363.8;1382.6;1372.2;1410.0
CVRP_1;1047.8;1056.6;1061.2;1063.8;1061.2;1047.8;1055.0;1056.6;1055.0;1056.6;1054.0;1061.2;1055.0;1054.0;1063.8
