Instance;SWEEP_and_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_TABU_SEARCH;CHRISTOFIDES_and_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_TABU_SEARCH;SAVINGS_and_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_TABU_SEARCH;BEST_INSERTION_and_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_TABU_SEARCH;ALL_UNPERFORMED_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_TABU_SEARCH;EVALUATOR_STRATEGY_and_TABU_SEARCH
CVRP_3;1024.8;1009.8;1024.8;1020.6;1000.8;990.0;1023.8;1020.8;1024.2;1023.8;1013.4;1005.0;1004.0;998.0;1023.8
p3;1257.7142857142858;1248.857142857143;1254.0;1263.4285714285713;1273.142857142857;1272.5714285714287;1248.2857142857142;1283.142857142857;1257.4285714285713;1254.2857142857142;1242.857142857143;1263.7142857142858;1264.0;1286.2857142857142;1274.857142857143
p1;1030.857142857143;984.8571428571429;1020.5714285714286;975.7142857142857;982.5714285714286;991.7142857142857;1026.0;986.0;986.0;1015.7142857142857;995.1428571428571;1027.4285714285713;1022.5714285714286;1027.4285714285713;1015.7142857142857
CVRP_5;1351.8;1354.2;1371.2;1360.6;1363.6;1355.4;1355.4;1351.0;1350.2;1365.0;1331.0;1363.4;1366.2;1386.6;1360.6
p31;883.5714285714286;886.4285714285714;883.5714285714286;886.4285714285714;886.4285714285714;886.4285714285714;883.5714285714286;886.4285714285714;886.4285714285714;883.5714285714286;886.4285714285714;883.5714285714286;883.5714285714286;883.5714285714286;883.5714285714286
CVRP_2;988.6;991.0;976.4;996.4;1008.0;1002.6;993.0;1008.6;1008.6;980.8;1003.2;988.0;992.4;991.4;980.8
CVRP_100;419.4;417.0;420.8;417.0;414.8;414.8;419.4;415.6;415.6;420.8;415.6;418.6;418.6;418.6;420.8
p2;993.3333333333334;972.6666666666666;989.0;972.6666666666666;970.0;970.0;993.3333333333334;977.0;977.0;989.0;977.0;986.3333333333334;986.3333333333334;986.3333333333334;989.0
CVRP_4;1399.0;1402.4;1364.2;1381.2;1365.2;1382.0;1401.2;1447.4;1369.2;1364.2;1432.0;1367.6;1361.6;1372.6;1375.0
CVRP_1;1047.8;1063.8;1056.6;1063.8;1061.2;1061.2;1047.8;1055.0;1055.0;1056.6;1055.0;1054.0;1054.0;1054.0;1056.6
