Instance;BEST_INSERTION_and_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_and_GREEDY_DESCENT;LOCAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH
CVRP_3;1013.4;990.0;1013.4;990.0;990.0;990.0
p3;1242.857142857143;1258.5714285714287;1242.857142857143;1258.5714285714287;1258.5714285714287;1258.5714285714287
p1;995.1428571428571;991.7142857142857;995.1428571428571;991.7142857142857;991.7142857142857;991.7142857142857
CVRP_5;1331.0;1355.4;1345.4;1355.4;1357.0;1357.0
p31;886.4285714285714;886.4285714285714;886.4285714285714;886.4285714285714;886.4285714285714;886.4285714285714
CVRP_2;1003.2;1002.6;1003.2;1002.6;1002.6;1002.6
CVRP_100;415.6;414.8;415.6;414.8;414.8;414.8
p2;977.0;970.0;977.0;970.0;970.0;970.0
CVRP_4;1432.0;1387.4;1382.6;1369.4;1374.2;1371.8
CVRP_1;1055.0;1061.2;1055.0;1061.2;1061.2;1061.2
