Instance;LOCAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;ALL_UNPERFORMED_and_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GENERIC_TABU_SEARCH;CHRISTOFIDES_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;SAVINGS_and_GENERIC_TABU_SEARCH;SWEEP_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;BEST_INSERTION_and_GENERIC_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;EVALUATOR_STRATEGY_and_GENERIC_TABU_SEARCH
C1_4_1;10877.0;10411.4;10920.2;10405.4;11076.8;10419.0;10621.0;10383.8;10810.2;10447.4;10630.6;10872.8;10984.6;10398.8;10445.2
C1_2_7;4218.0;4276.0;4218.0;4218.0;4236.0;4218.0;4236.0;4160.0;4276.0;4236.0;4276.0;4160.0;4160.0;4160.0;4276.0
C1_4_10;10520.0;10511.6;10442.0;10372.2;10252.6;10310.2;10384.8;10562.2;10416.6;10271.6;10422.4;10408.0;10542.2;10314.8;10570.4
C1_4_2;11378.0;10715.0;10639.0;10902.6;10843.4;11112.4;11148.2;10711.6;11047.4;10827.2;11044.8;10808.2;11201.6;10966.0;11090.0
C1_4_9;10350.8;10259.0;10354.6;10226.0;10319.6;10268.8;10262.0;10149.8;10102.8;10267.2;10310.2;10282.6;10187.0;10221.6;10146.0
C1_2_5;4030.0;4278.0;4360.0;4290.0;4322.0;4394.0;4124.0;4196.0;4312.0;4458.0;4018.0;4086.0;4200.0;4236.0;4446.0
C1_2_4;4220.0;4118.0;4128.0;4088.0;4062.0;4154.0;3952.0;4028.0;3986.0;4342.0;4020.0;4104.0;4098.0;4018.0;3940.0
C1_2_8;4214.0;4340.0;4262.0;4206.0;4196.0;4222.0;4412.0;4382.0;4216.0;4280.0;4250.0;4250.0;4328.0;4236.0;4238.0
C1_4_5;10876.4;10677.4;11329.0;11078.0;11364.4;10900.8;11025.8;10514.4;11072.0;10249.6;10868.6;10488.4;10878.8;10694.8;10604.0
C1_6_1;22036.8;23897.2;24447.2;24808.2;23858.0;24543.2;24173.6;23733.0;24127.0;23402.2;25461.4;25182.8;24387.4;23642.6;22256.0
C1_2_3;4604.0;4356.0;4398.0;4604.0;4148.0;4604.0;4148.0;4308.0;4356.0;4148.0;4356.0;4308.0;4416.0;4308.0;4658.0
C1_6_3;23943.2;23341.2;23975.4;23686.2;23545.0;23968.8;23536.4;24042.4;24534.4;23162.0;24042.4;23899.0;23246.8;23444.4;23577.6
C1_2_10;4194.0;3826.0;4194.0;4194.0;4194.0;4194.0;4194.0;3826.0;3826.0;4194.0;3826.0;3826.0;3826.0;3826.0;3826.0
C1_2_9;4114.0;4230.0;3998.0;4114.0;4114.0;4114.0;4114.0;4230.0;4230.0;4114.0;4230.0;4230.0;4054.0;4230.0;4060.0
C1_2_6;4070.0;4070.0;4338.0;4070.0;4070.0;4070.0;4070.0;4070.0;4070.0;4070.0;4070.0;4070.0;4148.0;4070.0;4070.0
C1_4_6;11305.2;11258.4;11111.4;11052.6;10999.4;11349.6;11183.8;10716.2;10952.4;11331.8;10974.0;11255.2;11313.2;10886.8;10894.8
C1_4_4;10403.8;10387.4;10216.0;10336.2;10371.6;10473.8;10270.8;10234.2;10447.6;10285.4;10319.2;10310.0;10542.8;10190.6;10220.6
C1_2_2;4272.0;4234.0;4134.0;4414.0;4272.0;4052.0;4388.0;4302.0;4318.0;4382.0;4318.0;4176.0;4388.0;4318.0;4182.0
C1_6_5;23698.2;24243.6;24968.0;23883.8;23926.8;24460.0;25086.0;24321.4;25248.0;23830.8;24121.4;24257.4;24380.0;24446.8;24091.8
C1_2_1;3844.0;4270.0;3844.0;3844.0;3844.0;3844.0;3844.0;4270.0;4270.0;3844.0;4270.0;4270.0;4270.0;4270.0;4270.0
C1_4_3;11022.4;10752.0;10690.0;10867.6;10694.6;10870.0;10782.0;10772.2;10563.2;10711.0;10774.6;10791.2;10995.2;11013.6;10600.4
C1_6_2;25399.0;25420.2;26421.0;25532.8;25096.2;27069.2;25569.8;26002.0;26196.2;26707.8;26085.0;26047.4;25989.4;24317.4;25770.2
C1_4_7;10690.2;11130.0;10722.6;10877.6;11022.6;10755.8;10593.0;10622.2;10947.0;10559.2;10700.2;10674.0;10899.4;10891.8;10523.4
C1_6_4;21410.8;21994.4;21628.2;21443.8;21399.6;21474.0;21495.6;21651.2;20976.8;21280.6;22229.0;21711.2;21282.0;21437.8;21408.2
C1_4_8;10811.8;10794.8;10704.6;10822.8;10832.6;10842.8;10684.2;10609.2;10701.8;10841.4;10855.4;10593.0;10823.6;10687.0;10839.4
