Instance;CHRISTOFIDES_and_GREEDY_DESCENT;EVALUATOR_STRATEGY_and_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_and_GREEDY_DESCENT;ALL_UNPERFORMED_and_GREEDY_DESCENT;BEST_INSERTION_and_GREEDY_DESCENT;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;SWEEP_and_GREEDY_DESCENT;SAVINGS_and_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_and_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_and_GREEDY_DESCENT;PARALLEL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_and_GREEDY_DESCENT
C1_4_1;10321.6;10386.0;10804.2;10895.6;11025.8;11309.6;10411.2;10482.8;10766.4;10529.4;10857.2;10537.4;10324.4;10344.4;10668.2
C1_2_7;4242.0;4566.0;4242.0;4566.0;3988.0;4290.0;4242.0;4566.0;4226.0;3988.0;4242.0;4566.0;4226.0;4226.0;3988.0
C1_4_10;10439.0;10431.0;10580.6;10453.6;10312.0;10509.4;10290.6;10339.0;10659.6;10522.0;10351.6;10279.8;10394.6;10332.4;10427.4
C1_4_2;11416.0;10950.4;11141.8;11161.2;10979.8;11319.8;10721.8;11086.2;11185.6;11194.6;10499.2;11221.2;10927.8;11020.8;10820.2
C1_4_9;10638.6;10162.4;10628.8;10188.0;10658.6;10436.2;10528.2;10187.4;10132.2;10498.2;10553.4;10313.8;10194.0;10162.8;10563.4
C1_2_5;4510.0;4444.0;4134.0;4342.0;4342.0;4388.0;4226.0;4018.0;4212.0;4234.0;4030.0;4192.0;3760.0;4236.0;4350.0
C1_2_4;3914.0;3834.0;3760.0;4166.0;4154.0;4158.0;3898.0;4052.0;3988.0;4166.0;4154.0;4006.0;4140.0;4150.0;4024.0
C1_2_8;4214.0;4216.0;4324.0;4250.0;4364.0;4228.0;4160.0;3802.0;4236.0;4196.0;4216.0;4298.0;4340.0;4566.0;4128.0
C1_4_5;10684.0;11521.6;11047.6;11076.4;11004.2;10897.6;11024.2;10581.0;11038.0;11066.4;11050.8;10501.0;11028.6;10708.6;11186.4
C1_6_1;24123.2;24774.6;24779.4;23424.2;25193.6;26266.2;24093.8;22298.8;23791.2;23738.0;23150.2;24627.2;22550.4;23589.2;24303.6
C1_2_3;4426.0;4180.0;4288.0;4422.0;4428.0;4298.0;4426.0;4422.0;4544.0;4428.0;4426.0;4422.0;4544.0;4544.0;4428.0
C1_6_3;23863.6;23439.8;23473.4;23404.6;24442.0;23635.6;23310.2;23719.8;24342.2;23085.4;23228.0;24665.8;23670.2;23640.2;23275.8
C1_2_10;4130.0;4422.0;4130.0;4422.0;4130.0;4422.0;4130.0;4422.0;4422.0;4130.0;4130.0;4422.0;4422.0;4422.0;4130.0
C1_2_9;4114.0;4232.0;3834.0;4230.0;4114.0;4182.0;4114.0;4230.0;4230.0;3982.0;4114.0;4230.0;4230.0;4230.0;4114.0
C1_2_6;4070.0;4420.0;4058.0;4070.0;4070.0;4078.0;4070.0;4070.0;4070.0;4070.0;4070.0;4070.0;4070.0;4070.0;4070.0
C1_4_6;11015.4;10855.0;10974.4;11203.6;10897.4;11106.4;11278.6;11214.8;11049.2;11293.4;11148.4;11166.0;11133.6;10812.0;10987.2
C1_4_4;10271.8;10411.6;10503.2;10152.0;10280.0;10240.6;10389.6;10268.6;10270.2;10259.2;10247.0;10378.0;10309.0;10364.4;10380.4
C1_2_2;4280.0;4182.0;4300.0;4278.0;4152.0;4638.0;4194.0;4432.0;4042.0;4124.0;4472.0;4116.0;4116.0;4348.0;4194.0
C1_6_5;23422.6;25248.8;24013.6;23244.8;25063.2;24099.6;24927.2;23828.0;24117.4;25330.4;24559.4;23727.8;25043.4;25305.8;23968.8
C1_2_1;3844.0;4270.0;3844.0;4270.0;3844.0;4266.0;3844.0;4270.0;4270.0;3844.0;3844.0;4270.0;4270.0;4270.0;3844.0
C1_4_3;10595.0;10998.8;10549.0;10803.8;10687.0;10711.8;10698.8;10899.8;10712.2;10424.2;10799.0;10598.4;10918.4;10758.4;10822.2
C1_6_2;26065.4;26533.0;25533.6;26427.0;26857.6;26578.4;27799.6;26079.6;25487.2;25794.4;27112.8;27889.6;26146.4;25972.4;26170.6
C1_4_7;10691.6;11034.8;11092.0;10615.4;10987.8;10664.6;10888.0;10618.0;10651.8;10755.0;10620.6;10820.0;10612.6;10926.6;10634.0
C1_6_4;21425.4;22094.0;21790.4;21720.0;21445.2;21809.8;21353.0;21632.8;21929.0;21691.8;21304.2;21619.0;21806.4;21401.8;21290.2
C1_4_8;10898.8;11149.8;10505.0;10533.2;10717.0;10828.8;10803.8;10641.4;10552.0;10928.8;11025.0;10873.4;10744.4;10792.2;10632.6
