Instance;CHRISTOFIDES_and_GREEDY_DESCENT;EVALUATOR_STRATEGY_and_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_and_GREEDY_DESCENT;ALL_UNPERFORMED_and_GREEDY_DESCENT;BEST_INSERTION_and_GREEDY_DESCENT;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;SWEEP_and_GREEDY_DESCENT;SAVINGS_and_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_and_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_and_GREEDY_DESCENT;PARALLEL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_and_GREEDY_DESCENT
C1_4_1;46.39662721157074;34.34930536746979;43.77102301120758;44.34080491065979;46.79597010612488;46.81595935821533;39.19179508686066;38.66449635028839;34.95111525058746;44.30797920227051;46.52579574584961;41.76136937141418;42.45447473526001;39.56847198009491;47.22377080917359
C1_2_7;11.341754484176636;16.046683835983277;12.24496808052063;15.517754197120667;11.576796674728394;14.231656193733215;11.34455578327179;16.124910092353822;13.874297022819519;11.916641664505004;12.774933528900146;15.825211524963379;14.457962203025819;14.513369226455689;11.386411237716676
C1_4_10;53.05622024536133;54.44063143730163;54.96683139801026;48.416603207588196;47.82242681980133;56.48466553688049;49.25269632339477;48.779901194572446;51.318297147750854;52.11802904605865;47.464535975456236;48.039171028137204;49.446886610984805;52.63397681713104;51.953006100654605
C1_4_2;51.80283880233765;40.868191719055176;48.77844877243042;54.79604523181915;51.42927808761597;50.60216338634491;46.88786814212799;51.63579885959625;47.95834743976593;42.65117697715759;48.279615259170534;52.468271660804746;51.58751945495605;52.270053434371945;47.07881503105163
C1_4_9;37.75395240783691;37.24198813438416;36.44268488883972;37.97526731491089;37.247691655158995;54.26640889644623;39.7875883102417;37.33919184207916;37.33725116252899;38.0971875667572;37.82760560512543;40.162197375297545;37.93358678817749;37.5688038110733;36.72819197177887
C1_2_5;8.234753823280334;9.89450125694275;11.36788980960846;7.196473264694214;7.84703483581543;8.785165095329285;7.257440710067749;7.581322550773621;9.325982022285462;12.699139952659607;6.888069891929627;7.24383237361908;9.776561975479126;10.080421566963196;10.048957586288452
C1_2_4;12.666289162635803;15.896718883514405;14.220413827896119;13.59434506893158;15.478838157653808;16.58339354991913;10.940388536453247;12.370567202568054;7.290993070602417;14.411510252952576;11.580167984962463;12.528306341171264;18.330278754234314;14.559780025482178;15.501845026016236
C1_2_8;10.513147735595703;11.535892844200134;9.039823651313782;10.095283675193787;6.9198585748672485;9.178925037384033;7.782954621315002;12.209194898605347;8.77405686378479;9.07033667564392;8.44917435646057;10.833699560165405;10.961472630500793;9.448107194900512;7.867825603485107
C1_4_5;38.05668616294861;37.19533326625824;46.373172116279605;41.3993066072464;41.35054152011871;50.62443642616272;37.26490859985351;43.4196923494339;37.31895952224731;41.66317577362061;35.58504993915558;44.84071235656738;35.774826073646544;38.869415044784546;34.891235971450804
C1_6_1;60.005339646339415;60.00559546947479;60.00795929431915;60.007991909980774;60.00474593639374;60.00706079006195;60.03032975196838;59.829106378555295;60.00656247138977;60.005118179321286;59.99651720523834;60.006809544563296;60.00630214214325;60.00664432048798;59.97049028873444
C1_2_3;11.21312756538391;10.82764401435852;10.648181891441345;9.755208325386047;12.935220313072204;9.819075965881348;11.86077585220337;10.157025074958801;9.826126790046692;11.773491621017456;11.384098672866822;10.831680703163148;10.799736809730529;10.1401211977005;13.994004273414612
C1_6_3;60.01042296886444;60.00499660968781;60.00696203708649;60.007109427452086;60.006850719451904;60.004518842697145;60.005638003349304;480.15631036758424;60.00734655857086;60.006446075439456;60.00619399547577;60.00757999420166;60.00702986717224;60.01276497840881;60.013578629493715
C1_2_10;7.728814649581909;12.013558959960937;7.454427003860474;9.794023585319518;9.214545273780823;10.399275493621825;7.689261484146118;10.695844459533692;11.837221360206604;7.669775772094726;8.09255006313324;9.995581340789794;10.179772019386292;10.39219708442688;8.145420479774476
C1_2_9;11.269892024993897;10.261578059196472;8.619884896278382;16.745843148231508;12.478669881820679;14.754892230033875;11.511130547523498;15.7442950963974;15.962270784378052;9.17397665977478;12.233928871154784;17.131005382537843;15.963353610038757;17.12715103626251;12.26574068069458
C1_2_6;8.56007161140442;10.085143303871154;9.062822794914245;8.507762455940247;10.878257775306702;12.004536175727845;7.901608300209046;9.596121335029602;8.77646472454071;7.901352167129517;9.629336977005005;8.756489300727845;9.598078179359437;9.770116090774536;10.044187688827515
C1_4_6;43.4794593334198;51.768484592437744;42.33846998214722;42.98824474811554;45.25381555557251;53.1558322429657;50.291526556015015;49.34156351089477;51.30310707092285;40.96755242347717;43.972061371803285;48.64693393707275;51.24737932682037;53.554868721961974;44.268654465675354
C1_4_4;53.319785594940186;55.859452390670775;53.55044851303101;52.468425846099855;47.55995309352875;57.148863673210144;52.67734467983246;49.24486453533173;54.51213493347168;52.93082699775696;53.144731402397156;55.81585397720337;51.23042111396789;54.12605164051056;51.49803187847137
C1_2_2;9.44190592765808;10.769675254821777;7.033606553077698;13.3650723695755;12.055538749694824;9.74742636680603;13.252850365638732;11.454869389533997;9.06876254081726;10.75273175239563;9.133341121673585;8.80936312675476;8.91734004020691;10.002679634094239;13.56251413822174
C1_6_5;60.012602710723876;60.00922906398773;60.00766274929047;60.00690810680389;60.007790613174436;60.026677751541136;60.00612280368805;60.006756854057315;60.008075857162474;60.00897221565246;60.00842821598053;60.00548605918884;60.00842750072479;60.00890047550202;60.007720375061034
C1_2_1;6.916645646095276;6.7171386003494264;6.500486969947815;7.503432846069336;8.012850832939147;7.276863169670105;6.198244571685791;6.772301244735718;6.792485666275025;6.157238078117371;7.499674534797668;7.518505787849426;7.334425282478333;6.807237672805786;7.779291367530822
C1_4_3;45.41022613048553;53.301334261894226;51.26038634777069;52.20151653289795;51.68688700199127;57.019326257705686;52.88407692909241;53.902714943885805;56.89957759380341;51.30488088130951;53.40832846164703;54.836905765533444;54.246914291381835;52.91462392807007;49.88901662826538
C1_6_2;60.027485489845276;60.00511813163757;60.008680891990664;60.00709354877472;60.006621670722964;60.00756950378418;60.00714337825775;60.01003131866455;60.00644426345825;60.006212973594664;60.00763423442841;60.012588477134706;60.00910806655884;60.01221923828125;60.00555534362793
C1_4_7;44.70088629722595;48.57017936706543;50.764064359664914;52.97648451328278;48.916150498390195;48.751642847061156;48.30464408397675;53.32952477931976;52.93855404853821;48.620587182044986;47.40400602817535;46.79567720890045;51.302558517456056;48.673489046096805;43.62138392925262
C1_6_4;60.00977430343628;60.00572509765625;60.00574288368225;60.005267119407655;60.009062147140504;60.048754644393924;2715.8217569112776;60.007233953475954;60.00562355518341;60.007611179351805;60.008470678329466;60.005395841598514;60.0085342168808;60.00727138519287;60.006704688072205
C1_4_8;47.604426336288455;52.566104435920714;49.3374457359314;43.51778361797333;46.78392210006714;56.25623140335083;46.95745017528534;50.998231816291806;43.24907732009888;45.48295419216156;44.79900574684143;50.23121411800385;49.1585257768631;49.03108811378479;48.92920475006103
