Instance;CHRISTOFIDES_and_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_and_GUIDED_LOCAL_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;BEST_INSERTION_and_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;SWEEP_and_GUIDED_LOCAL_SEARCH;PATH_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_GUIDED_LOCAL_SEARCH
C1_4_1;10450.6;10413.2;10558.8;10967.2;10361.8;10472.2;10444.0;10872.6;10980.2;10905.0;10441.0;10506.6;10763.2;10839.4;10458.0
C1_2_7;4300.0;4458.0;4300.0;4306.0;4164.0;4306.0;4164.0;4164.0;4164.0;4458.0;4458.0;4300.0;4458.0;4300.0;4306.0
C1_4_10;10552.2;10181.4;10358.0;10326.0;10341.4;10456.0;10425.6;10650.2;10328.6;10316.6;10273.4;10374.4;10583.8;10407.4;10512.6
C1_4_2;10965.6;10976.2;10796.6;11112.6;10741.8;10765.4;10788.8;10873.2;10612.2;11234.0;11177.0;10764.4;11224.8;10943.6;11081.8
C1_4_9;10087.4;10386.0;10089.6;10182.4;10232.0;10112.6;10351.6;10435.0;10529.2;10359.0;10332.2;10153.4;10416.0;10145.6;10092.0
C1_2_5;4266.0;4394.0;4192.0;4086.0;4226.0;4020.0;4394.0;4156.0;4166.0;4322.0;4458.0;4360.0;4378.0;4312.0;3958.0
C1_2_4;3896.0;4142.0;4124.0;4108.0;4056.0;4174.0;3932.0;4252.0;4134.0;4036.0;3930.0;3966.0;4018.0;4088.0;3916.0
C1_2_8;4298.0;4128.0;4086.0;4152.0;4090.0;4032.0;4150.0;4160.0;4202.0;4182.0;4724.0;3802.0;4082.0;4288.0;4340.0
C1_4_5;10532.4;11194.8;11128.0;11062.4;10882.4;10830.8;10475.2;11272.6;10693.8;10736.0;10560.2;11122.8;10574.4;11077.2;11079.0
C1_6_1;22930.4;23862.0;25765.0;23928.0;24572.6;24084.8;23312.6;24288.2;23683.2;23757.8;24140.4;24131.4;22893.6;24941.8;24146.2
C1_2_3;4194.0;4006.0;4194.0;4154.0;4364.0;4154.0;4364.0;4364.0;4328.0;4170.0;4170.0;4070.0;4170.0;4194.0;4154.0
C1_6_3;23785.6;23543.8;23742.8;23264.2;23758.6;23349.4;23721.0;23373.4;22797.6;24015.2;23427.0;23762.2;23233.8;23985.2;23869.4
C1_2_10;3974.0;4274.0;3974.0;3974.0;4274.0;3974.0;4274.0;4274.0;4274.0;4274.0;4274.0;3974.0;4274.0;3974.0;3974.0
C1_2_9;4230.0;4004.0;4230.0;4230.0;4114.0;4230.0;4114.0;4114.0;4228.0;4114.0;4114.0;3910.0;4114.0;4230.0;4236.0
C1_2_6;4070.0;4436.0;4070.0;4070.0;4070.0;4070.0;4070.0;4070.0;4156.0;4070.0;4070.0;4196.0;4070.0;4070.0;4070.0
C1_4_6;10846.2;10615.2;10877.2;10865.4;11042.8;10852.0;11158.8;11097.6;11584.0;11103.0;10820.4;10722.4;10946.6;11176.8;10865.6
C1_4_4;10284.8;10160.8;10304.4;10261.6;10294.0;10353.4;10319.0;10369.8;10275.4;10347.4;10380.4;10258.2;10095.2;10379.2;10389.8
C1_2_2;4240.0;4166.0;4602.0;4730.0;4324.0;4314.0;4044.0;4278.0;4382.0;4044.0;4540.0;4776.0;4400.0;4730.0;4300.0
C1_6_5;24302.2;23921.6;24188.6;25143.4;24608.4;24612.0;25157.8;24772.4;24054.8;23720.6;24446.4;24656.0;24640.8;24210.4;24894.8
C1_2_1;4270.0;3844.0;4270.0;4270.0;3844.0;4270.0;3844.0;3844.0;3844.0;3844.0;3844.0;4270.0;3844.0;4270.0;4270.0
C1_4_3;10526.2;10673.0;10654.0;10699.8;10945.0;10725.8;11035.6;10930.2;10861.6;10789.6;10717.8;11017.2;10852.6;10757.0;10950.6
C1_6_2;25205.0;25978.6;26873.0;26419.4;26297.8;25932.4;26108.0;26313.6;26404.4;24988.4;26781.2;26923.4;26004.0;26500.2;25709.4
C1_4_7;10527.2;11043.4;10917.4;10689.4;10940.6;10561.6;10800.4;10603.0;10614.2;11009.0;10897.2;10606.2;10688.2;10667.2;11044.8
C1_6_4;21665.0;22051.0;21293.0;21474.8;21483.2;21776.6;21788.0;21835.0;20994.2;21531.2;21655.0;21580.2;21110.4;21357.0;21638.4
C1_4_8;11212.8;10576.8;10795.0;10576.2;10619.0;10853.2;10618.8;10668.8;10773.6;10789.4;10808.8;10939.0;10722.6;10935.6;10488.4
