Instance;SAVINGS_and_SIMULATED_ANNEALING;BEST_INSERTION_and_SIMULATED_ANNEALING;PARALLEL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;SWEEP_and_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_and_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;ALL_UNPERFORMED_and_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_and_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_and_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;CHRISTOFIDES_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING
C1_4_1;10300.4;10366.2;10676.0;10359.8;10533.2;10867.8;10619.2;10899.2;10748.2;10430.6;11064.8;10305.8;10459.8;10263.2;10676.8
C1_2_7;4216.0;4216.0;4206.0;4206.0;4160.0;4350.0;4206.0;4350.0;4160.0;4350.0;4216.0;4160.0;4206.0;4350.0;4160.0
C1_4_10;10398.8;10382.6;10520.6;10628.6;10399.2;10361.8;10592.8;10253.8;10402.2;10599.4;10279.2;10363.0;10480.2;10360.8;10395.6
C1_4_2;10473.0;10384.8;10783.4;10878.8;11216.8;10849.2;11032.0;10976.0;10852.2;10848.8;10962.8;11268.0;11104.8;11285.6;10988.2
C1_4_9;10379.2;10304.2;10760.0;10690.4;10682.4;10265.6;10340.6;10484.2;10677.2;10271.2;10307.0;10634.8;10698.8;10469.8;10659.8
C1_2_5;4478.0;4300.0;4312.0;4532.0;4044.0;4322.0;4648.0;4350.0;4498.0;4162.0;4030.0;3760.0;4018.0;4280.0;4236.0
C1_2_4;4116.0;4070.0;4082.0;3950.0;4126.0;4102.0;4092.0;3856.0;4118.0;3980.0;3934.0;4054.0;4210.0;3922.0;4000.0
C1_2_8;4150.0;4244.0;4210.0;4288.0;4152.0;4220.0;4218.0;4308.0;4330.0;4724.0;4332.0;4326.0;4184.0;4182.0;4218.0
C1_4_5;10919.6;10817.8;10991.4;11311.2;10778.0;11527.2;10179.4;11035.8;10888.0;10483.0;10998.4;11058.0;10655.0;10714.8;10993.2
C1_6_1;24103.6;23740.4;23556.6;24587.0;24478.6;24778.0;25712.4;25451.0;24876.0;23601.2;23512.2;24071.2;22763.6;24901.4;23726.6
C1_2_3;4360.0;4360.0;4276.0;4276.0;4358.0;4182.0;4350.0;4182.0;4176.0;4074.0;4360.0;4176.0;4276.0;4182.0;4176.0
C1_6_3;23667.8;23505.4;23261.6;23547.4;23415.8;24031.0;23974.6;23636.0;23704.4;24101.2;24372.4;24345.2;23795.6;24423.0;23724.6
C1_2_10;3868.0;3868.0;3990.0;3990.0;3990.0;3868.0;3990.0;3868.0;3990.0;3868.0;3868.0;3990.0;3990.0;3868.0;3990.0
C1_2_9;4114.0;4114.0;4230.0;4230.0;3870.0;4114.0;4342.0;4114.0;4230.0;4050.0;4114.0;4230.0;4230.0;4114.0;4230.0
C1_2_6;4070.0;4070.0;4070.0;4070.0;4130.0;4070.0;4156.0;4070.0;4070.0;4510.0;4070.0;4070.0;4070.0;4070.0;4070.0
C1_4_6;11151.8;11026.6;11112.4;11343.2;10855.8;11161.6;11649.6;10782.0;11020.8;11276.6;11323.0;10837.8;11045.6;11012.2;11237.0
C1_4_4;10298.2;10323.2;10280.8;10370.4;10390.8;10230.0;10149.8;10392.2;10399.2;10350.8;10300.8;10415.8;10402.6;10183.2;10180.6
C1_2_2;4720.0;4364.0;4402.0;4238.0;4520.0;4066.0;4522.0;4226.0;4040.0;4370.0;4226.0;4370.0;4370.0;4368.0;4212.0
C1_6_5;24598.4;24879.6;24275.0;24365.2;25234.4;24625.6;24459.4;24622.2;24375.8;24834.2;24203.0;23220.0;24651.2;24321.2;24975.4
C1_2_1;3844.0;3844.0;4270.0;4270.0;4270.0;3844.0;4270.0;3844.0;4270.0;3844.0;3844.0;4270.0;4270.0;3844.0;4270.0
C1_4_3;10728.8;10642.8;10756.0;10700.8;10770.0;10844.2;10808.2;10886.4;10716.4;10712.6;10631.2;10885.8;10675.2;10672.8;10875.6
C1_6_2;26008.2;26759.4;27969.2;25283.6;25077.2;25361.6;25001.0;25207.8;25209.0;25434.8;25574.2;25872.4;25507.4;26523.8;25770.2
C1_4_7;10986.2;10765.8;10629.4;10851.2;10659.4;10877.2;10562.4;10620.4;10845.8;10747.8;10831.0;10783.6;10571.4;10755.6;10831.8
C1_6_4;21793.8;21319.8;21422.2;21754.8;21316.6;21445.0;21696.8;21501.4;22727.6;21560.0;21653.0;21769.0;21531.6;21620.4;21423.0
C1_4_8;10773.0;10675.4;10941.6;10701.2;10479.2;10870.2;10790.0;11024.4;10614.8;10460.8;10775.0;10736.2;10766.0;10925.0;10925.4
