Instance;SWEEP_and_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_TABU_SEARCH;CHRISTOFIDES_and_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_TABU_SEARCH;SAVINGS_and_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_TABU_SEARCH;BEST_INSERTION_and_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_TABU_SEARCH;ALL_UNPERFORMED_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_TABU_SEARCH;EVALUATOR_STRATEGY_and_TABU_SEARCH
C1_4_1;10795.0;10412.4;10948.2;10345.6;10235.6;10528.2;10161.4;10237.4;10810.6;10207.4;10698.4;10431.2;10774.0;10599.6;10549.6
C1_2_7;4034.0;4266.0;4034.0;4244.0;4244.0;4266.0;4080.0;4244.0;4244.0;4080.0;4266.0;4034.0;4080.0;4034.0;4080.0
C1_4_10;10277.2;10368.0;10425.8;10372.2;10387.2;10415.2;10200.8;10720.8;10339.0;10361.0;10508.4;10309.8;10375.4;10654.6;10374.4
C1_4_2;11091.4;10759.6;11037.0;10978.2;11073.8;10756.8;11083.0;10672.0;10760.8;11338.2;11179.2;10936.4;10984.0;11358.0;10678.4
C1_4_9;10069.4;10351.6;10050.8;10301.6;10426.2;10312.0;10079.6;10363.8;10424.2;10162.0;10421.0;10034.0;10101.2;10748.4;9997.2
C1_2_5;4238.0;4192.0;4350.0;4428.0;3760.0;4176.0;4226.0;4414.0;4086.0;4394.0;4244.0;4458.0;4164.0;4354.0;4224.0
C1_2_4;3984.0;4054.0;3954.0;3946.0;4002.0;3912.0;4212.0;4056.0;4090.0;4382.0;3930.0;4120.0;3754.0;4194.0;4086.0
C1_2_8;4308.0;4238.0;4108.0;4326.0;4188.0;4184.0;4262.0;4218.0;4382.0;4206.0;4084.0;4412.0;4490.0;4230.0;4332.0
C1_4_5;11036.6;11380.8;11148.4;11025.6;11228.4;11226.6;11064.2;11067.8;10702.0;10806.8;10688.8;10659.0;10320.0;10617.2;10599.0
C1_6_1;24273.0;23174.0;25023.0;22909.2;23111.4;23338.6;23889.0;24662.4;24607.0;24497.8;24259.6;24010.4;23931.4;23141.0;23606.8
C1_2_3;4060.0;4184.0;4060.0;4194.0;4194.0;4184.0;4530.0;4278.0;4194.0;4530.0;4184.0;4060.0;4530.0;4164.0;4144.0
C1_6_3;23765.4;23214.6;23724.6;23989.8;23994.4;23451.4;23277.8;23544.8;23974.0;23705.6;23751.6;24016.0;23781.0;23921.4;24579.4
C1_2_10;4210.0;3994.0;4210.0;3994.0;3994.0;3994.0;4210.0;3994.0;3994.0;4210.0;3994.0;4210.0;4210.0;4210.0;4210.0
C1_2_9;4114.0;4230.0;4114.0;4230.0;4230.0;4230.0;4114.0;4216.0;4230.0;4114.0;4230.0;4114.0;4114.0;4016.0;4008.0
C1_2_6;4070.0;4070.0;4070.0;4070.0;4070.0;4070.0;4070.0;4382.0;4070.0;4070.0;4070.0;4070.0;4070.0;4198.0;4070.0
C1_4_6;11309.2;10919.0;10596.6;10971.8;11171.4;11184.0;10895.2;11014.8;10982.6;10740.0;11246.8;10897.4;11122.0;11357.8;10952.6
C1_4_4;10302.6;10179.2;10368.8;10344.8;10535.8;10352.6;10231.0;10261.6;10325.8;10386.0;10205.8;10299.8;10266.6;10325.8;10300.0
C1_2_2;4190.0;4284.0;4322.0;4344.0;4036.0;4608.0;4416.0;4332.0;4284.0;4416.0;4102.0;4416.0;4528.0;4448.0;4092.0
C1_6_5;24112.2;24417.2;23973.8;23857.2;24238.4;24195.0;23279.0;23763.8;23385.4;24175.0;24804.2;24286.2;24026.0;23937.8;24221.8
C1_2_1;3844.0;4270.0;3844.0;4270.0;4270.0;4270.0;3844.0;4270.0;4270.0;3844.0;4270.0;3844.0;3844.0;3844.0;3844.0
C1_4_3;10725.4;10804.6;10746.2;10897.2;10732.6;10976.0;10746.4;10689.4;10908.2;10647.0;10757.0;10896.4;10885.8;10588.2;10696.2
C1_6_2;24870.8;25580.6;26148.6;26425.0;27254.8;25661.4;26387.2;26227.0;25878.2;25276.2;26791.4;26278.8;26198.0;26335.8;25099.2
C1_4_7;10967.0;10864.8;10700.0;10910.6;10549.8;10788.4;10980.8;10721.2;10614.8;10668.0;10499.6;10937.6;10708.0;10702.0;10851.8
C1_6_4;22005.8;21307.2;21395.0;21323.6;21795.2;21338.4;21589.8;21744.6;21735.6;21313.8;22152.4;21325.4;21035.2;21540.6;22197.2
C1_4_8;10674.6;10903.6;10708.6;10603.6;10766.4;10458.4;10956.2;10547.2;10886.2;10659.6;10482.8;10554.0;10913.0;10625.8;10828.4
