Instance;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT;CHRISTOFIDES_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_TABU_SEARCH;SAVINGS_and_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_TABU_SEARCH
p3;975.15;930.4;953.8;937.15;953.95
p6;1344.35;1359.5;1359.2;1334.5;1359.5
p19;3720.1;3767.45;3765.9;3742.2;3758.5
p5;1325.45;1319.05;1318.9;1319.15;1318.9
p1;674.35;640.5;642.45;610.6;642.5
p31;621.9;619.9;618.7;625.45;618.7
p15;1206.9;1173.7;1174.4;1187.15;1184.9
p20;5386.4;5463.0;5450.85;5458.35;5435.0
p4;1284.15;1279.3;1279.35;1280.5;1278.65
p2;664.05;638.35;641.95;609.3;641.75
C1_4_1;7294.0;7661.7;7530.15;7674.65;7582.05
C1_2_7;3005.5;2875.5;2895.5;2915.0;2826.0
C1_4_10;7636.0;7637.1;7591.9;7642.25;7567.6
C1_4_2;7683.45;7753.7;7688.2;7718.1;7687.0
C1_4_9;7728.5;7618.5;7543.15;7578.4;7540.35
C1_2_5;2989.0;2949.0;2949.0;3106.5;2949.0
C1_2_4;3037.0;2923.5;2923.5;2933.5;2869.5
C1_2_8;2869.0;2815.0;2812.0;2845.5;2831.5
C1_4_5;7858.0;7525.25;7484.55;7645.7;7487.25
C1_6_1;17275.6;16470.4;15670.9;15732.1;15840.8
C1_2_3;3044.0;2971.0;2935.5;2978.5;2935.5
C1_6_3;16272.3;16392.7;16793.85;16897.45;16912.95
C1_2_10;2924.5;3068.5;2895.0;2970.5;3068.5
C1_2_9;2918.0;2878.0;2878.0;2896.0;2878.0
C1_2_6;2969.0;2953.0;2884.5;2894.0;3040.0
C1_4_6;7867.5;7612.0;7670.1;7614.35;7534.0
C1_4_4;7830.0;7585.45;7564.5;7604.15;7527.6
C1_2_2;3158.0;2994.5;2909.0;2935.5;3034.5
C1_6_5;16728.2;16432.0;16506.6;15982.7;16556.5
C1_2_1;3094.0;2891.5;3009.5;3027.5;3054.0
C1_4_3;7703.95;7680.25;7739.4;7643.65;7688.75
C1_6_2;17388.8;16984.0;16734.2;17035.2;17349.55
C1_4_7;7644.0;7652.35;7649.25;7649.75;7622.65
C1_6_4;15693.45;15343.85;15533.15;15517.7;15696.85
C1_4_8;7910.5;7666.6;7700.1;7683.75;7633.9
CVRP_3;682.2;614.3;607.9;631.6;607.8
CVRP_5;1189.8;1203.6;1204.4;1204.4;1204.4
CVRP_2;680.1;668.9;670.4;671.3;668.9
p16;5784.9;6157.2;6156.8;6156.5;6155.8
CVRP_100;349.2;345.2;345.2;346.5;345.8
p18;10763.5;10782.8;10785.7;10782.7;10784.0
p17;6995.0;7240.2;7240.7;7240.6;7239.5
p12;8848.3;9767.7;9771.8;9768.8;9764.8
p11;2629.8;3373.3;3377.0;3374.6;3374.5
CVRP_4;2568.7;2562.7;2562.7;2561.7;2556.1
CVRP_1;1418.15;1398.25;1398.25;1407.8;1398.4
HFVRP_4;4527.0;4510.0;4510.0;3747.0;4504.0
HFVRP_p14;9486.0;9368.0;9406.0;9443.5;9657.6
CVRP_p5;4583.0;4581.0;4581.0;4581.0;4581.0
CVRP_p3;4157.0;4172.0;4172.0;4133.0;4172.0
HFVRP_1;3259.0;3241.0;3241.0;3241.0;3241.0
CVRP_p14;9586.6;9356.1;9543.0;9532.2;9554.0
HFVRP_p3;4030.0;4048.0;4048.0;4038.0;4039.0
HFVRP_p5;1553.0;1520.0;1520.0;1542.0;1520.0
att48;34184.0;34405.0;34405.0;34405.0;34405.0
pr76;110948.0;110173.0;108879.0;110098.0;110653.0
pr107;44573.0;46677.0;46677.0;46677.0;46677.0
st70;683.0;682.0;682.0;687.0;682.0
ulysses22;72.0;72.0;72.0;72.0;72.0
rd100;8221.0;8628.0;8628.0;8479.0;8628.0
pr124;60413.0;59246.0;59246.0;59246.0;59246.0
d493;36737.0;37173.8;36941.7;36918.8;36871.2
ulysses16;72.0;72.0;72.0;72.0;72.0
dsj1000;21894779.4;21085998.6;20925569.6;21060025.4;21024758.6
u724;45276.6;47680.7;47738.6;47682.0;47670.6
ch150;6733.0;6769.0;6769.0;6769.0;6769.0
d657;51711.3;55195.3;55350.3;55737.7;55266.7
p13;15287.0;16694.0;16670.0;16670.0;16668.0
