Instance;Objective;Heuristic;Metaheuristic;Time;Routes
HFVRP_4.txt;3747;SWEEP_;_TABU_SEARCH;0.4088621139526367;4
HFVRP_p14.txt;9536;SWEEP_;_TABU_SEARCH;12.743657350540161;4
C1_2_6.txt;2829;SWEEP_;_TABU_SEARCH;2.1111955642700195;18
CVRP_p5.txt;4581;SWEEP_;_TABU_SEARCH;0.4663581848144531;4
CVRP_4.txt;3946;SWEEP_;_TABU_SEARCH;0.384049654006958;6
C1_4_1.txt;7249;SWEEP_;_TABU_SEARCH;8.982877969741821;36
C1_6_3.txt;14148;SWEEP_;_TABU_SEARCH;19.259073734283447;56
C1_2_1.txt;2829;SWEEP_;_TABU_SEARCH;2.2027130126953125;18
CVRP_p3.txt;4133;SWEEP_;_TABU_SEARCH;0.27022719383239746;3
C1_6_2.txt;14665;SWEEP_;_TABU_SEARCH;15.4053316116333;56
C1_4_4.txt;7249;SWEEP_;_TABU_SEARCH;10.740145921707153;36
C1_2_5.txt;2829;SWEEP_;_TABU_SEARCH;2.1416053771972656;18
HFVRP_1.txt;3241;SWEEP_;_TABU_SEARCH;0.163421630859375;4
C1_2_4.txt;2829;SWEEP_;_TABU_SEARCH;2.168184518814087;18
C1_6_1.txt;14665;SWEEP_;_TABU_SEARCH;14.99653434753418;56
CVRP_p14.txt;9567;SWEEP_;_TABU_SEARCH;12.058505296707153;4
C1_2_8.txt;2829;SWEEP_;_TABU_SEARCH;2.1312849521636963;18
CVRP_1.txt;2158;SWEEP_;_TABU_SEARCH;0.13685393333435059;4
HFVRP_p3.txt;4038;SWEEP_;_TABU_SEARCH;0.2561180591583252;3
HFVRP_p5.txt;1542;SWEEP_;_TABU_SEARCH;0.5691239833831787;3
HFVRP_4.txt;4507;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;0.33032655715942383;5
HFVRP_p14.txt;9623;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;9.996596097946167;4
C1_2_6.txt;2829;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;2.132535457611084;18
CVRP_p5.txt;4581;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;0.4327678680419922;4
CVRP_4.txt;3916;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;0.7735044956207275;6
C1_4_1.txt;7249;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;8.869024515151978;36
C1_6_3.txt;14665;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;14.761090517044067;56
C1_2_1.txt;2829;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;2.325666904449463;18
CVRP_p3.txt;4133;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;0.43437767028808594;3
C1_6_2.txt;14838;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;16.32058072090149;56
C1_4_4.txt;7376;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;8.172341346740723;36
C1_2_5.txt;2829;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;2.2191507816314697;18
HFVRP_1.txt;3241;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;0.15710234642028809;4
C1_2_4.txt;2829;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;2.139069080352783;18
C1_6_1.txt;14838;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;19.349435806274414;56
CVRP_p14.txt;9308;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;12.94153380393982;4
C1_2_8.txt;2829;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;2.1093533039093018;18
CVRP_1.txt;2158;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;0.17770862579345703;4
HFVRP_p3.txt;4037;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;0.24315762519836426;3
HFVRP_p5.txt;1542;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;0.6044602394104004;3
HFVRP_4.txt;4507;CHRISTOFIDES_;_GREEDY_DESCENT;0.5057587623596191;5
HFVRP_p14.txt;9449;CHRISTOFIDES_;_GREEDY_DESCENT;12.731767416000366;4
C1_2_6.txt;2829;CHRISTOFIDES_;_GREEDY_DESCENT;2.0960443019866943;18
CVRP_p5.txt;4581;CHRISTOFIDES_;_GREEDY_DESCENT;0.4908480644226074;4
CVRP_4.txt;3916;CHRISTOFIDES_;_GREEDY_DESCENT;0.3347594738006592;6
C1_4_1.txt;7249;CHRISTOFIDES_;_GREEDY_DESCENT;8.867473363876343;36
C1_6_3.txt;14639;CHRISTOFIDES_;_GREEDY_DESCENT;16.17127776145935;56
C1_2_1.txt;2829;CHRISTOFIDES_;_GREEDY_DESCENT;2.2046921253204346;18
CVRP_p3.txt;4133;CHRISTOFIDES_;_GREEDY_DESCENT;0.29254841804504395;3
C1_6_2.txt;14240;CHRISTOFIDES_;_GREEDY_DESCENT;15.409967184066772;56
C1_4_4.txt;7249;CHRISTOFIDES_;_GREEDY_DESCENT;10.215019702911377;36
C1_2_5.txt;2829;CHRISTOFIDES_;_GREEDY_DESCENT;2.1135947704315186;18
HFVRP_1.txt;3241;CHRISTOFIDES_;_GREEDY_DESCENT;0.13460922241210938;4
