Instance;SWEEP_&_TABU_SEARCH;LOCAL_CHEAPEST_ARC_&_GENERIC_TABU_SEARCH;CHRISTOFIDES_&_GREEDY_DESCENT;ALL_UNPERFORMED_&_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_&_TABU_SEARCH;CHRISTOFIDES_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_TABU_SEARCH;CHRISTOFIDES_&_TABU_SEARCH;SAVINGS_&_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_&_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_&_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_&_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_&_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_&_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_&_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_&_GENERIC_TABU_SEARCH;BEST_INSERTION_&_SIMULATED_ANNEALING;SAVINGS_&_TABU_SEARCH;BEST_INSERTION_&_GREEDY_DESCENT;CHRISTOFIDES_&_GENERIC_TABU_SEARCH;BEST_INSERTION_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_&_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_&_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_&_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_SIMULATED_ANNEALING;SAVINGS_&_GENERIC_TABU_SEARCH;SWEEP_&_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_&_TABU_SEARCH;PATH_CHEAPEST_ARC_&_GREEDY_DESCENT;SWEEP_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_&_GENERIC_TABU_SEARCH;SWEEP_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_&_TABU_SEARCH;PATH_CHEAPEST_ARC_&_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_&_TABU_SEARCH;BEST_INSERTION_&_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_ARC_&_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_&_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_GENERIC_TABU_SEARCH;BEST_INSERTION_&_TABU_SEARCH;PATH_CHEAPEST_ARC_&_GENERIC_TABU_SEARCH;EVALUATOR_STRATEGY_&_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_&_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_&_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_&_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_&_GREEDY_DESCENT;SWEEP_&_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_&_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_&_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_&_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_&_SIMULATED_ANNEALING;SAVINGS_&_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_&_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_&_TABU_SEARCH;ALL_UNPERFORMED_&_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_&_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_&_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_&_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_&_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_&_GREEDY_DESCENT;EVALUATOR_STRATEGY_&_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_&_TABU_SEARCH;SAVINGS_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_GREEDY_DESCENT;CHRISTOFIDES_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_&_GREEDY_DESCENT;EVALUATOR_STRATEGY_&_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_&_SIMULATED_ANNEALING
HFVRP_4;3747;4507;4507;4510;4510;4510;3747;4504;4507;3747;4510;4507;4504;4510;4510;4504;4507;4507;4507;4510;3747;4507;4504;3747;4507;4507;4507;4510;3747;4504;4504;4527;4510;4510;4507;4504;3730;4507;3747;4507;4510;4504;4510;4504;4504;3747;4510;3747;3747;3747;4504;4510;4504;4504;3747;4510;3747;4507;3747;4504;3747;4507;4507;4510;4510;4510;4504;4510;3747;4504;4504;3747;3747;4507;4504
C1_4_9;7249;7249;7249;7245;7245;7245;7249;7249;7249;7249;7245;7250;7249;7245;7245;7249;7249;7249;7249;7245;7249;7249;7249;7249;7249;7249;7249;7245;7249;7249;7249;7346;7245;7245;7249;7249;7329;7249;7249;7249;7245;7249;7245;7333;7249;7249;7455;7249;7249;7249;7249;7245;7249;7249;7249;7245;7249;7249;7249;7249;7249;7249;7249;7245;7245;7245;7249;7245;7393;7249;7249;7249;7249;7249;7249
C1_6_4;14385;14593;14216;14385;14216;14148;14216;14216;14216;14216;14385;14148;14385;14240;14499;14385;14385;14385;14637;14240;14216;14243;14216;14216;14385;14240;14148;14216;14148;14815;14243;14643;14243;14148;14639;14148;14656;14385;14240;14385;14240;14216;14637;14216;14148;14148;14383;14243;14216;14216;14240;14216;14216;14243;14518;14506;14518;14243;14243;14216;14639;14148;14518;14216;14216;14383;14240;14637;14777;14665;14148;14593;14593;14593;14216
C1_6_5;14637;13943;14240;14593;14661;14148;14216;14148;14224;14240;14383;14148;14148;14240;14665;14626;14160;14581;14244;14240;14216;14216;14243;14216;14385;14240;14148;14520;14148;14245;14243;14643;14243;14148;14216;14148;14656;14633;14240;14216;14240;14639;14518;14216;14148;14148;14383;14216;14240;14216;14240;14243;14593;14243;14518;14593;14226;14235;14243;14665;14383;14148;14243;14833;14593;14639;14240;14637;14777;14572;14148;14240;14148;14593;14665
C1_2_7;2829;2829;2829;2793;2793;2793;2829;2793;2829;2829;2793;2829;2793;2793;2793;2793;2829;2829;2829;2793;2829;2829;2793;2829;2829;2829;2829;2793;2829;2793;2793;2873;2793;2793;2829;2793;2830;2829;2829;2829;2793;2793;2793;2793;2793;2829;2793;2829;2829;2829;2793;2793;2793;2793;2829;2793;2829;2829;2829;2793;2829;2829;2829;2793;2793;2793;2793;2793;2829;2793;2793;2829;2829;2829;2793
C1_4_10;7249;7249;7249;7245;7245;7245;7249;7249;7249;7249;7245;7250;7249;7245;7245;7249;7249;7249;7249;7245;7249;7249;7249;7249;7249;7249;7249;7245;7249;7249;7249;7346;7245;7245;7249;7249;7329;7249;7249;7249;7245;7249;7245;7333;7249;7249;7455;7249;7249;7249;7249;7245;7249;7249;7249;7245;7249;7249;7249;7249;7249;7249;7249;7245;7245;7245;7249;7245;7393;7249;7249;7249;7249;7249;7249
HFVRP_p14;9536;9373;9359;9415;9359;9359;9428;9415;9325;9428;9350;9536;9536;9327;9327;9327;9359;9428;9373;9415;9359;9471;9428;9428;9564;9373;9471;9359;9415;9449;9359;9486;9373;9373;9373;9428;9506;9359;9471;9564;9359;9415;9373;9373;9471;9327;9353;9471;9359;9359;9536;9415;9373;9536;9449;9373;9327;9359;9327;9327;9327;9564;9471;9415;9327;9373;9415;9471;9379;9564;9327;9428;9471;9327;9428
C1_2_6;2829;2829;2829;2793;2793;2793;2829;2793;2829;2829;2793;2829;2793;2793;2793;2793;2829;2829;2829;2793;2829;2829;2793;2829;2829;2829;2829;2793;2829;2793;2793;2873;2793;2793;2829;2793;2830;2829;2829;2829;2793;2793;2793;2793;2793;2829;2793;2829;2829;2829;2793;2793;2793;2793;2829;2793;2829;2829;2829;2793;2829;2829;2829;2793;2793;2793;2793;2793;2829;2793;2793;2829;2829;2829;2793
CVRP_p5;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4583;4581;4581;4581;4581;4616;4581;4581;4581;4581;4581;4581;4581;4581;4581;4534;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581;4581
CVRP_4;3946;3916;3916;3948;3948;3948;3946;3935;3916;3983;3940;3980;3935;3948;3948;3935;3916;3973;3916;3948;3946;3916;3935;3946;3916;3916;3916;3948;3946;3935;3959;3956;3948;3948;3916;3935;3980;3916;3946;3916;3948;3935;3948;3954;3964;3946;3928;3946;3946;3946;3935;3948;3935;3935;3981;3983;3946;3916;3946;3935;3946;3916;3916;3948;3948;3948;3935;3948;3962;3935;3935;3946;3946;3916;3935
