Instance;SWEEP_&_TABU_SEARCH;LOCAL_CHEAPEST_ARC_&_GENERIC_TABU_SEARCH;CHRISTOFIDES_&_GREEDY_DESCENT;ALL_UNPERFORMED_&_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_&_TABU_SEARCH;CHRISTOFIDES_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_TABU_SEARCH;CHRISTOFIDES_&_TABU_SEARCH;SAVINGS_&_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_&_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_&_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_&_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_&_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_&_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_&_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_&_GENERIC_TABU_SEARCH;BEST_INSERTION_&_SIMULATED_ANNEALING;SAVINGS_&_TABU_SEARCH;BEST_INSERTION_&_GREEDY_DESCENT;CHRISTOFIDES_&_GENERIC_TABU_SEARCH;BEST_INSERTION_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_&_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_&_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_&_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_SIMULATED_ANNEALING;SAVINGS_&_GENERIC_TABU_SEARCH;SWEEP_&_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_&_TABU_SEARCH;PATH_CHEAPEST_ARC_&_GREEDY_DESCENT;SWEEP_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_&_GENERIC_TABU_SEARCH;SWEEP_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_&_TABU_SEARCH;PATH_CHEAPEST_ARC_&_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_&_TABU_SEARCH;BEST_INSERTION_&_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_ARC_&_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_&_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_GENERIC_TABU_SEARCH;BEST_INSERTION_&_TABU_SEARCH;PATH_CHEAPEST_ARC_&_GENERIC_TABU_SEARCH;EVALUATOR_STRATEGY_&_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_&_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_&_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_&_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_&_GREEDY_DESCENT;SWEEP_&_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_&_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_&_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_&_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_&_SIMULATED_ANNEALING;SAVINGS_&_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_&_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_&_TABU_SEARCH;ALL_UNPERFORMED_&_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_&_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_&_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_&_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_&_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_&_GREEDY_DESCENT;EVALUATOR_STRATEGY_&_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_&_TABU_SEARCH;SAVINGS_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_GREEDY_DESCENT;CHRISTOFIDES_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_&_GREEDY_DESCENT;EVALUATOR_STRATEGY_&_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_&_SIMULATED_ANNEALING
p3;629;596;608;596;629;576;629;629;697;576;608;592;629;576;608;576;576;596;697;629;608;596;576;596;596;629;576;697;596;596;629;658;697;596;576;629;646;629;596;608;596;596;629;610;697;697;608;576;697;576;697;608;608;596;697;615;576;697;608;697;629;629;608;576;697;608;608;596;595;576;608;697;608;629;697
p6;745;745;745;795;795;795;745;795;745;745;795;745;795;795;795;795;745;745;745;795;745;745;795;745;745;745;745;795;745;795;795;825;795;795;745;795;745;745;745;745;795;795;795;795;795;745;795;745;745;745;795;795;795;795;745;795;745;745;745;795;745;745;745;795;795;795;795;795;745;795;795;745;745;745;795
p19;1714;1719;1746;1728;1733;1609;1733;1733;1659;1733;1739;1740;1733;1659;1659;1733;1609;1609;1725;1714;1733;1705;1696;1733;1723;1776;1659;1682;1634;1609;1703;1885;1733;1659;1683;1733;1827;1733;1733;1634;1723;1705;1723;1636;1733;1733;1733;1733;1733;1733;1609;1650;1733;1733;1684;1711;1733;1714;1733;1733;1659;1766;1725;1659;1733;1692;1733;1766;1884;1659;1733;1659;1659;1773;1609
p5;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;710;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708;708
p1;565;500;516;500;565;560;565;565;580;560;516;516;565;560;516;560;560;500;580;565;516;500;560;500;500;565;560;580;500;500;565;602;580;500;560;565;533;565;500;516;500;500;565;500;580;580;547;560;580;560;580;516;516;500;580;560;560;580;516;580;565;565;516;560;580;516;516;500;602;560;516;580;516;565;580
p31;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540
p15;1020;1116;1116;994;994;994;1020;1017;1116;1020;994;1116;1017;994;994;1017;1116;1116;1116;994;1020;1116;1017;1020;1116;1116;1116;994;1020;1017;1017;1017;994;994;1116;1017;1116;1116;1020;1116;994;1017;994;1017;1017;1020;994;1020;1020;1020;1017;994;1017;1017;1020;994;1020;1116;1020;1017;1020;1116;1116;994;994;994;1017;994;1020;1017;1017;1020;1020;1116;1017
p20;2126;2132;2169;2132;2088;2074;2166;2094;2056;2102;2080;2080;2074;2065;2130;2098;2132;2067;2132;2069;2125;2096;2123;2085;2071;2132;2074;2073;2110;2095;2074;2227;2004;2133;2004;2144;2171;2066;2069;2080;2103;2130;2124;2043;2099;2126;2073;2099;2067;2069;2113;2022;2088;2061;2082;2121;2088;2004;2154;2053;2118;2145;1982;2126;2064;2067;2138;2111;2060;2133;2084;2094;2098;2158;2088
p4;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711
p2;565;500;516;500;565;560;565;565;580;560;516;516;565;560;516;560;560;500;580;565;516;500;560;500;500;565;560;580;500;500;565;602;580;500;560;565;533;565;500;516;500;500;565;500;580;580;547;560;580;560;580;516;516;500;580;560;560;580;516;580;565;565;516;560;580;516;516;500;602;560;516;580;516;565;580
