Instance;SWEEP_&_TABU_SEARCH;LOCAL_CHEAPEST_ARC_&_GENERIC_TABU_SEARCH;CHRISTOFIDES_&_GREEDY_DESCENT;ALL_UNPERFORMED_&_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_&_TABU_SEARCH;CHRISTOFIDES_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_TABU_SEARCH;CHRISTOFIDES_&_TABU_SEARCH;SAVINGS_&_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_&_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_&_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_&_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_&_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_&_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_&_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_&_GENERIC_TABU_SEARCH;BEST_INSERTION_&_SIMULATED_ANNEALING;SAVINGS_&_TABU_SEARCH;BEST_INSERTION_&_GREEDY_DESCENT;CHRISTOFIDES_&_GENERIC_TABU_SEARCH;BEST_INSERTION_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_&_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_&_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_&_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_SIMULATED_ANNEALING;SAVINGS_&_GENERIC_TABU_SEARCH;SWEEP_&_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_&_TABU_SEARCH;PATH_CHEAPEST_ARC_&_GREEDY_DESCENT;SWEEP_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_&_GENERIC_TABU_SEARCH;SWEEP_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_&_TABU_SEARCH;PATH_CHEAPEST_ARC_&_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_&_TABU_SEARCH;BEST_INSERTION_&_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_ARC_&_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_&_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_GENERIC_TABU_SEARCH;BEST_INSERTION_&_TABU_SEARCH;PATH_CHEAPEST_ARC_&_GENERIC_TABU_SEARCH;EVALUATOR_STRATEGY_&_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_&_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_&_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_&_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_&_GREEDY_DESCENT;SWEEP_&_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_&_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_&_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_&_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_&_SIMULATED_ANNEALING;SAVINGS_&_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_&_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_&_TABU_SEARCH;ALL_UNPERFORMED_&_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_&_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_&_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_&_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_&_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_&_GREEDY_DESCENT;EVALUATOR_STRATEGY_&_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_&_TABU_SEARCH;SAVINGS_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_GREEDY_DESCENT;CHRISTOFIDES_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_&_GREEDY_DESCENT;EVALUATOR_STRATEGY_&_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_&_SIMULATED_ANNEALING
att48;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34184;34405;34405;34405;34405;34730;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405;34405
pr76;110653;110657;110288;110653;108879;110173;111000;112481;109118;110288;112481;110600;110653;112481;108879;112481;110657;110653;110653;112481;112666;111000;109043;109118;112666;110288;110098;112481;110098;112481;109043;110948;109043;110173;112666;110173;110173;109118;110288;110653;112481;108879;112481;111000;110173;110098;110657;111000;110288;110653;112481;109043;110653;109043;112666;110657;109118;111000;111000;108879;112666;110098;109118;112481;110653;112481;112481;112481;112481;108879;110173;110657;110657;110657;112481
pr107;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;44573;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677;46677
st70;687;687;687;682;682;682;687;682;687;687;682;687;682;682;682;682;687;687;687;682;687;687;682;687;687;687;687;682;687;682;682;683;682;682;687;682;687;687;687;687;682;682;682;682;682;687;682;687;687;687;682;682;682;682;687;682;687;687;687;682;687;687;687;682;682;682;682;682;687;682;682;687;687;687;682
ulysses22;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72
rd100;8479;8479;8479;8628;8628;8628;8479;8628;8479;8479;8628;8479;8628;8628;8628;8628;8479;8479;8479;8628;8479;8479;8628;8479;8479;8479;8479;8628;8479;8628;8628;8221;8628;8628;8479;8628;8479;8479;8479;8479;8628;8628;8628;8628;8628;8479;8628;8479;8479;8479;8628;8628;8628;8628;8479;8628;8479;8479;8479;8628;8479;8479;8479;8628;8628;8628;8628;8628;8479;8628;8628;8479;8479;8479;8628
pr124;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;60413;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246;59246
d493;36247;36560;36376;36479;36409;36384;36130;36394;36397;36519;36348;36333;36229;36360;36390;36482;36637;36408;36366;36411;36301;36493;36347;36458;36493;36298;36095;36624;36212;36257;36516;36737;36348;36414;36320;36377;36576;36264;36390;36427;36501;36352;36549;36440;36547;36285;36355;36322;36347;36534;36520;36512;36576;36601;36564;36505;36356;36228;36197;36370;36347;36391;36410;36148;36399;36574;36424;36490;35969;36575;36637;36411;36347;36315;36425
ulysses16;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72
dsj1000;20682918;20694023;20668488;20674583;20680838;20665219;20729012;20699024;20694023;20465129;20674325;20639520;20745767;20672189;20738798;20588095;20702692;20668488;20702692;20686055;20659551;20745611;20609625;20716337;20674583;20492107;20508907;20858641;20612846;20668488;20746155;21311708;20588095;20610214;20555428;20588095;20588095;20734067;20866690;20610214;20671902;20746155;20697599;20722382;20697599;20664545;20667359;20668795;20689302;20702692;20508907;20694023;20697566;20465129;20675547;20709593;20694023;20693762;20588095;20688272;20689302;20461588;20735936;20702692;20769431;20702692;20735936;20508907;20753075;20726886;20465129;20643814;20664416;20952161;20681274
u724;46980;47279;47402;47356;47318;47254;47257;46943;47303;47308;47258;47379;47257;47083;47214;47364;47437;47392;47228;47352;47347;47326;47429;47269;47257;47083;47371;47399;47380;47154;47303;44270;47313;47406;47321;46906;44632;47083;47154;47313;46971;47143;46975;47462;47298;47247;45963;47298;47431;47275;47326;47268;47258;46934;47308;47303;47357;47248;47257;47258;47367;47424;47015;47305;47415;47220;47129;47357;47255;47268;47355;47257;47279;47305;47364
