Instance;SWEEP_&_TABU_SEARCH;LOCAL_CHEAPEST_ARC_&_GENERIC_TABU_SEARCH;CHRISTOFIDES_&_GREEDY_DESCENT;ALL_UNPERFORMED_&_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_&_TABU_SEARCH;CHRISTOFIDES_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_TABU_SEARCH;CHRISTOFIDES_&_TABU_SEARCH;SAVINGS_&_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_&_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_&_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_&_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_&_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_&_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_&_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_&_GENERIC_TABU_SEARCH;BEST_INSERTION_&_SIMULATED_ANNEALING;SAVINGS_&_TABU_SEARCH;BEST_INSERTION_&_GREEDY_DESCENT;CHRISTOFIDES_&_GENERIC_TABU_SEARCH;BEST_INSERTION_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_&_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_&_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_&_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_SIMULATED_ANNEALING;SAVINGS_&_GENERIC_TABU_SEARCH;SWEEP_&_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_&_TABU_SEARCH;PATH_CHEAPEST_ARC_&_GREEDY_DESCENT;SWEEP_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_&_GENERIC_TABU_SEARCH;SWEEP_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_&_TABU_SEARCH;PATH_CHEAPEST_ARC_&_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_&_TABU_SEARCH;BEST_INSERTION_&_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_ARC_&_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_&_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_GENERIC_TABU_SEARCH;BEST_INSERTION_&_TABU_SEARCH;PATH_CHEAPEST_ARC_&_GENERIC_TABU_SEARCH;EVALUATOR_STRATEGY_&_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_&_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_&_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_&_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_&_GREEDY_DESCENT;SWEEP_&_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_&_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_&_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_&_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_&_SIMULATED_ANNEALING;SAVINGS_&_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_&_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_&_TABU_SEARCH;ALL_UNPERFORMED_&_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_&_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_&_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_&_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_&_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_&_GREEDY_DESCENT;EVALUATOR_STRATEGY_&_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_&_TABU_SEARCH;SAVINGS_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_GREEDY_DESCENT;CHRISTOFIDES_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_&_GREEDY_DESCENT;EVALUATOR_STRATEGY_&_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_&_SIMULATED_ANNEALING
CVRP_3;534;533;534;533;534;533;534;534;533;534;534;534;533;534;534;533;534;533;534;534;534;534;534;534;533;534;534;534;534;534;533;550;534;534;533;534;533;533;533;534;534;534;533;534;533;534;534;534;533;534;534;533;534;534;533;533;534;534;533;534;534;534;534;534;533;534;533;534;534;534;534;534;534;533;534
p3;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1038;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013
p6;1582;1585;1583;1582;1582;1582;1583;1582;1582;1583;1582;1582;1582;1582;1581;1581;1582;1582;1581;1582;1581;1582;1581;1582;1582;1582;1582;1582;1582;1584;1582;1507;1583;1582;1582;1585;1582;1582;1581;1581;1582;1582;1581;1582;1583;1582;1582;1678;1582;1582;1582;1583;1583;1582;1582;1582;1582;1581;1582;1584;1582;1581;1583;1582;1581;1585;1582;1582;1582;1582;1581;1581;1581;1582;1583
p19;5191;5184;5191;5184;5191;5184;5183;5184;5191;5184;5184;5184;5184;5184;5183;5183;5199;5183;5183;5191;5183;5183;5183;5184;5184;5184;5183;5184;5184;5184;5183;5218;5183;5184;5184;5183;5184;5183;5183;5184;5184;5183;5183;5184;5184;5184;5184;5191;5191;5184;5191;5199;5183;5184;5184;5183;5184;5184;5183;5183;5184;5183;5183;5199;5184;5184;5184;5184;5184;5183;5184;5191;5184;5191;5184
p5;1679;1681;1679;1679;1679;1679;1679;1679;1679;1681;1679;1679;1679;1679;1679;1679;1679;1681;1681;1679;1679;1679;1679;1681;1679;1679;1679;1679;1679;1679;1679;1679;1679;1679;1679;1679;1679;1679;1679;1679;1679;1679;1679;1679;1679;1681;1681;1679;1679;1679;1679;1679;1681;1679;1679;1681;1679;1679;1679;1679;1679;1681;1679;1679;1679;1679;1679;1679;1679;1679;1679;1679;1679;1679;1679
p1;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;647;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618;618
CVRP_5;988;988;988;988;988;988;988;988;988;988;988;988;988;988;988;988;988;988;988;988;988;988;988;988;988;988;988;988;988;988;988;1017;988;988;988;988;988;988;988;988;988;988;988;988;988;988;988;991;988;988;988;988;988;988;988;988;988;988;988;988;988;988;988;988;988;988;988;988;988;988;988;988;988;988;988
p31;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634;634
p15;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1258;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246;1246
p20;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8057;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229;8229
CVRP_2;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546
p4;1657;1657;1657;1657;1657;1657;1657;1657;1657;1657;1657;1657;1657;1657;1657;1657;1650;1657;1657;1657;1657;1657;1657;1657;1657;1657;1650;1657;1650;1657;1657;1657;1657;1657;1657;1657;1657;1657;1657;1657;1657;1650;1657;1657;1657;1657;1657;1657;1657;1657;1657;1657;1657;1657;1657;1657;1657;1657;1657;1657;1657;1657;1657;1657;1657;1657;1657;1657;1658;1657;1657;1657;1657;1657;1650
