Instance;SWEEP_&_TABU_SEARCH;LOCAL_CHEAPEST_ARC_&_GENERIC_TABU_SEARCH;CHRISTOFIDES_&_GREEDY_DESCENT;ALL_UNPERFORMED_&_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_&_TABU_SEARCH;CHRISTOFIDES_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_TABU_SEARCH;CHRISTOFIDES_&_TABU_SEARCH;SAVINGS_&_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_&_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_&_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_&_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_&_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_&_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_&_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_&_GENERIC_TABU_SEARCH;BEST_INSERTION_&_SIMULATED_ANNEALING;SAVINGS_&_TABU_SEARCH;BEST_INSERTION_&_GREEDY_DESCENT;CHRISTOFIDES_&_GENERIC_TABU_SEARCH;BEST_INSERTION_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_&_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_&_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_&_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_SIMULATED_ANNEALING;SAVINGS_&_GENERIC_TABU_SEARCH;SWEEP_&_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_&_TABU_SEARCH;PATH_CHEAPEST_ARC_&_GREEDY_DESCENT;SWEEP_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_&_GENERIC_TABU_SEARCH;SWEEP_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_&_TABU_SEARCH;PATH_CHEAPEST_ARC_&_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_&_TABU_SEARCH;BEST_INSERTION_&_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_ARC_&_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_&_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_GENERIC_TABU_SEARCH;BEST_INSERTION_&_TABU_SEARCH;PATH_CHEAPEST_ARC_&_GENERIC_TABU_SEARCH;EVALUATOR_STRATEGY_&_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_&_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_&_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_&_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_&_GREEDY_DESCENT;SWEEP_&_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_&_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_&_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_&_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_&_SIMULATED_ANNEALING;SAVINGS_&_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_&_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_&_TABU_SEARCH;ALL_UNPERFORMED_&_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_&_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_&_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_&_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_&_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_&_GREEDY_DESCENT;EVALUATOR_STRATEGY_&_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_&_TABU_SEARCH;SAVINGS_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_GREEDY_DESCENT;CHRISTOFIDES_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_&_GREEDY_DESCENT;EVALUATOR_STRATEGY_&_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_&_SIMULATED_ANNEALING
C1_4_1;7717;7560;7623;7274;7572;7317;7371;7529;7534;7623;7534;7573;7572;7354;7529;7354;7401;7862;7637;7542;7411;7371;7343;7534;7529;7572;7354;7529;7536;7534;7371;7242;7371;7560;7529;7572;7759;7534;7560;7862;7560;7560;7534;7637;8163;7839;7715;7354;7623;7354;7605;7371;7506;7371;7529;7779;7534;7371;7371;7408;7529;7673;7534;7354;7839;7506;7623;7529;8027;7264;7967;7623;7963;7963;7534
C1_2_7;3221;3221;2859;3012;2998;2958;3025;3322;3076;3012;2938;3043;2859;3221;3256;2938;2882;3231;2973;2882;2998;3059;3010;3010;2958;3256;2811;3001;3001;3033;3213;3138;3213;3213;3040;3213;3097;2988;2947;3001;3322;3040;2811;3165;2998;3033;3119;2859;3040;3322;3231;2988;3025;2882;3256;3059;3213;3012;2811;2958;3076;2938;3213;3025;2947;3033;2973;2973;2818;2947;3076;2988;3231;3010;3059
C1_4_10;7646;7776;7769;7934;7563;7743;7585;7508;7728;7570;7617;7516;7603;7774;7665;7343;7686;7425;7714;7343;7529;7603;7649;7672;7793;7614;7783;7678;7892;7771;7518;7926;7644;7735;7571;7764;7901;7703;7731;7588;7816;7722;7636;7755;7605;7730;7876;7710;7660;7794;7691;7505;7768;7728;7579;7641;7671;7889;7658;7728;7701;7883;7377;7733;7615;7664;7656;7635;7620;7629;7765;7673;7604;7593;7428
C1_4_2;7751;7807;7758;7989;7868;7714;7922;7712;7969;7839;7849;7780;7622;7983;7809;7774;7616;7969;7675;7670;7837;7872;7920;7931;7601;7861;8020;8005;7795;7858;7571;7997;7955;7650;7578;7681;8215;7780;7823;7911;7938;7824;7427;8130;7981;7810;8060;7721;7931;7715;7832;7946;7880;7871;7843;7806;7579;7921;7790;7876;7746;7987;7843;7802;7839;7845;7757;7771;8017;7911;7804;7584;7736;7806;7738
C1_4_9;7590;7612;7521;7634;7633;7786;7598;7707;7730;7770;7765;7765;7649;7760;7767;7613;7732;7855;7612;7668;7587;7686;7671;7600;7729;7641;7583;7742;7636;7621;7753;8111;7703;7679;7828;7741;7630;7690;7578;7660;7709;7673;7642;7590;7803;7650;7580;7721;7614;7590;7729;7762;7713;7572;7661;7796;7815;7568;7775;7832;7695;7590;7669;7668;7784;7584;7613;7635;7750;7765;7831;7698;7801;7765;7745
C1_2_5;3384;3384;3384;3105;3105;3105;3384;3105;3384;3384;3105;3384;3105;3105;3105;3105;3384;3384;3384;3105;3384;3384;3105;3384;3384;3384;3384;3105;3384;3105;3105;3105;3105;3105;3384;3105;3384;3384;3384;3384;3105;3105;3105;3105;3105;3384;3105;3384;3384;3384;3105;3105;3105;3105;3384;3105;3384;3384;3384;3105;3384;3384;3384;3105;3105;3105;3105;3105;3384;3105;3105;3384;3384;3384;3105
C1_2_4;3231;2942;3121;3014;3054;3054;3199;3104;3015;3131;3055;2920;2946;3084;3084;2972;3121;2815;2942;3042;3076;3120;2993;3199;3003;2942;3120;3054;3038;2974;2932;3201;3131;3126;3033;2993;3139;3121;3178;3003;3054;3104;3126;2915;3089;2974;3107;3178;3076;3076;2946;3014;3094;2946;3192;3175;2974;3121;2949;2972;2974;3003;3120;3014;3084;3126;3104;3049;2968;3107;2972;3199;3178;2976;2993
C1_2_8;2959;2757;3086;2842;2831;2837;3011;2853;3032;3021;2975;3021;2870;2981;2938;2887;2878;2862;3067;3198;3039;2892;2708;3117;2976;3020;2792;2877;2862;2851;3099;2865;2836;3185;3007;3185;3018;3117;2956;2823;2981;2831;3026;2988;2975;2792;2961;3039;3020;2823;2934;2913;2972;2913;3002;2976;2961;3039;2969;2831;2976;2942;3117;3168;2870;2887;2981;2872;3272;3154;2842;3143;2757;2855;3168
C1_4_5;7556;7556;7630;7811;7556;7657;7597;7724;7921;7779;7902;7972;7556;7558;7758;8075;7655;8261;7556;7970;7999;7813;7556;7758;7832;7464;7556;7558;7830;7528;7556;8370;7597;7830;7558;7844;7587;7528;7687;7556;7630;7556;7556;8199;7838;7556;7556;7597;7970;7979;7464;7970;7767;7556;8103;8099;7556;7740;7556;7556;7440;8046;7528;7556;7626;7558;7687;8121;8261;8128;7556;7553;7464;7556;7814
C1_6_1;16150;15405;15612;15519;15613;15939;15785;15916;15912;15584;15496;15482;15445;15735;15566;15588;15640;16016;15915;15382;16519;15963;15364;15612;15686;15583;16097;15834;15515;15719;15629;19314;15974;15924;15798;15990;17853;16172;15953;15896;15609;15971;15648;16525;15887;15819;15673;15803;15776;15480;15612;15834;16315;15798;16870;15501;15931;15707;15741;15761;16130;15938;15599;15574;15714;15887;15976;16235;15553;16067;15561;16106;15752;15616;16040
