Instance;PATH_MOST_CONSTRAINED_ARC_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_TABU_SEARCH;SAVINGS_and_GENERIC_TABU_SEARCH;BEST_INSERTION_and_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH
CVRP_3;75392.63636363637;75392.63636363637;74826.09090909091;82231.0;74826.09090909091
p3;80856.85;85006.4;86499.95;85865.55;81217.35
p1;66464.9;66369.25;64084.95;61558.2;63718.55
CVRP_5;95992.8;95535.9;95932.4;95286.4;94956.9
p31;60731.8;60731.8;59759.05;59759.05;59759.05
CVRP_2;83609.8;83760.2;83299.0;83622.7;83306.0
CVRP_100;30164.0;30164.0;31148.5;34091.0;30255.85
p2;66285.45;66285.45;63584.7;61613.25;63584.7
CVRP_4;138641.05;136082.85;145188.45;95123.6;135708.15
CVRP_1;80957.8;81088.0;82755.2;82391.1;80511.05
C1_4_1;666614.7;634861.75;634602.35;39500000.0;662182.65
C1_2_7;244710.7;236019.3;238635.7;259209.6;241680.6
C1_4_10;594970.65;586166.5;584068.15;4527051.2;590061.35
C1_4_2;625155.65;633373.25;592364.6;4533389.6;603520.95
C1_4_9;601750.9;589708.95;576504.25;4494106.7;615752.1
C1_2_5;258793.7;234187.0;234100.0;253199.0;250570.15
C1_2_4;248111.8;229933.5;227401.0;240829.6;245479.4
C1_2_8;243379.8;234395.85;236503.1;265709.0;248914.65
C1_4_5;595042.15;591891.65;611333.0;4534309.7;611840.2
C1_6_1;1580394.6842105263;1397563.3;1390699.7;1812018.8;1592523.7
C1_2_3;242490.1;248344.1;245747.45;267813.0;241638.3
C1_6_3;1449656.9;1263028.1;1263923.35;1542324.5;1440714.65
C1_2_10;241437.4;243012.9;235964.1;266896.8;234433.25
C1_2_9;251696.73684210525;251928.52631578947;250789.94736842104;280215.3;245390.36842105264
C1_2_6;251589.57894736843;255830.52631578947;255959.36842105264;274048.0;254974.05263157896
C1_4_6;636052.2222222222;607547.0555555555;603026.6666666666;4536364.4;628105.0555555555
C1_4_4;628289.8333333334;581774.2777777778;582473.8888888889;39500000.0;620446.8333333334
C1_2_2;245157.5;243340.83333333334;245744.38888888888;280192.9;244148.44444444444
C1_2_1;242778.66666666666;232810.83333333334;229063.11111111112;241510.0;244852.83333333334
C1_4_3;626712.2222222222;610343.3333333334;610055.9444444445;4542307.3;634721.6666666666
C1_6_2;1565820.5;1343456.7222222222;1343182.7222222222;1664419.4;1568654.888888889
C1_4_7;613066.5;595005.4444444445;612513.2222222222;4567351.4;618635.1111111111
C1_4_8;611713.7222222222;626711.8333333334;605446.8333333334;4564564.1;625047.9444444445
p6;74933.0;74933.0;75835.0;74933.0;75835.0
p19;172830.1;164306.5;170604.6;164122.5;163470.3
p5;66276.0;66276.0;68435.0;66276.0;68435.0
p15;102662.0;102662.0;96970.0;96970.0;90808.0
HFVRP_4;75009.6;80153.6;83335.0;976710.0;75070.6
C1_6_4;1185232.375;1155853.0;1155920.625;56288100.0;1184503.75
C1_6_5;1185105.25;1155853.0;1155920.625;52210210.0;1185319.75
HFVRP_p14;317485.1;313281.9;313571.0;3245220.0;306140.7
CVRP_p5;67909.6;69591.2;75640.0;760500.0;68211.0
CVRP_p3;75661.8;76242.0;84532.0;863010.0;77369.3
HFVRP_1;59220.0;59568.5;60086.0;705250.0;59056.0
CVRP_p14;303603.2;343655.3;344001.0;3917600.0;309274.4
HFVRP_p3;74819.4;74575.8;80712.0;852510.0;74993.4
HFVRP_p5;73919.9;75912.7;80305.0;858580.0;74066.5
att48;129506.0;129506.0;129506.0;129506.0;124408.0
pr76;136087.0;136087.0;136087.0;136087.0;131750.0
pr107;134219.0;134219.0;134219.0;134219.0;139327.0
st70;55630.0;55630.0;56365.0;56365.0;55630.0
ulysses22;6919.0;6919.0;6919.0;6919.0;6919.0
rd100;149769.0;166410.0;166410.0;166410.0;169754.0
pr124;159793.0;159793.0;159793.0;159793.0;161842.0
d493;372967.8;372194.2;376073.9;370803.0;369771.5
ulysses16;6784.0;6784.0;6840.0;6784.0;6840.0
dsj1000;528306.7;536702.7;536795.1;539032.5;525438.5
u724;432189.0;438335.4;438454.4;443333.6;435216.3
ch150;199427.0;199427.0;197462.0;197462.0;197995.0
d657;425213.3;426436.8;426008.2;423921.3;419927.3
