Instance;SWEEP_&_TABU_SEARCH;LOCAL_CHEAPEST_ARC_&_GENERIC_TABU_SEARCH;CHRISTOFIDES_&_GREEDY_DESCENT;ALL_UNPERFORMED_&_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_&_TABU_SEARCH;CHRISTOFIDES_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_TABU_SEARCH;CHRISTOFIDES_&_TABU_SEARCH;SAVINGS_&_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_&_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_&_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_&_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_&_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_&_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_&_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_&_GENERIC_TABU_SEARCH;BEST_INSERTION_&_SIMULATED_ANNEALING;SAVINGS_&_TABU_SEARCH;BEST_INSERTION_&_GREEDY_DESCENT;CHRISTOFIDES_&_GENERIC_TABU_SEARCH;BEST_INSERTION_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_&_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_&_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_&_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_SIMULATED_ANNEALING;SAVINGS_&_GENERIC_TABU_SEARCH;SWEEP_&_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_&_TABU_SEARCH;PATH_CHEAPEST_ARC_&_GREEDY_DESCENT;SWEEP_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_&_GENERIC_TABU_SEARCH;SWEEP_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_&_TABU_SEARCH;PATH_CHEAPEST_ARC_&_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_&_TABU_SEARCH;BEST_INSERTION_&_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_ARC_&_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_&_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_GENERIC_TABU_SEARCH;BEST_INSERTION_&_TABU_SEARCH;PATH_CHEAPEST_ARC_&_GENERIC_TABU_SEARCH;EVALUATOR_STRATEGY_&_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_&_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_&_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_&_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_&_GREEDY_DESCENT;SWEEP_&_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_&_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_&_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_&_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_&_SIMULATED_ANNEALING;SAVINGS_&_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_&_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_&_TABU_SEARCH;ALL_UNPERFORMED_&_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_&_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_&_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_&_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_&_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_&_GREEDY_DESCENT;EVALUATOR_STRATEGY_&_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_&_TABU_SEARCH;SAVINGS_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_GREEDY_DESCENT;CHRISTOFIDES_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_&_GREEDY_DESCENT;EVALUATOR_STRATEGY_&_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_&_SIMULATED_ANNEALING
HFVRP_4;5150;5252;5236;5164;5164;5246;5236;5164;5150;5150;5164;5150;5164;5164;5164;5246;5150;5252;5236;5164;5150;5150;5164;5150;5236;5150;5236;5164;5236;5164;5246;5086;5164;5164;5252;5246;5254;5236;5252;5150;5246;5246;5246;5144;5164;5150;5152;5150;5236;5252;5246;5246;5246;5164;5236;5164;5236;5252;5252;5164;5252;5252;5252;5164;5246;5164;5164;5246;5252;5164;5164;5252;5236;5236;5164
C1_4_9;9146;9122;9180;9150;9150;9112;9180;9150;9146;9146;9150;9146;9154;9150;9154;9112;9146;9122;9180;9154;9146;9146;9154;9146;9180;9146;9180;9154;9180;9154;9112;9116;9150;9154;9122;9112;9140;9180;9122;9146;9112;9112;9112;9150;9154;9146;9112;9146;9180;9122;9112;9112;9112;9150;9180;9154;9180;9122;9122;9154;9122;9122;9122;9154;9112;9150;9154;9112;9122;9150;9150;9122;9180;9180;9150
C1_6_4;18860;18860;18860;18884;18884;18884;18860;18884;18860;18860;18884;18948;18884;18884;18884;18884;18860;18860;18860;18884;18860;18860;18884;18860;18860;18860;18860;18884;18860;18884;18884;18940;18884;18884;18860;18884;18776;18860;18860;18860;18884;18884;18884;18880;18884;18860;18760;18860;18860;18860;18884;18884;18884;18884;18860;18884;18860;18860;18860;18884;18860;18860;18860;18884;18884;18884;18884;18884;18798;18884;18884;18860;18860;18860;18884
C1_6_5;18860;18860;18860;18884;18884;18884;18860;18884;18860;18860;18884;18948;18884;18884;18884;18884;18860;18860;18860;18884;18860;18860;18884;18860;18860;18860;18860;18884;18860;18884;18884;18940;18884;18884;18860;18884;18776;18860;18860;18860;18884;18884;18884;18880;18884;18860;18760;18860;18860;18860;18884;18884;18884;18884;18860;18884;18860;18860;18860;18884;18860;18860;18860;18884;18884;18884;18884;18884;18798;18884;18884;18860;18860;18860;18884
C1_2_7;3738;3738;3738;3926;3926;3926;3738;3926;3738;3738;3926;3896;3926;3926;3926;3926;3738;3738;3738;3926;3738;3738;3926;3738;3738;3738;3738;3926;3738;3926;3926;3894;3926;3926;3738;3926;3684;3738;3738;3738;3926;3926;3926;3724;3926;3738;3866;3738;3738;3738;3926;3926;3926;3926;3738;3926;3738;3738;3738;3926;3738;3738;3738;3926;3926;3926;3926;3926;3738;3926;3926;3738;3738;3738;3926
C1_4_10;9146;9122;9180;9150;9150;9112;9180;9150;9146;9146;9150;9146;9154;9150;9154;9112;9146;9122;9180;9154;9146;9146;9154;9146;9180;9146;9180;9154;9180;9154;9112;9116;9150;9154;9122;9112;9140;9180;9122;9146;9112;9112;9112;9150;9154;9146;9112;9146;9180;9122;9112;9112;9112;9150;9180;9154;9180;9122;9122;9154;9122;9122;9122;9154;9112;9150;9154;9112;9122;9150;9150;9122;9180;9180;9150
HFVRP_p14;12860;12860;12860;12700;12700;12700;12860;12700;12860;12860;12700;12860;12700;12700;12700;12700;12860;12860;12860;12700;12860;12860;12700;12860;12860;12860;12860;12700;12860;12700;12700;12680;12700;12700;12860;12700;12660;12860;12860;12860;12700;12700;12700;12700;12700;12860;12800;12860;12860;12860;12700;12700;12700;12700;12860;12700;12860;12860;12860;12700;12860;12860;12860;12700;12700;12700;12700;12700;12860;12700;12700;12860;12860;12860;12700
C1_2_6;3738;3738;3738;3926;3926;3926;3738;3926;3738;3738;3926;3896;3926;3926;3926;3926;3738;3738;3738;3926;3738;3738;3926;3738;3738;3738;3738;3926;3738;3926;3926;3894;3926;3926;3738;3926;3684;3738;3738;3738;3926;3926;3926;3724;3926;3738;3866;3738;3738;3738;3926;3926;3926;3926;3738;3926;3738;3738;3738;3926;3738;3738;3738;3926;3926;3926;3926;3926;3738;3926;3926;3738;3738;3738;3926
CVRP_p5;6352;6376;6322;6396;6344;6402;6352;6344;6382;6388;6324;6322;6344;6402;6324;6402;6388;6376;6382;6344;6322;6376;6402;6376;6376;6352;6388;6368;6376;6396;6344;6394;6368;6396;6388;6344;6376;6352;6376;6322;6396;6396;6344;6396;6368;6382;6368;6388;6382;6388;6368;6324;6324;6396;6382;6402;6388;6382;6322;6368;6352;6352;6322;6402;6368;6324;6324;6396;6352;6402;6324;6382;6322;6352;6368
CVRP_4;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526;5526
