Instance;SWEEP_&_TABU_SEARCH;LOCAL_CHEAPEST_ARC_&_GENERIC_TABU_SEARCH;CHRISTOFIDES_&_GREEDY_DESCENT;ALL_UNPERFORMED_&_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_&_TABU_SEARCH;CHRISTOFIDES_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_TABU_SEARCH;CHRISTOFIDES_&_TABU_SEARCH;SAVINGS_&_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_&_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_&_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_&_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_&_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_&_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_&_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_&_GENERIC_TABU_SEARCH;BEST_INSERTION_&_SIMULATED_ANNEALING;SAVINGS_&_TABU_SEARCH;BEST_INSERTION_&_GREEDY_DESCENT;CHRISTOFIDES_&_GENERIC_TABU_SEARCH;BEST_INSERTION_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_&_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_&_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_&_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_SIMULATED_ANNEALING;SAVINGS_&_GENERIC_TABU_SEARCH;SWEEP_&_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_&_TABU_SEARCH;PATH_CHEAPEST_ARC_&_GREEDY_DESCENT;SWEEP_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_&_GENERIC_TABU_SEARCH;SWEEP_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_&_TABU_SEARCH;PATH_CHEAPEST_ARC_&_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_&_TABU_SEARCH;BEST_INSERTION_&_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_ARC_&_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_&_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_GENERIC_TABU_SEARCH;BEST_INSERTION_&_TABU_SEARCH;PATH_CHEAPEST_ARC_&_GENERIC_TABU_SEARCH;EVALUATOR_STRATEGY_&_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_&_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_&_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_&_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_&_GREEDY_DESCENT;SWEEP_&_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_&_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_&_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_&_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_&_SIMULATED_ANNEALING;SAVINGS_&_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_&_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_&_TABU_SEARCH;ALL_UNPERFORMED_&_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_&_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_&_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_&_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_&_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_&_GREEDY_DESCENT;EVALUATOR_STRATEGY_&_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_&_TABU_SEARCH;SAVINGS_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_GREEDY_DESCENT;CHRISTOFIDES_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_&_GREEDY_DESCENT;EVALUATOR_STRATEGY_&_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_&_SIMULATED_ANNEALING
att48;43218;43218;43218;42594;42594;42594;43218;42594;43218;43218;42594;43218;42594;42594;42594;42594;43218;43218;43218;42594;43218;43218;42594;43218;43218;43218;43218;42594;43218;42594;42594;43828;42594;42594;43218;42594;42594;43218;43218;43218;42594;42594;42594;42594;42594;43218;42594;43218;43218;43218;42594;42594;42594;42594;43218;42594;43218;43218;43218;42594;43218;43218;43218;42594;42594;42594;42594;42594;43218;42594;42594;43218;43218;43218;42594
pr76;139996;138238;138238;136538;136538;136538;139996;137166;138238;139996;136538;138238;137166;136538;136538;137166;138238;138238;138238;136538;139996;138238;137166;139996;138238;138238;138238;136538;139996;137166;137166;139356;136538;136538;138238;137166;138238;138238;139996;138238;136538;137166;136538;137166;137166;139996;136538;139996;139996;139996;137166;136538;137166;137166;139996;136538;139996;138238;139996;137166;139996;138238;138238;136538;136538;136538;137166;136538;139996;137166;137166;139996;139996;138238;137166
pr107;53300;51300;51300;50700;50700;50700;53300;55400;51300;53300;50700;51300;55400;50700;50700;55400;51300;51300;51300;50700;53300;51300;55400;53300;51300;51300;51300;50700;53300;55400;55400;54900;50700;50700;51300;55400;54000;51300;53300;51300;50700;55400;50700;55400;55400;53300;50500;53300;53300;53300;55400;50700;55400;55400;53300;50700;53300;51300;53300;55400;53300;51300;51300;50700;50700;50700;55400;50700;53300;55400;55400;53300;53300;51300;55400
st70;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;890;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872;872
ulysses22;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81
rd100;10280;10280;10280;10475;10475;10475;10280;10475;10280;10280;10475;10280;10475;10475;10475;10475;10280;10280;10280;10475;10280;10280;10475;10280;10280;10280;10280;10475;10280;10475;10475;10324;10475;10475;10280;10475;10942;10280;10280;10280;10475;10475;10475;10475;10475;10280;10475;10280;10280;10280;10475;10475;10475;10475;10280;10475;10280;10280;10280;10475;10280;10280;10280;10475;10475;10475;10475;10475;10280;10475;10475;10280;10280;10280;10475
pr124;76148;73710;69560;69560;69560;76148;69560;69560;76148;76148;69560;70640;73710;69560;73710;76148;76148;73710;69560;73710;76148;76148;73710;76148;69560;76148;69560;73710;69560;73710;76148;72310;69560;73710;73710;76148;69790;69560;73710;76148;76148;76148;76148;70260;73710;76148;69260;76148;69560;73710;76148;76148;76148;69560;69560;70460;69560;73710;73710;73710;73710;73710;73710;73710;76148;69560;73710;76148;68860;69560;69560;73710;69560;69560;69560
d493;44628;44948;44964;44948;44628;45111;44628;44628;45437;45111;44964;44964;44628;45111;44964;45111;45111;44948;45437;44628;44964;44948;45111;44948;44948;44628;45111;45437;44948;44948;44628;45251;45437;44948;45111;44628;44743;44628;44948;44964;44948;44948;44628;44948;45437;45437;45466;45111;45437;45111;45437;44964;44964;44948;45437;45111;45111;45437;44964;45437;44628;44628;44964;45111;45437;44964;44964;44948;44628;45111;44964;45437;44964;44628;45437
ulysses16;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;83;80;80;80;80;81;80;80;80;80;80;80;80;80;80;81;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;82;80;80;80;80;80;80
dsj1000;25396180;24609564;24691496;25585846;25845452;26003312;25875674;25945638;25198732;25850290;25989200;25855236;25876110;26052348;25422480;25420674;25889424;25856174;25870266;24633448;24675300;25979664;25906202;25946020;25823468;25829050;24726532;25805592;25853278;24553668;25930188;24499672;25826814;25949058;24773174;24648812;25909648;25866504;25936888;25291366;25930292;26089616;25930472;25849024;25318632;25875674;25934994;24616964;25562958;25890452;25816336;26032056;25360736;25830086;25887978;25840260;24751258;24726774;24674004;25918812;26000496;25860994;25866504;24557814;25868024;24485240;25562308;25835056;25845452;24805832;25912034;25846134;25823766;24869260;25854248
u724;53673;53695;53980;53695;53793;53695;53695;53701;53673;53673;53673;54072;54046;53873;53812;53630;53997;53643;53745;53695;53673;53974;53861;53728;53695;53695;53695;53781;53865;53666;53499;54091;53695;53695;53859;53695;54376;53980;53630;53673;53695;53369;53632;54168;53525;53552;53503;53695;53695;53610;53695;53798;53695;53625;54060;53695;53695;54004;53695;53873;53526;53695;53686;53673;53915;53695;53695;53666;53798;53653;53677;53630;53695;53695;54046
