Instance;SWEEP_&_TABU_SEARCH;LOCAL_CHEAPEST_ARC_&_GENERIC_TABU_SEARCH;CHRISTOFIDES_&_GREEDY_DESCENT;ALL_UNPERFORMED_&_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_&_TABU_SEARCH;CHRISTOFIDES_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_TABU_SEARCH;CHRISTOFIDES_&_TABU_SEARCH;SAVINGS_&_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_&_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_&_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_&_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_&_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_&_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_&_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_&_GENERIC_TABU_SEARCH;BEST_INSERTION_&_SIMULATED_ANNEALING;SAVINGS_&_TABU_SEARCH;BEST_INSERTION_&_GREEDY_DESCENT;CHRISTOFIDES_&_GENERIC_TABU_SEARCH;BEST_INSERTION_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_&_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_&_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_&_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_SIMULATED_ANNEALING;SAVINGS_&_GENERIC_TABU_SEARCH;SWEEP_&_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_&_TABU_SEARCH;PATH_CHEAPEST_ARC_&_GREEDY_DESCENT;SWEEP_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_&_GENERIC_TABU_SEARCH;SWEEP_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_&_TABU_SEARCH;PATH_CHEAPEST_ARC_&_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_&_TABU_SEARCH;BEST_INSERTION_&_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_ARC_&_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_&_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_GENERIC_TABU_SEARCH;BEST_INSERTION_&_TABU_SEARCH;PATH_CHEAPEST_ARC_&_GENERIC_TABU_SEARCH;EVALUATOR_STRATEGY_&_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_&_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_&_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_&_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_&_GREEDY_DESCENT;SWEEP_&_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_&_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_&_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_&_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_&_SIMULATED_ANNEALING;SAVINGS_&_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_&_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_&_TABU_SEARCH;ALL_UNPERFORMED_&_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_&_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_&_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_&_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_&_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_&_GREEDY_DESCENT;EVALUATOR_STRATEGY_&_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_&_TABU_SEARCH;SAVINGS_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_GREEDY_DESCENT;CHRISTOFIDES_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_&_GREEDY_DESCENT;EVALUATOR_STRATEGY_&_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_&_SIMULATED_ANNEALING
CVRP_3;942;866;942;852;852;852;942;926;942;942;852;942;866;852;852;926;942;866;942;852;942;942;866;942;942;942;942;852;942;866;926;866;852;852;866;926;942;942;866;942;852;926;852;926;866;942;852;942;942;866;926;852;926;926;942;852;942;866;866;866;866;866;866;852;852;852;866;852;866;926;926;866;942;942;926
p3;1206;1138;1180;1138;1138;1138;1138;1138;1208;1208;1220;1208;1138;1138;1138;1138;1138;1240;1138;1230;1138;1138;1138;1138;1138;1138;1138;1138;1196;1222;1208;1202;1228;1138;1240;1138;1110;1138;1138;1138;1138;1138;1138;1220;1110;1138;1208;1138;1138;1138;1138;1138;1116;1138;1228;1142;1138;1138;1238;1138;1138;1138;1138;1138;1138;1138;1138;1208;1238;1228;1138;1138;1138;1228;1138
p1;1002;978;930;930;930;950;930;930;1002;1002;930;1002;936;930;950;936;1002;978;930;950;1002;1002;936;1002;930;1002;930;950;930;936;936;936;930;950;978;936;930;930;978;1002;950;936;950;930;936;1002;950;1002;930;978;936;950;936;930;930;950;930;978;978;936;978;978;978;950;950;930;936;950;978;930;930;978;930;930;930
CVRP_5;1248;1248;1248;1248;1248;1248;1248;1248;1248;1248;1248;1306;1248;1248;1248;1248;1248;1218;1248;1248;1248;1248;1248;1248;1248;1248;1248;1248;1248;1248;1248;1206;1248;1248;1248;1248;1266;1248;1248;1248;1248;1248;1248;1306;1218;1248;1286;1248;1248;1248;1248;1248;1248;1248;1254;1260;1248;1248;1248;1248;1248;1248;1248;1248;1248;1248;1248;1248;1290;1190;1248;1248;1248;1248;1248
p31;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;806;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807;807
CVRP_2;916;916;896;860;860;860;896;860;916;916;860;916;860;860;860;860;916;916;896;860;916;916;860;916;896;916;896;860;896;860;860;860;860;860;916;860;944;896;916;916;860;860;860;842;860;916;860;916;896;916;860;860;860;860;896;860;896;916;916;860;916;916;916;860;860;860;860;860;882;860;860;916;896;896;860
CVRP_100;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;402;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394
p2;968;948;964;958;958;958;964;958;968;968;958;968;948;958;948;958;968;948;964;948;968;968;948;968;964;968;964;948;964;948;958;948;958;948;948;958;964;964;948;968;958;958;958;958;948;968;958;968;964;948;958;958;958;958;964;948;964;948;948;948;948;948;948;948;958;958;948;958;948;958;958;948;964;964;958
CVRP_4;1258;1202;1292;1292;1296;1270;1258;1292;1296;1258;1292;1196;1202;1292;1202;1258;1268;1202;1232;1202;1258;1258;1202;1258;1292;1292;1296;1202;1196;1202;1296;1202;1292;1202;1202;1196;1228;1216;1202;1258;1258;1216;1258;1292;1202;1258;1258;1258;1258;1202;1196;1268;1216;1270;1258;1202;1258;1202;1202;1202;1202;1202;1202;1202;1228;1296;1202;1268;1202;1290;1232;1202;1248;1292;1284
CVRP_1;966;966;966;1026;1026;994;966;1026;966;966;1026;966;1026;1026;1026;994;966;966;966;1026;966;966;1026;966;966;966;966;1026;966;1026;994;1026;1026;1026;966;994;966;966;966;966;994;994;994;1026;1026;966;994;966;966;966;994;994;994;1026;966;1026;966;966;966;1026;966;966;966;1026;994;1026;1026;994;966;1026;1026;966;966;966;1026
