Instance;Objective;Heuristic;Metaheuristic;Time;Routes
C1_4_1.txt;10906;SWEEP_;_TABU_SEARCH;39.11943817138672;92
C1_2_7.txt;4034;SWEEP_;_TABU_SEARCH;7.199853420257568;42
C1_4_10.txt;10080;SWEEP_;_TABU_SEARCH;37.1866557598114;76
C1_4_2.txt;10984;SWEEP_;_TABU_SEARCH;47.31350302696228;90
C1_4_9.txt;9926;SWEEP_;_TABU_SEARCH;38.84344506263733;78
C1_2_5.txt;4238;SWEEP_;_TABU_SEARCH;7.2829930782318115;46
C1_2_4.txt;3984;SWEEP_;_TABU_SEARCH;8.3462655544281;40
C1_2_8.txt;4308;SWEEP_;_TABU_SEARCH;6.3090057373046875;42
C1_4_5.txt;11062;SWEEP_;_TABU_SEARCH;31.35663866996765;92
C1_6_1.txt;24182;SWEEP_;_TABU_SEARCH;60.004008054733276;152
C1_2_3.txt;4060;SWEEP_;_TABU_SEARCH;12.826572895050049;40
C1_6_3.txt;24228;SWEEP_;_TABU_SEARCH;60.00429558753967;128
C1_2_10.txt;4210;SWEEP_;_TABU_SEARCH;7.75751805305481;40
C1_2_9.txt;4114;SWEEP_;_TABU_SEARCH;9.885925054550171;40
C1_2_6.txt;4070;SWEEP_;_TABU_SEARCH;7.4308295249938965;42
C1_4_6.txt;11420;SWEEP_;_TABU_SEARCH;43.86479377746582;96
C1_4_4.txt;10312;SWEEP_;_TABU_SEARCH;41.86441659927368;78
C1_2_2.txt;4190;SWEEP_;_TABU_SEARCH;8.380679607391357;42
C1_6_5.txt;22800;SWEEP_;_TABU_SEARCH;60.00418400764465;132
C1_2_1.txt;3844;SWEEP_;_TABU_SEARCH;6.10795783996582;40
C1_4_3.txt;10686;SWEEP_;_TABU_SEARCH;44.08095574378967;84
C1_6_2.txt;22860;SWEEP_;_TABU_SEARCH;60.00419807434082;126
C1_4_7.txt;11046;SWEEP_;_TABU_SEARCH;44.95701313018799;92
C1_6_4.txt;21104;SWEEP_;_TABU_SEARCH;60.00508213043213;118
C1_4_8.txt;10544;SWEEP_;_TABU_SEARCH;35.25109243392944;84
C1_4_1.txt;10944;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;37.57544708251953;94
