Instance;SWEEP_&_TABU_SEARCH;LOCAL_CHEAPEST_ARC_&_GENERIC_TABU_SEARCH;CHRISTOFIDES_&_GREEDY_DESCENT;ALL_UNPERFORMED_&_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_&_TABU_SEARCH;CHRISTOFIDES_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_TABU_SEARCH;CHRISTOFIDES_&_TABU_SEARCH;SAVINGS_&_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_&_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_&_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_&_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_&_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_&_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_&_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_&_GENERIC_TABU_SEARCH;BEST_INSERTION_&_SIMULATED_ANNEALING;SAVINGS_&_TABU_SEARCH;BEST_INSERTION_&_GREEDY_DESCENT;CHRISTOFIDES_&_GENERIC_TABU_SEARCH;BEST_INSERTION_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_&_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_&_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_&_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_SIMULATED_ANNEALING;SAVINGS_&_GENERIC_TABU_SEARCH;SWEEP_&_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_&_TABU_SEARCH;PATH_CHEAPEST_ARC_&_GREEDY_DESCENT;SWEEP_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_&_GENERIC_TABU_SEARCH;SWEEP_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_&_TABU_SEARCH;PATH_CHEAPEST_ARC_&_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_&_TABU_SEARCH;BEST_INSERTION_&_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_ARC_&_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_&_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_GENERIC_TABU_SEARCH;BEST_INSERTION_&_TABU_SEARCH;PATH_CHEAPEST_ARC_&_GENERIC_TABU_SEARCH;EVALUATOR_STRATEGY_&_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_&_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_&_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_&_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_&_GREEDY_DESCENT;SWEEP_&_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_&_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_&_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_&_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_&_SIMULATED_ANNEALING;SAVINGS_&_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_&_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_&_TABU_SEARCH;ALL_UNPERFORMED_&_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_&_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_&_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_&_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_&_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_&_GREEDY_DESCENT;EVALUATOR_STRATEGY_&_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_&_TABU_SEARCH;SAVINGS_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_GREEDY_DESCENT;CHRISTOFIDES_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_&_GREEDY_DESCENT;EVALUATOR_STRATEGY_&_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_&_SIMULATED_ANNEALING
C1_4_1;10142;10096;10172;9966;10156;10192;10464;9972;10070;10174;9994;10128;9990;10134;10620;9848;10070;10104;10052;10250;10446;10070;10052;10206;10172;9848;10172;10050;10380;10052;9898;10998;10202;10394;9968;10396;10198;9950;9994;10070;10192;10172;10192;10364;10262;10336;10310;10186;10254;10186;10442;10192;9994;10278;10286;9874;10422;9950;9994;10052;9784;9994;10216;10354;10192;10262;10052;10192;10298;10214;9926;10078;9972;10132;10332
C1_2_7;4034;4218;4242;4276;4266;4300;4034;4244;4216;4458;4566;4242;4244;4300;4566;4306;4164;4218;4216;4266;3988;4218;4306;4236;4218;4080;4164;4206;4236;4160;4244;4290;4206;4276;4164;4244;4164;4080;4236;4242;4276;4160;4266;4160;4160;4350;4206;4458;4350;4458;4160;4566;4226;4160;4350;4300;4458;4216;3988;4160;4034;4080;4242;4300;4206;4566;4226;4276;4034;4306;4226;4350;3988;4080;4160
C1_4_10;9768;10064;10080;9744;10038;9908;10080;9908;10022;9716;9872;10128;9982;9934;10046;10038;9868;9864;10024;10080;9990;9834;10044;9916;9858;9778;9858;10080;10080;10080;10096;10162;10080;9908;9996;9962;10158;10080;10080;10038;10080;9818;10080;10024;10060;10016;10136;9858;9794;10038;9996;9858;10080;9858;10094;10016;10080;9858;10080;10038;10022;10080;9986;9908;10080;10080;10008;10080;10418;9908;10032;10080;10080;9974;10032
C1_4_2;10598;11032;10598;10354;10306;10354;10598;10354;10202;10598;10354;10598;10354;10354;10354;10942;10532;10528;10164;10354;10598;10480;10354;10696;10894;10620;10492;10354;10598;10354;10334;11090;10354;10810;10566;10352;10196;10784;10542;10318;10836;10336;10354;10354;10354;10386;10780;10660;10448;10516;10354;10594;10354;10490;10508;10354;10598;10570;10598;10812;10584;10598;10210;10442;10600;11004;10348;10354;10598;10354;10354;10598;10384;10488;10606
C1_4_9;9926;10226;10568;10056;10278;9984;9926;10180;10250;10278;10056;10348;10308;9984;10056;9984;9982;10226;10250;10266;10568;10128;9984;10226;10226;9926;10174;10302;10226;10056;10308;10404;10310;10056;10278;10308;10358;9926;10226;10342;10056;10056;10308;10056;10232;10214;10032;10278;10250;10274;10242;10056;10056;10056;10250;9984;10278;10250;10024;10266;9926;9926;10454;9984;10556;10056;10056;10056;10340;9984;10056;10250;10502;9926;10376
C1_2_5;4238;4030;4510;4278;4192;4266;4350;4428;4478;4394;4444;4134;3760;4192;4342;4086;4226;4360;4300;4176;4342;4290;4020;4322;4394;4226;4394;4312;4124;4196;4414;4388;4532;4312;4156;4086;4166;4394;4458;4226;4018;4086;4244;4200;4044;4322;4648;4322;4350;4458;4498;4018;4212;4236;4162;4360;4378;4030;4234;3760;4458;4164;4030;4312;4018;4192;3760;4446;4354;3958;4236;4280;4350;4224;4236
C1_2_4;3984;4220;3914;4118;4054;3896;3954;3946;4116;4142;3834;3760;4002;4124;4166;4108;4056;4128;4070;3912;4154;4088;4174;4062;4154;4212;3932;4082;3952;4028;4056;4158;3950;3986;4252;4090;4134;4382;4342;3898;4020;4104;3930;4098;4126;4102;4092;4036;3856;3930;4118;4052;3988;4018;3980;3966;4018;3934;4166;4054;4120;3754;4154;4088;4210;4006;4140;3940;4194;3916;4150;3922;4024;4086;4000
C1_2_8;4308;4214;4214;4340;4238;4298;4108;4326;4150;4128;4216;4324;4188;4086;4250;4152;4090;4262;4244;4184;4364;4206;4032;4196;4222;4262;4150;4210;4412;4382;4218;4228;4288;4216;4160;4382;4202;4206;4280;4160;4250;4250;4084;4328;4152;4220;4218;4182;4308;4724;4330;3802;4236;4236;4724;3802;4082;4332;4196;4326;4412;4490;4216;4288;4184;4298;4340;4238;4230;4340;4566;4182;4128;4332;4218
C1_4_5;10724;10708;10480;10606;11102;10360;10718;10764;10700;10820;10782;10994;10976;10538;11034;10574;10660;11226;10538;11028;10416;11000;10784;11050;10796;11022;10394;10974;10332;10394;10978;10868;10740;10948;10588;10552;10630;10540;10044;10372;10340;10360;10630;10856;10612;10626;10044;10606;10954;10498;10700;10522;10434;10496;10360;10728;10552;10538;10796;10696;10538;10200;11032;10766;10480;10200;10712;10498;10538;11070;10538;10678;10856;10522;10320
C1_6_1;21538;21066;21090;21180;21208;21040;20852;21180;21558;21330;21402;21704;21118;21176;21142;22096;21398;21114;20716;21152;21558;20624;21518;21168;21608;21050;20618;20722;21170;20802;20798;25226;20836;20492;20798;21128;20968;21154;21428;21018;21558;21384;20754;21470;21246;20970;21740;20872;21410;20548;21068;20926;21154;20550;21436;21010;21096;20790;21022;20604;21328;21030;20848;21274;21188;21482;20510;20922;20636;21404;20830;21892;20860;21104;20932
