Instance;Objective;Heuristic;Metaheuristic
C1_2_9.txt;2593;1;2
C1_6_1.txt;13881;1;2
C1_4_8.txt;6970;1;2
C1_2_1.txt;2597;1;2
p15.txt;1141;10;1
p15.txt;1141;2;5
p15.txt;1141;4;1
p15.txt;1141;6;1
p15.txt;1141;4;3
p15.txt;1141;11;3
p15.txt;1141;7;1
p15.txt;1141;4;5
p15.txt;1141;9;1
p15.txt;1141;16;5
p15.txt;1141;3;1
p15.txt;1141;15;1
p15.txt;1141;3;3
p15.txt;1141;12;3
p15.txt;1141;16;1
p15.txt;1141;5;1
p15.txt;1141;1;3
p15.txt;1141;7;3
p15.txt;1141;15;5
p15.txt;1141;16;3
p15.txt;1141;8;5
p15.txt;1141;7;5
p15.txt;1141;10;5
p15.txt;1141;15;3
p15.txt;1141;14;3
p15.txt;1141;13;1
p15.txt;1141;6;5
p15.txt;1141;1;5
p15.txt;1141;5;5
p15.txt;1141;13;5
p15.txt;1141;14;1
p15.txt;1141;13;3
p15.txt;1141;9;5
p15.txt;1141;11;5
p15.txt;1141;5;3
p15.txt;1141;8;1
p15.txt;1141;14;5
p15.txt;1141;3;5
p15.txt;1141;11;1
p15.txt;1141;10;3
p15.txt;1141;8;3
p15.txt;1141;9;3
p15.txt;1141;12;1
p15.txt;1141;2;1
p15.txt;1141;6;3
p15.txt;1141;1;1
p15.txt;1141;2;3
p15.txt;1141;12;5
p31.txt;601;10;1
p31.txt;601;2;5
p31.txt;601;4;1
p31.txt;601;5;4
p31.txt;601;6;1
p31.txt;601;10;6
p31.txt;601;4;3
p31.txt;601;11;3
p31.txt;601;11;4
p31.txt;601;7;1
p31.txt;601;4;5
p31.txt;601;6;4
p31.txt;601;9;1
p31.txt;601;13;4
p31.txt;601;16;5
p31.txt;601;3;1
p31.txt;601;15;1
p31.txt;601;3;3
p31.txt;601;9;6
p31.txt;601;12;3
p31.txt;601;3;4
p31.txt;601;16;1
p31.txt;601;2;4
p31.txt;601;5;1
p31.txt;601;14;2
p31.txt;601;1;3
p31.txt;601;7;6
p31.txt;601;13;6
p31.txt;601;1;2
p31.txt;601;7;3
p31.txt;601;15;5
p31.txt;601;8;6
p31.txt;601;9;4
p31.txt;601;16;3
p31.txt;601;8;5
p31.txt;601;7;5
p31.txt;601;10;5
p31.txt;601;12;4
p31.txt;601;8;4
p31.txt;601;1;6
p31.txt;601;16;6
p31.txt;601;6;2
p31.txt;601;15;3
p31.txt;601;14;3
p31.txt;601;13;1
p31.txt;601;4;2
p31.txt;601;2;6
p31.txt;601;6;5
p31.txt;601;16;2
p31.txt;601;1;5
p31.txt;601;5;6
p31.txt;601;12;6
p31.txt;601;11;2
p31.txt;601;16;4
p31.txt;601;8;2
p31.txt;601;5;5
p31.txt;601;1;4
p31.txt;601;11;6
p31.txt;601;7;2
p31.txt;601;13;5
p31.txt;601;14;4
p31.txt;601;14;1
p31.txt;601;4;6
p31.txt;601;13;3
p31.txt;601;9;2
p31.txt;601;14;6
p31.txt;601;9;5
p31.txt;601;3;2
p31.txt;601;11;5
p31.txt;601;5;3
p31.txt;601;5;2
p31.txt;601;8;1
p31.txt;601;10;4
p31.txt;601;14;5
p31.txt;601;3;5
p31.txt;601;11;1
p31.txt;601;12;2
p31.txt;601;15;4
p31.txt;601;10;3
p31.txt;601;13;2
p31.txt;601;8;3
p31.txt;601;4;4
p31.txt;601;9;3
p31.txt;601;6;6
p31.txt;601;7;4
p31.txt;601;12;1
p31.txt;601;15;6
p31.txt;601;2;1
p31.txt;601;6;3
p31.txt;601;15;2
p31.txt;601;1;1
p31.txt;601;2;3
p31.txt;601;3;6
p31.txt;601;2;2
p31.txt;601;12;5
p31.txt;601;10;2
C1_4_5.txt;6970;1;2
C1_2_3.txt;2597;1;2
C1_6_5.txt;13870;1;2
C1_6_4.txt;13870;1;2
C1_4_4.txt;6970;1;2
C1_4_1.txt;6970;1;2
C1_6_2.txt;13873;1;2
C1_4_9.txt;6970;1;2
C1_2_4.txt;2596;1;2
C1_2_6.txt;2593;1;2
C1_4_3.txt;6970;1;2
C1_2_7.txt;2596;1;2
C1_2_5.txt;2594;1;2
C1_2_2.txt;2597;1;2
C1_4_10.txt;6970;1;2
C1_6_3.txt;13899;1;2
C1_2_8.txt;2594;1;2
C1_4_7.txt;6970;1;2
C1_4_2.txt;6970;1;2
C1_2_10.txt;2593;1;2
C1_4_6.txt;6970;1;2
