Instance;Objective;Heuristic;Metaheuristic
C1_2_2.txt;31304;16;2
C1_4_10.txt;48458;3;4
C1_2_4.txt;30960;4;1
C1_2_5.txt;31362;16;2
C1_4_1.txt;44668;16;2
C1_4_2.txt;51358;16;2
C1_4_9.txt;45648;10;2
C1_2_9.txt;31124;1;3
C1_2_9.txt;31124;13;6
C1_2_9.txt;31124;14;1
C1_2_9.txt;31124;15;4
C1_2_10.txt;31128;4;2
C1_6_4.txt;84338;6;1
C1_2_6.txt;31276;8;2
C1_2_8.txt;31276;16;2
C1_6_2.txt;108140;3;2
C1_4_8.txt;45736;10;2
C1_2_7.txt;31304;10;2
C1_4_6.txt;46446;16;2
C1_6_3.txt;78878;10;2
C1_4_3.txt;46598;16;2
C1_2_3.txt;31406;16;2
C1_6_1.txt;96618;14;2
C1_6_5.txt;80738;10;2
C1_4_4.txt;46096;16;2
C1_2_1.txt;31210;3;5
C1_4_7.txt;47008;16;2
C1_4_5.txt;45514;16;2
